DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,23.94,24.26,23.71,24.07,514903,24.07
2012-01-04,24.02,24.3,23.77,24.01,593073,24.01
2012-01-05,21.9,22.63,21.5,22.6,1465847,22.6
2012-01-06,22.58,23.05,22.42,22.95,895186,22.95
2012-01-09,22.94,22.94,22.43,22.48,569259,22.48
2012-01-10,22.99,23.03,22.52,22.86,552759,22.86
2012-01-11,22.81,23.47,22.61,23.4,491322,23.4
2012-01-12,23.13,23.58,23.06,23.36,481164,23.36
2012-01-13,23.15,23.39,22.7,23.04,558303,23.04
2012-01-17,23.33,23.67,23.15,23.62,434694,23.62
2012-01-18,23.76,24.67,23.73,24.38,646764,24.38
2012-01-19,24.5,24.56,23.9,24.07,456212,24.07
2012-01-20,24.12,24.52,24.04,24.18,644047,24.18
2012-01-23,24.24,24.72,24.15,24.64,336466,24.64
2012-01-24,24.3,24.91,24.26,24.9,580628,24.9
2012-01-25,24.81,25.61,24.53,25.49,585488,25.49
2012-01-26,25.57,25.64,24.99,25.12,499294,25.12
2012-01-27,24.93,25.8,24.72,25.47,489803,25.47
2012-01-30,25.18,25.58,24.88,25.54,468714,25.54
2012-01-31,25.67,25.95,24.67,25.03,676917,25.03
2012-02-01,25.35,25.75,24.73,24.84,603753,24.84
2012-02-02,24.78,25.41,24.16,24.62,1102075,24.62
2012-02-03,25.05,25.63,24.78,25.41,570088,25.41
2012-02-06,25.32,26.03,25.01,25.8,500832,25.8
2012-02-07,25.79,27.79,25.58,27.04,1248605,27.04
2012-02-08,27.05,27.88,26.98,27.4,1557229,27.4
2012-02-09,27.5,28.5,27.4,28.02,1146936,28.02
2012-02-10,27.72,27.95,27.05,27.76,721161,27.76
2012-02-13,27.99,28.19,26.83,27.64,697562,27.64
2012-02-14,27.45,28.7,27.32,28.5,797053,28.5
2012-02-15,28.6,28.75,27.81,27.93,937855,27.93
2012-02-16,27.75,28.25,27.21,28.07,847303,28.07
2012-02-17,28.43,28.43,27.42,27.82,568081,27.82
2012-02-21,28.02,28.72,28,28.39,630940,28.39
2012-02-22,28.42,28.72,28.22,28.59,525446,28.59
2012-02-23,28.51,29.02,28.06,28.73,634550,28.73
2012-02-24,28.65,28.7,27.5,27.7,625169,27.7
2012-02-27,27.63,27.68,26.97,27.4,729692,27.4
2012-02-28,27.31,27.61,26.51,26.91,799569,26.91
2012-02-29,26.9,27.29,26.34,26.53,782033,26.53
2012-03-01,26.78,27.34,26.67,27.16,691858,27.16
2012-03-02,27.03,27.88,26.94,27.6,704579,27.6
2012-03-05,27.43,27.43,26.65,27.14,558576,27.14
2012-03-06,26.8,26.85,25.96,26.19,623314,26.19
2012-03-07,26.72,27.78,26.46,27.27,762620,27.27
2012-03-08,27.54,29.26,27.31,28.97,1226450,28.97
2012-03-09,28.94,29.52,28.79,29.46,932233,29.46
2012-03-12,29.41,29.55,28.92,29.33,499227,29.33
2012-03-13,29.53,30,29.17,29.89,643350,29.89
2012-03-14,29.81,30.04,29.22,29.41,471877,29.41
2012-03-15,29.5,29.78,29.03,29.59,444146,29.59
2012-03-16,29.71,30.02,29.27,29.63,964951,29.63
2012-03-19,29.76,30.14,29.66,29.91,427541,29.91
2012-03-20,29.44,29.44,28.6,28.9,591529,28.9
2012-03-21,28.98,29.5,28.49,28.64,486978,28.64
2012-03-22,28.37,28.45,27.7,27.96,553855,27.96
2012-03-23,28.01,28.72,27.94,28.52,476707,28.52
2012-03-26,29.04,29.11,28.29,28.66,616227,28.66
2012-03-27,28.83,29.08,28.59,28.64,609367,28.64
2012-03-28,28.43,28.64,27.6,27.91,446779,27.91
2012-03-29,27.69,27.75,26.82,27.18,776581,27.18
2012-03-30,27.5,27.69,26.47,26.84,920301,26.84
2012-04-02,26.76,27.27,26.14,26.8,751049,26.8
2012-04-03,26.78,26.95,25.89,26.1,785384,26.1
2012-04-04,25.86,26.64,25.7,26,1225049,26
2012-04-05,25.94,26.27,25.1,25.37,1376298,25.37
2012-04-09,25.04,25.56,24.78,25.25,652370,25.25
2012-04-10,25.3,25.48,24.09,24.28,1069994,24.28
2012-04-11,24.66,24.74,23.87,23.91,1096290,23.91
2012-04-12,23.97,24.69,23.91,24.55,915204,24.55
2012-04-13,24.49,24.53,23.54,23.64,544980,23.64
2012-04-16,23.62,23.78,22.49,22.55,1109081,22.55
2012-04-17,22.75,23.33,22.71,22.92,573476,22.92
2012-04-18,22.76,23,22.62,22.9,736686,22.9
2012-04-19,22.87,23.59,22.77,23.1,601401,23.1
2012-04-20,23.27,23.54,22.92,22.94,789651,22.94
2012-04-23,22.5,23.19,22.42,23.07,448213,23.07
2012-04-24,23.08,23.33,22.85,23.12,309024,23.12
2012-04-25,23.37,23.49,22.81,23.28,565853,23.28
2012-04-26,23.22,23.56,23.19,23.48,302523,23.48
2012-04-27,23.64,23.74,23.1,23.57,483689,23.57
2012-04-30,23.9,24.04,23.17,23.25,488545,23.25
2012-05-01,23.33,23.7,23.1,23.24,463001,23.24
2012-05-02,22.95,23.08,22.61,22.9,570749,22.9
2012-05-03,23.2,23.3,22.1,22.35,750770,22.35
2012-05-04,22.19,22.25,21.64,21.99,672553,21.99
2012-05-07,21.77,22,21.51,21.74,815255,21.74
2012-05-08,21.48,21.71,20.77,21.55,1121431,21.55
2012-05-09,21.4,22.45,21.08,22.25,1366246,22.25
2012-05-10,23,23.54,22.7,22.93,1407233,22.93
2012-05-11,22.69,23.26,22.33,22.46,963564,22.46
2012-05-14,22.08,22.59,21.93,22.36,751798,22.36
2012-05-15,22.32,22.59,21.72,21.81,715689,21.81
2012-05-16,21.93,22.76,21.76,22.1,680163,22.1
2012-05-17,22.09,22.87,21.92,22.41,995809,22.41
2012-05-18,22.52,23,21.95,22.14,1207331,22.14
2012-05-21,22.18,23.31,22.16,23.25,542588,23.25
2012-05-22,23.38,23.55,22.73,22.92,617734,22.92
2012-05-23,22.71,23.5,22.52,23.43,799973,23.43
2012-05-24,23.5,23.57,22.73,23.2,573120,23.2
2012-05-25,23.19,23.94,23.19,23.76,473173,23.76
2012-05-29,24,24.32,23.67,23.91,447267,23.91
2012-05-30,23.31,23.42,22.95,23.21,423487,23.21
2012-05-31,23.22,23.23,21.58,22.12,1370342,22.12
2012-06-01,21.71,23,21.7,22.49,969496,22.49
2012-06-04,22.46,22.77,21.64,22.17,768060,22.17
2012-06-05,22.17,22.76,22.11,22.39,892745,22.39
2012-06-06,22.72,23.38,22.32,22.59,1201668,22.59
2012-06-07,23.03,23.15,22.29,22.56,708886,22.56
2012-06-08,22.19,22.63,21.93,22.42,665749,22.42
2012-06-11,22.65,22.91,21.96,22,861427,22
2012-06-12,22.24,23.22,22.13,22.92,954205,22.92
2012-06-13,22.75,23.13,22.18,22.28,626866,22.28
