DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,19.83,19.97,19.8,19.93,537601,19.93
2012-01-04,19.89,19.9,19.64,19.66,425584,19.66
2012-01-05,19.56,19.62,19.4,19.51,415662,19.51
2012-01-06,19.42,19.55,19.37,19.4,381148,19.4
2012-01-09,19.39,19.53,19.35,19.51,258560,19.51
2012-01-10,19.66,20.27,19.66,20.25,687848,20.25
2012-01-11,20.18,20.4,20.15,20.38,298215,20.38
2012-01-12,20.36,20.59,20.27,20.58,338991,20.58
2012-01-13,20.54,20.65,20.26,20.62,647164,20.62
2012-01-17,20.72,20.83,20.56,20.69,393942,20.69
2012-01-18,20.67,20.94,20.62,20.89,326245,20.89
2012-01-19,20.8,20.99,20.79,20.94,257939,20.94
2012-01-20,20.92,20.92,20.66,20.8,387058,20.8
2012-01-23,20.72,20.82,20.55,20.71,171323,20.71
2012-01-24,20.56,20.97,20.56,20.94,474768,20.94
2012-01-25,21.9,22.42,21.65,21.83,1086010,21.83
2012-01-26,21.89,22,21.57,21.72,514792,21.72
2012-01-27,21.71,21.86,21.46,21.46,487212,21.46
2012-01-30,21.2,21.46,21.15,21.38,453879,21.38
2012-01-31,21.45,21.51,21.19,21.44,451928,21.44
2012-02-01,21.6,21.6,21.36,21.4,468867,21.4
2012-02-02,21.46,21.56,21.32,21.37,396746,21.37
2012-02-03,21.51,21.81,21.51,21.6,418050,21.6
2012-02-06,21.42,21.76,21.39,21.69,383673,21.69
2012-02-07,21.58,21.77,21.51,21.6,382237,21.6
2012-02-08,21.61,21.64,21.38,21.51,303935,21.51
2012-02-09,21.59,21.67,21.44,21.61,262503,21.61
2012-02-10,21.46,21.48,21.35,21.42,265974,21.42
2012-02-13,21.52,21.6,21.31,21.43,373666,21.43
2012-02-14,21.3,21.58,21.3,21.55,318966,21.55
2012-02-15,21.66,21.7,21.45,21.47,316636,21.47
2012-02-16,21.5,21.78,21.48,21.6,463391,21.6
2012-02-17,21.66,21.7,21.53,21.64,374774,21.64
2012-02-21,21.68,21.71,21.46,21.56,234906,21.56
2012-02-22,21.57,21.71,21.47,21.55,560711,21.55
2012-02-23,21.55,21.94,21.46,21.77,555452,21.77
2012-02-24,21.83,21.99,21.76,21.96,270916,21.96
2012-02-27,21.79,22.01,21.71,21.92,402765,21.92
2012-02-28,21.88,22.04,21.76,21.94,363609,21.94
2012-02-29,21.98,21.99,21.83,21.88,580894,21.88
2012-03-01,21.97,22.07,21.72,21.85,336253,21.85
2012-03-02,22.19,22.2,21.89,21.98,435601,21.98
2012-03-05,21.88,22.01,21.75,21.94,313360,21.94
2012-03-06,21.77,21.87,21.56,21.64,314178,21.64
2012-03-07,21.65,22.08,21.64,22.05,528499,22.05
2012-03-08,22.19,22.23,22.02,22.18,510335,22.18
2012-03-09,22.24,22.39,22.23,22.32,354030,22.32
2012-03-12,22.31,22.44,22.24,22.33,233967,22.33
2012-03-13,22.44,22.52,22.29,22.52,271345,22.52
2012-03-14,22.54,22.69,22.52,22.65,274570,22.65
2012-03-15,22.59,22.74,22.45,22.71,287369,22.71
2012-03-16,22.72,22.9,22.64,22.83,643124,22.83
2012-03-19,22.74,22.82,22.69,22.74,178689,22.74
2012-03-20,22.5,22.79,22.45,22.74,316891,22.74
2012-03-21,22.69,22.91,22.69,22.9,372597,22.9
2012-03-22,22.73,22.77,22.57,22.71,308864,22.71
2012-03-23,22.74,22.79,22.56,22.77,158392,22.77
2012-03-26,22.91,23.18,22.89,23.18,366495,23.18
2012-03-27,23.21,23.23,22.96,23.01,367090,23.01
2012-03-28,22.99,23.08,22.83,22.85,320414,22.85
2012-03-29,22.83,22.99,22.73,22.91,311437,22.91
2012-03-30,23,23.12,22.77,23.07,716429,23.07
2012-04-02,23.04,23.27,22.9,23.24,392348,23.24
2012-04-03,23.26,23.28,22.95,23.12,404659,23.12
2012-04-04,22.85,22.93,22.55,22.65,290803,22.65
2012-04-05,22.66,22.77,22.55,22.77,359515,22.77
2012-04-09,22.5,22.62,22.41,22.54,276687,22.54
2012-04-10,22.54,22.63,22.4,22.4,464151,22.4
2012-04-11,22.6,22.7,22.51,22.68,355778,22.68
2012-04-12,22.67,22.92,22.64,22.92,257503,22.92
2012-04-13,22.9,22.97,22.64,22.64,420055,22.64
2012-04-16,22.75,22.88,22.58,22.82,384277,22.82
2012-04-17,22.91,23.29,22.9,23.21,391615,23.21
2012-04-18,23.09,23.18,23.01,23.12,290657,23.12
2012-04-19,23.18,23.43,23.13,23.29,544234,23.29
2012-04-20,23.33,23.48,23.24,23.39,528050,23.39
2012-04-23,23.25,23.31,22.83,23.1,507967,23.1
2012-04-24,23.1,23.21,23.01,23.2,517472,23.2
2012-04-25,23.09,23.6,23.09,23.43,612791,23.43
2012-04-26,23.46,23.71,23.41,23.69,483451,23.69
2012-04-27,23.75,23.88,23.7,23.77,372927,23.77
2012-04-30,23.71,23.71,23.48,23.52,309626,23.52
2012-05-01,23.43,23.72,23.39,23.62,361372,23.62
2012-05-02,23.46,23.65,23.46,23.63,304235,23.63
2012-05-03,23.61,23.63,23.28,23.4,376117,23.4
2012-05-04,23.31,23.31,23.06,23.12,400771,23.12
2012-05-07,23.04,23.18,22.95,23.02,325053,23.02
2012-05-08,22.89,22.95,22.63,22.86,383930,22.86
2012-05-09,22.68,22.91,22.58,22.84,321383,22.84
2012-05-10,22.96,23.02,22.79,22.83,274257,22.83
2012-05-11,22.74,23.02,22.74,22.89,341252,22.89
2012-05-14,22.67,22.73,22.47,22.61,355095,22.61
