DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,64.63,65.17,64.22,64.88,638395,64.88
2012-01-04,64.66,65.46,64.56,64.86,514142,64.86
2012-01-05,64.69,65.08,64.16,64.96,468287,64.96
2012-01-06,65.13,65.3,63.93,64.03,446190,64.03
2012-01-09,64.23,64.76,64.12,64.23,445015,64.23
2012-01-10,64.62,64.95,64.14,64.3,492380,64.3
2012-01-11,64,64.8,64,64.49,340046,64.49
2012-01-12,64.86,64.99,64.27,64.84,405486,64.84
2012-01-13,64.57,65.45,64.49,65.43,629693,65.43
2012-01-17,66.04,66.28,65.4,66.26,641242,66.26
2012-01-18,66,66.47,65.8,66.38,481735,66.38
2012-01-19,66.68,68.37,66.68,68.35,685017,68.35
2012-01-20,68.47,69.1,67.97,69.05,741614,69.05
2012-01-23,69.05,69.7,68.92,69.23,627310,69.23
2012-01-24,68.82,68.86,68.3,68.63,463282,68.63
2012-01-25,68.66,69.4,68.18,69.11,590274,69.11
2012-01-26,72,74.88,72,74.51,1344510,74.51
2012-01-27,73.91,74.94,73.49,73.77,973455,73.77
2012-01-30,73.28,73.6,72.76,73.59,773448,73.59
2012-01-31,73.73,73.96,73.26,73.72,744662,73.72
2012-02-01,75,75.21,73.95,74.29,562423,74.29
2012-02-02,74.48,74.83,73.82,74.13,373559,74.13
2012-02-03,74.85,75.84,74.41,75.66,479024,75.66
2012-02-06,75.16,75.55,74.43,75.02,462258,75.02
2012-02-07,74.74,75.32,74.27,75.22,470664,75.22
2012-02-08,75.18,76.86,74.7,76.54,658252,76.54
2012-02-09,76.46,76.49,75.94,76.38,520256,76.38
2012-02-10,75.61,75.65,74.96,75.47,368974,75.47
2012-02-13,75.25,76.12,74.74,75.8,403982,75.8
2012-02-14,75.41,76,75.23,75.92,323358,75.92
2012-02-15,75.93,77.94,75.74,76.83,663581,76.83
2012-02-16,76.98,77.06,75.88,77.04,475221,77.04
2012-02-17,77.35,77.86,76.57,77.66,546308,77.66
2012-02-21,77.24,77.4,76.15,76.66,402120,76.66
2012-02-22,76.45,76.7,76.15,76.32,783714,76.32
2012-02-23,76.18,77.4,75.74,77.24,687444,77.24
2012-02-24,77.33,78.35,77.13,78.21,447794,78.21
2012-02-27,77.19,79.41,76.98,79.14,563948,79.14
2012-02-28,79.01,79.7,78.49,79.49,726487,79.49
2012-02-29,79.77,79.94,79.18,79.34,761804,79.34
2012-03-01,79.4,79.86,79.07,79.23,368803,79.23
2012-03-02,79.52,79.7,78.49,78.96,338363,78.96
2012-03-05,78.17,78.99,77.73,78.61,428305,78.61
2012-03-06,77.98,78.61,77.34,77.78,387551,77.78
2012-03-07,77.75,78.27,77.32,78.13,306396,78.13
2012-03-08,78.88,79.48,78.47,79.29,265109,79.29
2012-03-09,79.31,79.87,78.98,79.68,232105,79.68
2012-03-12,79.52,80.24,79.45,79.93,303919,79.93
2012-03-13,80.25,81.01,80.06,81,309799,81
2012-03-14,81.07,81.45,80.51,80.6,290208,80.6
2012-03-15,80.55,80.55,78.81,79.77,550191,79.77
2012-03-16,79.66,79.83,79,79.31,1022924,79.31
2012-03-19,79.51,80.64,79.03,80.31,303788,80.31
2012-03-20,80.1,80.31,79.78,80.04,259975,80.04
2012-03-21,80.19,81,80,80.72,367056,80.72
2012-03-22,80.05,80.69,79.92,80.18,636161,80.18
2012-03-23,80.46,81.01,79.76,80.86,343995,80.86
2012-03-26,81.28,81.66,80.87,81.44,389301,81.44
2012-03-27,81.66,81.74,81.24,81.31,279582,81.31
2012-03-28,81.42,81.59,80.49,80.52,474674,80.52
2012-03-29,79.99,80.46,79.63,80.34,356964,80.34
2012-03-30,80.62,81.57,80.54,81.5,507238,81.5
2012-04-02,81.23,81.97,80.97,81.87,302127,81.87
2012-04-03,81.64,81.86,80.46,80.91,274130,80.91
2012-04-04,80.46,80.79,79.96,80.59,417833,80.59
2012-04-05,80.23,80.89,79.96,80.84,179364,80.84
2012-04-09,79.8,80.45,79.52,79.93,296618,79.93
2012-04-10,79.71,79.75,77.67,77.77,340861,77.77
2012-04-11,78.48,79.47,78.38,79.07,279333,79.07
2012-04-12,79.04,80.3,78.62,80.22,321905,80.22
2012-04-13,80.26,81.05,80.2,80.38,303078,80.38
2012-04-16,80.42,81.11,80.15,80.96,247102,80.96
2012-04-17,81.38,81.99,81.1,81.78,488182,81.78
2012-04-18,81.43,81.97,81.34,81.8,226824,81.8
2012-04-19,81.79,82.16,81.01,81.43,253861,81.43
2012-04-20,81.48,82.85,81.42,81.89,498656,81.89
2012-04-23,81.25,81.57,80.22,81.03,379681,81.03
2012-04-24,81.02,81.87,80.78,80.94,297466,80.94
2012-04-25,81.87,82.4,81.41,82.15,398395,82.15
2012-04-26,83.02,83.55,78.68,81.14,705633,81.14
2012-04-27,81.46,81.46,80.25,80.65,371746,80.65
2012-04-30,80.52,80.72,79.87,80.45,298521,80.45
2012-05-01,80.33,81.74,80.33,81.32,351357,81.32
2012-05-02,80.97,81.97,80.25,81.62,530729,81.62
2012-05-03,81.45,81.91,80.18,80.85,525849,80.85
2012-05-04,80.25,80.57,78.46,78.77,423902,78.77
2012-05-07,78.49,79.47,78.17,79.23,426459,79.23
2012-05-08,78.92,78.92,77.59,78.72,709859,78.72
2012-05-09,77.93,78.58,76.81,77.05,587638,77.05
2012-05-10,77.44,77.94,76.87,77.35,431265,77.35
2012-05-11,76.93,78.44,76.86,77.15,482871,77.15
2012-05-14,76.26,76.75,75.7,76.11,349241,76.11
2012-05-15,75.94,77.07,75.9,76.33,346717,76.33
2012-05-16,76.62,76.99,76.23,76.35,403387,76.35
2012-05-17,76.28,76.39,74.45,74.48,268597,74.48
2012-05-18,74.9,75.07,73.8,74.07,830876,74.07
2012-05-21,74.12,76.64,73.83,76.58,405404,76.58
2012-05-22,76.7,77.03,75.64,76.16,394447,76.16
2012-05-23,75.76,75.95,74.71,75.74,478402,75.74
2012-05-24,75.81,76.94,75.67,76.9,500859,76.9
2012-05-25,77.02,77.45,76.05,76.42,291913,76.42
2012-05-29,76.35,76.82,75.8,76.71,299376,76.71
2012-05-30,76.13,76.32,75.5,75.83,379458,75.83
2012-05-31,75.74,75.92,74.77,75.4,556561,75.4
2012-06-01,74.58,74.96,73.95,74.15,437180,74.15
2012-06-04,74.07,74.6,73.69,73.99,386334,73.99
2012-06-05,73.82,75.36,73.75,75.19,554677,75.19
2012-06-06,75.49,76.04,75.45,75.7,526422,75.7
2012-06-07,76.56,76.56,75.17,75.22,670411,75.22
2012-06-08,75.14,76.13,75.04,76.07,400143,76.07
2012-06-11,76.64,77.37,76.48,76.64,671976,76.64
2012-06-12,77.11,77.88,76.91,77.88,537314,77.88
2012-06-13,77.31,77.83,76.57,77.02,447825,77.02
2012-06-14,77.26,78.35,76.97,77.92,418975,77.92
2012-06-15,77.75,78.36,77.47,77.93,1000445,77.93
2012-06-18,77.82,79.14,77.77,78.9,352769,78.9
2012-06-19,79.18,80.36,78.76,79.65,395569,79.65
2012-06-20,79.78,79.88,78.75,79.46,391653,79.46
2012-06-21,79.64,79.64,78.18,78.23,373743,78.23
2012-06-22,78.67,78.87,77.58,77.86,646803,77.86
2012-06-25,77.37,77.56,76.83,76.96,602137,76.96
2012-06-26,77.2,78.54,77.2,78.38,765292,78.38
2012-06-27,78.69,80.62,78.52,80,536044,80
2012-06-28,79.65,80.08,79.18,80.02,280948,80.02
2012-06-29,81.21,82.1,80.56,82.1,535267,82.1
2012-07-02,82.38,83.34,82.1,83.32,260966,83.32
2012-07-03,83.41,83.81,83.13,83.79,422869,83.79
2012-07-05,83.51,83.75,81.72,81.8,536482,81.8
2012-07-06,81.26,82.22,81.26,81.89,394349,81.89
2012-07-09,81.57,82.01,81.07,81.45,292913,81.45
2012-07-10,81.81,82.3,81.4,81.85,541298,81.85
2012-07-11,81.93,83.16,81.93,82.76,415903,82.76
2012-07-12,82.16,82.39,81.61,82.05,393811,82.05
2012-07-13,82.01,83.57,81.9,83.46,454613,83.46
2012-07-16,83.22,83.22,82.67,82.71,528461,82.71
2012-07-17,83.04,85.28,82.72,84.86,453066,84.86
2012-07-18,84.91,85.28,84.34,85.05,452295,85.05
2012-07-19,85.42,86.3,84.93,85.68,412880,85.68
2012-07-20,84.97,85.35,84.5,84.8,529294,84.8
2012-07-23,83.91,84.33,83.23,84.12,443093,84.12
2012-07-24,84.04,84.14,82.65,83.36,340725,83.36
2012-07-25,83.57,83.66,82.79,83.3,367338,83.3
2012-07-26,84.82,84.99,84.09,84.4,402273,84.4
2012-07-27,85,85.22,84.39,84.47,591430,84.47
2012-07-30,84.2,85.47,84.2,85,381910,85
2012-07-31,85.3,85.97,84.84,84.93,575553,84.93
2012-08-01,85.77,86.63,85.41,85.6,643798,85.6
2012-08-02,84.5,88.75,83.88,87.94,813470,87.94
2012-08-03,88.65,90,87.37,89.2,675924,89.2
2012-08-06,89.37,89.94,88.84,89.04,251089,89.04
2012-08-07,89.49,89.89,88.78,89.1,294041,89.1
2012-08-08,88.6,89.42,88.5,89.35,311615,89.35
2012-08-09,89.12,89.12,88.13,89.03,317000,89.03
2012-08-10,88.79,89.57,88.53,89.43,400068,89.43
2012-08-13,89.39,90.29,88.78,89.75,414165,89.75
2012-08-14,90.21,91.74,90.07,90.6,540751,90.6
2012-08-15,90.25,90.44,89.38,89.77,435511,89.77
2012-08-16,89.5,90.13,89.48,89.55,362457,89.55
2012-08-17,89.75,90,89.27,89.79,569861,89.79
2012-08-20,90.11,90.11,89.22,89.4,310183,89.4
2012-08-21,89.42,90.07,89.03,89.33,332533,89.33
2012-08-22,88.88,89.47,88.88,89.3,282276,89.3
2012-08-23,89.29,89.49,88.63,89.08,514707,89.08
2012-08-24,88.92,89.71,88.09,89.55,303029,89.55
2012-08-27,89.46,90.14,89.32,89.87,491911,89.87
2012-08-28,89.52,90.43,89.45,89.88,421691,89.88
2012-08-29,89.56,89.66,88.9,89.33,369309,89.33
2012-08-30,88.92,89.15,88.45,88.84,288539,88.84
2012-08-31,89.29,89.43,88.53,88.82,354341,88.82
2012-09-04,89,89.22,87.98,88.48,316877,88.48
2012-09-05,88.89,89.84,88.48,89.37,345392,89.37
2012-09-06,89.65,90.75,89.55,90.66,420548,90.66
2012-09-07,90.56,90.87,90.31,90.82,335743,90.82
2012-09-10,91.1,91.81,90.94,91.34,398884,91.34
2012-09-11,91.26,92.07,91.17,91.35,324960,91.35
2012-09-12,91.44,92.14,91.36,91.78,916334,91.78
2012-09-13,91.83,92.96,91.46,92.96,437964,92.96
2012-09-14,92.92,93.49,92.09,92.38,475927,92.38
2012-09-17,92.5,92.5,91.93,92.1,472993,92.1
2012-09-18,92.1,92.88,91.85,92.56,395509,92.56
2012-09-19,92.64,93.78,92.23,93.36,467864,93.36
2012-09-20,93.11,93.61,92.74,93.58,354487,93.58
2012-09-21,93.57,94.9,93.46,94.46,929156,94.46
2012-09-24,94.46,96.47,94.43,95.79,599376,95.79
2012-09-25,96.46,96.57,94.67,94.7,620171,94.7
2012-09-26,94.53,94.66,93.7,94.01,549379,94.01
2012-09-27,94.36,95.57,93.96,94.99,486878,94.99
2012-09-28,94.68,95.7,94.4,95.06,570014,95.06
2012-10-01,95.94,96.73,95.37,95.71,399233,95.71
2012-10-02,96.21,99.14,96.13,98.16,645023,98.16
2012-10-03,97.84,98.65,97.66,98.31,449612,98.31
2012-10-04,99,100.17,98.71,98.96,430055,98.96
2012-10-05,99.46,100.01,98.99,99.25,363045,99.25
2012-10-08,98.9,98.94,98.06,98.38,284300,98.38
2012-10-09,98.27,98.27,97.06,97.28,537179,97.28
2012-10-10,97.45,97.71,97.1,97.5,343206,97.5
2012-10-11,97.67,98.12,95.99,96.32,348764,96.32
2012-10-12,96.65,97.62,96.36,96.86,423649,96.86
2012-10-15,97.09,98.57,96.7,98.37,365505,98.37
2012-10-16,98.81,99.4,98.59,98.66,242366,98.66
2012-10-17,98.87,99.99,98.69,99.72,233660,99.72
2012-10-18,99.5,100.5,99.13,100.31,328646,100.31
2012-10-19,99.98,100.46,99.19,99.7,504517,99.7
2012-10-22,99.68,99.99,98.83,99.29,239834,99.29
2012-10-23,98.19,98.39,97.1,97.7,346482,97.7
2012-10-24,97.77,99.52,97.36,98.73,409602,98.73
2012-10-25,99.31,99.81,97.59,97.95,549146,97.95
2012-10-26,97.89,99.78,97.89,99.52,468594,99.52
2012-10-31,99.32,99.98,98.42,99.11,386664,99.11
2012-11-01,99.16,100,98.6,98.74,301490,98.74
2012-11-02,99.7,99.93,98.17,98.17,486429,98.17
2012-11-05,94.55,95.24,91.26,91.93,995124,91.93
2012-11-06,92.08,94.24,91.95,94.17,637460,94.17
2012-11-07,93.78,94.42,92.09,93.25,661625,93.25
2012-11-08,93.36,94.57,92.44,93.02,481267,93.02
2012-11-09,92.19,93.83,92.19,93.1,497917,93.1
2012-11-12,93.1,93.3,91.34,91.54,157509,91.54
2012-11-13,91.22,92.17,89.47,91.13,548796,91.13
2012-11-14,91.19,91.47,89.06,89.29,671132,89.29
2012-11-15,90.48,92.2,90.29,90.82,1093829,90.82
2012-11-16,90.54,90.8,89.52,90.48,827292,90.48
2012-11-19,91.21,92.41,90.79,92.38,520819,92.38
2012-11-20,92.27,93.72,92.22,92.92,626604,92.92
2012-11-21,92.68,92.81,91.81,92.13,322103,92.13
2012-11-23,92.62,93.58,92.52,93.55,137095,93.55
2012-11-26,93.06,94.15,92.83,93.09,514584,93.09
2012-11-27,92.83,94.18,92.71,93.28,590663,93.28
2012-11-28,92.25,92.83,91.52,92.66,507472,92.66
2012-11-29,93.09,94.37,92.78,94.13,568010,94.13
2012-11-30,94.07,95.38,93.83,94.89,891461,94.89
2012-12-03,95.17,96.23,95,95.23,439635,95.23
2012-12-04,95.01,95.55,94.75,94.98,385623,94.98
2012-12-05,95.04,95.16,93.81,94.45,557004,94.45
2012-12-06,94.6,94.67,94.04,94.39,486487,94.39
2012-12-07,94.71,95.1,94.48,94.89,415543,94.89
2012-12-10,94.63,94.89,93.68,93.92,454426,93.92
2012-12-11,94.55,95.04,93.61,93.98,592916,93.98
2012-12-12,94.34,94.94,93.71,93.79,490522,93.79
2012-12-13,93.93,94.86,93.54,93.82,409513,93.82
2012-12-14,93.47,94.52,93.23,94.07,384904,94.07
2012-12-17,94.17,95.97,94.17,95.93,368093,95.93
2012-12-18,95.76,96.55,94.88,96.27,543367,96.27
2012-12-19,96.22,96.33,95.45,95.65,733361,95.65
2012-12-20,95.6,97.43,95.46,97.27,393205,97.27
2012-12-21,97.25,97.25,95.2,95.53,1383023,95.53
2012-12-24,96.02,96.99,95.8,96.74,229402,96.74
2012-12-26,96.68,96.68,95.35,96.05,222788,96.05
2012-12-27,96.18,96.7,94.97,96.22,496673,96.22
2012-12-28,95.65,96.39,95.1,95.18,314138,95.18
2012-12-31,95.02,97.23,95,97.19,380235,97.19
2013-01-02,98.41,99.19,98.35,99.15,435460,99.15
2013-01-03,99.04,99.04,97.77,97.89,324851,97.89
2013-01-04,98,98.13,97.39,97.75,293840,97.75
2013-01-07,97.29,97.87,97.1,97.26,241553,97.26
2013-01-08,96.3,96.56,93.91,96.36,1099751,96.36
2013-01-09,96.66,97.91,96.59,97.56,477447,97.56
2013-01-10,97.85,97.97,97.18,97.95,343205,97.95
2013-01-11,97.86,98.15,97.45,97.88,259298,97.88
2013-01-14,97.87,98.63,97.87,98.32,240097,98.32
