DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,29.5,29.93,29.5,29.77,2411806,29.77
2012-01-04,29.54,29.75,29.28,29.57,2474998,29.57
2012-01-05,29.44,29.9,29.44,29.78,2059057,29.78
2012-01-06,29.61,29.78,29.46,29.77,1767582,29.77
2012-01-09,29.72,30.26,29.7,30.15,2903331,30.15
2012-01-10,30.25,30.69,30.07,30.67,3574064,30.67
2012-01-11,30.38,30.77,30.3,30.73,1960130,30.73
2012-01-12,30.79,31.44,30.65,31.365,2680881,31.365
2012-01-13,31.11,31.36,30.81,30.95,2722807,30.95
2012-01-17,31.34,31.38,31,31.08,1769827,31.08
2012-01-18,31.99,33.83,31.97,33.72,7787751,33.72
2012-01-19,33.44,34.1,33.31,33.82,4256587,33.82
2012-01-20,33.59,33.74,33.26,33.64,3938688,33.64
2012-01-23,33.39,33.79,33.01,33.19,3689142,33.19
2012-01-24,33.34,33.48,32.46,32.54,6281282,32.54
2012-01-25,32.56,32.895,32.01,32.8,4403783,32.8
2012-01-26,32.87,33.23,32.24,32.36,3838765,32.36
2012-01-27,31.96,32.825,31.95,32.61,3074671,32.61
2012-01-30,32.18,32.29,32,32.18,2970787,32.18
2012-01-31,32.36,32.47,31.995,32.38,3236461,32.38
2012-02-01,32.77,33.19,32.45,32.86,3697046,32.86
2012-02-02,32.85,33.2,32.84,33.06,2827277,33.06
2012-02-03,33.27,34.09,33.25,33.93,4265540,33.93
2012-02-06,33.7,33.78,33.3,33.61,3173797,33.61
2012-02-07,33.37,33.62,33.08,33.43,3065045,33.43
2012-02-08,33.43,34.05,33.41,33.85,3021520,33.85
2012-02-09,33.95,33.99,33.68,33.8,2015329,33.8
2012-02-10,33.4,33.5,33.19,33.335,1783004,33.335
2012-02-13,33.52,33.75,32.75,33.24,2291245,33.24
2012-02-14,33.09,33.24,32.72,33.22,2359683,33.22
2012-02-15,33.32,33.54,33.1,33.41,2485814,33.41
2012-02-16,33.47,34.205,33.3,33.92,2612716,33.92
2012-02-17,34.08,34.15,33.465,33.59,2768701,33.59
2012-02-21,33.63,33.63,33.2,33.28,2159574,33.28
2012-02-22,33.18,33.41,32.9,32.96,1816266,32.96
2012-02-23,32.84,33.5,32.54,33.32,2091182,33.32
2012-02-24,33.48,33.59,33.29,33.32,1253822,33.32
2012-02-27,33.06,33.4,32.8,33.11,2052624,33.11
2012-02-28,33.19,33.83,33.15,33.72,2375262,33.72
2012-02-29,33.73,33.73,33.3,33.35,2573554,33.35
2012-03-01,33.49,33.55,33.01,33.17,2165564,33.17
2012-03-02,33.13,33.35,32.78,32.82,1512255,32.82
2012-03-05,32.71,32.78,32.12,32.19,2399205,32.19
2012-03-06,31.86,32.18,31.67,32.12,3149723,32.12
2012-03-07,32.13,32.76,32.06,32.65,2880125,32.65
2012-03-08,32.95,32.97,32.56,32.6,2391914,32.6
2012-03-09,32.12,32.49,32.02,32.27,3636869,32.27
2012-03-12,32.31,32.44,31.905,31.95,2221415,31.95
2012-03-13,32.07,32.3,31.94,32.29,3086978,32.29
2012-03-14,32.21,32.64,31.93,32.01,2668396,32.01
2012-03-15,32.1,32.82,32.05,32.78,2823674,32.78
2012-03-16,32.78,33.3,32.69,33.02,4532766,33.02
2012-03-19,33,33.92,32.98,33.84,2748703,33.84
2012-03-20,33.65,33.71,33.26,33.58,2502545,33.58
2012-03-21,33.57,33.76,33.23,33.61,2233155,33.61
2012-03-22,33.31,33.51,33.18,33.41,1824095,33.41
