DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,18.7025,18.75,18.0075,18.045,1059888,18.045
2012-01-04,18.025,18.3425,17.8625,18.165,1058172,18.165
2012-01-05,18.0775,18.315,17.565,18.3125,1085564,18.3125
2012-01-06,18.31,18.705,18.2025,18.5375,929372,18.5375
2012-01-09,18.5775,18.7825,18.25,18.5925,712676,18.5925
2012-01-10,18.875,18.925,18.51,18.7875,790908,18.7875
2012-01-11,18.6825,18.96,18.66,18.94,779340,18.94
2012-01-12,19.0975,19.4675,18.9075,19.415,1538716,19.415
2012-01-13,19.2925,19.6,19.165,19.2925,1104564,19.2925
2012-01-17,19.36,19.635,18.985,19.0675,785796,19.0675
2012-01-18,18.385,18.575,17.95,18.31,2027368,18.31
2012-01-19,18.4125,18.58,17.975,18.235,2470488,18.235
2012-01-20,18.155,18.485,18.0975,18.405,1045516,18.405
2012-01-23,18.6775,19.2225,18.625,18.9425,986632,18.9425
2012-01-24,18.8175,19.185,18.715,19.1,1070628,19.1
2012-01-25,19.0475,19.4625,18.9525,19.3725,1618332,19.3725
2012-01-26,19,19.31,18.1425,18.35,3991252,18.35
2012-01-27,18.255,19.3725,18.2075,19.23,1742800,19.23
2012-01-30,18.975,19.385,18.765,19.265,1115404,19.265
2012-01-31,19.62,20.11,19.54,19.905,1697040,19.905
2012-02-01,20,20.02,19.5725,19.61,1401284,19.61
2012-02-02,19.6325,19.7475,19.28,19.395,1042056,19.395
2012-02-03,19.605,20.1275,19.545,20.115,900344,20.115
2012-02-06,19.9525,20.3525,19.875,20.2,853680,20.2
2012-02-07,20.2,20.3375,19.95,20.2575,730836,20.2575
2012-02-08,20.3725,20.815,20.1475,20.4,1269420,20.4
2012-02-09,20.4225,20.71,20.2225,20.705,1000820,20.705
2012-02-10,20.4,20.585,20.3125,20.5125,840976,20.5125
2012-02-13,20.6725,20.6725,20.3175,20.62,522576,20.62
2012-02-14,20.5575,21.1875,20.4825,21.1875,1199404,21.1875
2012-02-15,21.075,21.7175,20.915,21.0125,1727392,21.0125
2012-02-16,21,21.43,20.98,21.4075,818676,21.4075
2012-02-17,21.3525,21.6175,21.1375,21.2175,773048,21.2175
2012-02-21,21,21.1375,20.53,20.63,629824,20.63
2012-02-22,20.5525,20.8625,20.5525,20.7025,471268,20.7025
2012-02-23,20.75,20.9225,20.5525,20.6,516028,20.6
2012-02-24,21.2,21.575,20.8775,21.4575,1134676,21.4575
2012-02-27,21.275,21.935,21.08,21.79,1041244,21.79
2012-02-28,21.8825,22.225,21.545,21.93,927244,21.93
2012-02-29,22.3125,22.4675,22,22.31,1281996,22.31
2012-03-01,22.375,23.0675,22.3275,23.03,1055476,23.03
2012-03-02,23.0225,23.13,22.8,23.055,644516,23.055
2012-03-05,23.0375,23.28,22.91,22.98,605380,22.98
2012-03-06,22.5625,22.6675,22.0225,22.21,1110092,22.21
2012-03-07,22.315,22.895,22.2775,22.755,707032,22.755
2012-03-08,23.015,23.33,22.9475,23.2125,630688,23.2125
2012-03-09,23.2,23.8575,23.1475,23.735,754600,23.735
2012-03-12,23.285,23.955,23.0625,23.8375,907484,23.8375
2012-03-13,23.9875,24.4575,23.895,24.425,868988,24.425
2012-03-14,24.35,24.7675,24.3,24.3925,877976,24.3925
2012-03-15,24.39,24.495,23.9325,24.0075,958504,24.0075
2012-03-16,24.0125,24.0825,23.46,23.5775,1169948,23.5775
2012-03-19,23.7025,24.1825,23.4975,23.945,508772,23.945
2012-03-20,23.8025,24.23,23.7775,24.145,427344,24.145
2012-03-21,24.18,24.5975,24.1275,24.4125,528364,24.4125
2012-03-22,24.205,24.63,24.1475,24.435,550152,24.435
2012-03-23,24.415,24.4225,23.7875,24.275,458580,24.275
2012-03-26,24.45,24.8275,24.42,24.74,567652,24.74
2012-03-27,24.74,24.805,24.3725,24.4,469900,24.4
2012-03-28,24.4,24.4125,23.6175,23.97,460944,23.97
2012-03-29,23.485,23.5375,22.925,23.51,1266060,23.51
2012-03-30,23.715,24,23.35,23.5,705984,23.5
2012-04-02,23.615,24.2625,23.4675,24.0475,717148,24.0475
2012-04-03,24.075,24.5575,24.0025,24.5225,622788,24.5225
2012-04-04,23.75,24,23.47,23.6125,1117252,23.6125
2012-04-05,23.6875,24.065,23.6875,23.8825,570440,23.8825
2012-04-09,23.825,23.87,23.5125,23.8175,687168,23.8175
2012-04-10,23.775,23.8425,22.9125,23.0625,818676,23.0625
2012-04-11,23.33,23.6975,23.275,23.5525,653436,23.5525
2012-04-12,23.5275,23.8025,23.445,23.77,296712,23.77
2012-04-13,23.8125,24.0825,23.545,24.065,626424,24.065
2012-04-16,24.2375,24.395,23.73,23.77,500296,23.77
2012-04-17,23.9,24.35,23.9,24.0975,636824,24.0975
2012-04-18,24.0325,24.3975,23.8,24.255,568792,24.255
2012-04-19,24.2225,24.3,23.9425,24.125,1468192,24.125
2012-04-20,23.645,25.705,23.5375,25.3825,2986172,25.3825
2012-04-23,25.015,25.2375,24.5225,25.1125,1448956,25.1125
2012-04-24,25.1375,25.185,23.7025,23.835,1311472,23.835
2012-04-25,24.0025,24.3425,23.7025,24.165,1035932,24.165
2012-04-26,24.2675,24.475,24.005,24.3975,810576,24.3975
2012-04-27,24.4875,24.89,24.0825,24.7225,901236,24.7225
2012-04-30,24.685,24.825,24.4,24.4825,487080,24.4825
2012-05-01,24.3975,24.8525,24.0575,24.5775,799244,24.5775
2012-05-02,24.4025,25.44,24.3875,25.2775,942456,25.2775
2012-05-03,25.1125,25.475,24.7725,24.8425,651112,24.8425
2012-05-04,24.5975,24.7225,23.9075,24.1325,589608,24.1325
2012-05-07,24.015,24.345,23.875,24.2025,640188,24.2025
2012-05-08,23.965,24.09,22.3425,23.17,1436124,23.17
2012-05-09,23.28,23.775,22.875,23.485,1456656,23.485
2012-05-10,23.7075,23.795,23.2225,23.4675,678692,23.4675
2012-05-11,23.375,23.885,23.2775,23.705,600032,23.705
2012-05-14,23.4425,23.7375,23.2175,23.515,646416,23.515
2012-05-15,23.575,23.9825,23.525,23.65,863636,23.65
2012-05-16,23.5525,23.88,23.3775,23.6825,1231944,23.6825
2012-05-17,23.6425,23.7075,22.505,22.5075,1103060,22.5075
2012-05-18,22.5075,23.0675,22.15,22.25,1007988,22.25
2012-05-21,22.25,23.3625,22.195,23.3025,569068,23.3025
2012-05-22,23.365,23.785,23.2775,23.59,504576,23.59
2012-05-23,23.3975,23.9275,23.2425,23.72,557704,23.72
2012-05-24,23.7125,24.5125,23.64,24.3225,1099488,24.3225
2012-05-25,24.33,24.615,24.3275,24.5475,395124,24.5475
