DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,39.04,39.1,37.08,37.71,422185,37.71
2012-01-04,37.48,37.69,36.58,37.01,267803,37.01
2012-01-05,37.02,38.18,36.59,38.06,325212,38.06
2012-01-06,38.28,39.53,38.16,39.2,221370,39.2
2012-01-09,39.49,39.49,38.21,39.04,238720,39.04
2012-01-10,38.85,39.18,36.89,37.08,654666,37.08
2012-01-11,37.07,38.8,37.05,38.76,388982,38.76
2012-01-12,38.92,38.92,36.88,37.45,291709,37.45
2012-01-13,37.14,37.5,36.43,36.93,266116,36.93
2012-01-17,37.23,37.49,36.76,36.82,152559,36.82
2012-01-18,36.72,37.09,36.38,36.95,296453,36.95
2012-01-19,37.23,37.87,37.13,37.44,195544,37.44
2012-01-20,37.4,37.56,37.14,37.26,119201,37.26
2012-01-23,37.32,37.8,37.32,37.67,108897,37.67
2012-01-24,37.52,40.59,37.43,40.44,485110,40.44
2012-01-25,40.46,42.11,40.23,42.05,383874,42.05
2012-01-26,42.14,42.14,41,41.26,279238,41.26
2012-01-27,41.12,41.93,41.12,41.82,175550,41.82
2012-01-30,41.6,41.85,41.1,41.22,277094,41.22
2012-01-31,41.37,41.96,40.96,41.29,333315,41.29
2012-02-01,41.46,42.43,41.45,41.88,261234,41.88
2012-02-02,42.01,42.01,41.42,41.6,191410,41.6
2012-02-03,42,42.45,41.9,42.37,263090,42.37
2012-02-06,43.01,43.06,41.15,41.63,348527,41.63
2012-02-07,41.39,41.9,41.18,41.65,232147,41.65
2012-02-08,41.77,42.14,41.4,41.65,184963,41.65
2012-02-09,41.82,41.88,40.79,41.27,247431,41.27
2012-02-10,41.2,42.43,40.67,42.4,267210,42.4
2012-02-13,43.01,43.38,42.45,43.03,273507,43.03
2012-02-14,43.09,43.22,42.57,42.73,272671,42.73
2012-02-15,42.85,43.13,41.99,42.52,241914,42.52
2012-02-16,42.5,42.8,42.1,42.49,201959,42.49
2012-02-17,42.68,42.68,40.86,41.15,327144,41.15
2012-02-21,41.4,41.8,41.05,41.24,188484,41.24
2012-02-22,41.53,42.37,41.16,42.21,256051,42.21
2012-02-23,42.29,43.56,42.29,43.2,284201,43.2
2012-02-24,43.18,44.62,43.05,43.91,208960,43.91
2012-02-27,43.35,44.34,42.9,43.97,318226,43.97
2012-02-28,43.75,45.25,43.75,44.78,380216,44.78
2012-02-29,44.89,45.31,43.99,44.61,278805,44.61
2012-03-01,45.05,45.06,44.05,44.32,217490,44.32
2012-03-02,44.35,44.62,43.67,43.87,133432,43.87
2012-03-05,43.8,44.12,43.37,43.42,267247,43.42
2012-03-06,43.06,43.26,42.22,42.72,309642,42.72
2012-03-07,42.98,43.59,42.85,43.11,237169,43.11
2012-03-08,43.4,43.93,43.14,43.28,199684,43.28
2012-03-09,43.38,44.22,43.38,43.6,181705,43.6
2012-03-12,43.51,43.63,42.92,43.4,228067,43.4
2012-03-13,43.59,43.65,42.8,43.33,336925,43.33
2012-03-14,43.28,43.64,42.94,43.44,278972,43.44
2012-03-15,43.55,44.31,43.23,44.11,282004,44.11
2012-03-16,44,44.63,43.98,44.53,423309,44.53
2012-03-19,44.43,44.65,44.03,44.14,226140,44.14
2012-03-20,43.81,43.9,42.74,43.01,239036,43.01
2012-03-21,43.01,43.01,42.2,42.41,245462,42.41
2012-03-22,42.13,42.59,41.91,42.06,234316,42.06
2012-03-23,42.06,42.51,42.06,42.38,159102,42.38
2012-03-26,42.81,43.49,42.77,43.3,246361,43.3
2012-03-27,43.3,43.65,42.26,42.62,276511,42.62
2012-03-28,42.52,42.74,41.4,41.62,270240,41.62
2012-03-29,41.52,41.95,40.71,41.78,371639,41.78
2012-03-30,42.08,42.22,41.63,41.91,250882,41.91
2012-04-02,41.95,42.7,41.82,42.36,389530,42.36
2012-04-03,42.38,43.22,42.24,43.15,394151,43.15
2012-04-04,42.77,43.11,42.52,42.99,253510,42.99
2012-04-05,42.79,42.92,42.54,42.68,148895,42.68
2012-04-09,42.12,42.12,41.05,41.44,403353,41.44
2012-04-10,41.43,41.52,40.8,40.98,269515,40.98
2012-04-11,41.44,41.6,41.02,41.29,265294,41.29
2012-04-12,41.46,43.61,41.46,43.14,374638,43.14
2012-04-13,42.87,43,41.97,42.23,244167,42.23
2012-04-16,42.46,42.52,41.55,41.98,186919,41.98
2012-04-17,42.06,43.56,42.04,43.19,209437,43.19
2012-04-18,43.05,43.35,42.91,43.22,175903,43.22
2012-04-19,43.32,44.03,42.86,43.07,259570,43.07
2012-04-20,43.32,43.56,42.69,42.8,243852,42.8
2012-04-23,42.41,42.55,41.68,42.49,253813,42.49
2012-04-24,42.48,42.96,42.1,42.67,150422,42.67
2012-04-25,43.23,44.35,43.23,43.32,228127,43.32
2012-04-26,43.1,44.31,42.9,43.45,352624,43.45
2012-04-27,43.87,44.56,42.91,43.72,418170,43.72
2012-04-30,43.42,43.55,42.4,42.71,322190,42.71
2012-05-01,42.51,43.81,42.39,43.25,273788,43.25
2012-05-02,43.06,43.24,42.3,42.39,249406,42.39
2012-05-03,42.46,42.46,41.55,41.67,461296,41.67
2012-05-04,41.49,41.56,40.37,40.98,377206,40.98
2012-05-07,40.85,41.09,40.7,40.8,170889,40.8
2012-05-08,40.64,41.19,39.9,41,281486,41
2012-05-09,40.54,40.6,39.98,40.43,308208,40.43
2012-05-10,40.72,41.03,40.39,40.5,192064,40.5
2012-05-11,40.3,40.67,39.97,40.03,153329,40.03
2012-05-14,39.64,39.82,39.36,39.64,232285,39.64
2012-05-15,39.56,39.68,38.74,38.87,383559,38.87
2012-05-16,39.06,39.26,38.68,38.74,261287,38.74
2012-05-17,38.63,39.07,38.07,38.15,281790,38.15
2012-05-18,38.18,38.25,37.56,37.81,287514,37.81
2012-05-21,37.82,38.35,37.39,38.29,198009,38.29
2012-05-22,38.39,38.92,38.09,38.3,260777,38.3
2012-05-23,38.01,39.01,37.81,38.85,321014,38.85
2012-05-24,38.86,39.64,38.57,38.97,301304,38.97
2012-05-25,38.99,39.32,38.86,39.07,141266,39.07
2012-05-29,39.41,39.83,39.1,39.62,127913,39.62
2012-05-30,39.26,39.26,38.61,38.78,133286,38.78
2012-05-31,38.71,39.03,38,38.75,397197,38.75
2012-06-01,38.11,38.33,36.9,37.3,429194,37.3
2012-06-04,37.96,38.64,37.7,37.89,425890,37.89
2012-06-05,37.86,38.87,37.7,38.72,210233,38.72
2012-06-06,38.95,39.41,38.68,39.27,273256,39.27
2012-06-07,39.67,39.75,39.01,39.07,151312,39.07
2012-06-08,39.05,39.96,38.75,39.52,134596,39.52
2012-06-11,40.22,40.68,39.79,39.93,423758,39.93
2012-06-12,40.19,40.19,39.44,39.82,183888,39.82
2012-06-13,39.79,39.96,38.96,39.15,207024,39.15
2012-06-14,39.22,39.67,39.15,39.29,178810,39.29
2012-06-15,39.49,39.81,39.2,39.42,405849,39.42
2012-06-18,39.26,39.91,39.18,39.79,318933,39.79
2012-06-19,39.93,40.76,39.69,40.5,308154,40.5
2012-06-20,40.36,41.15,40.21,40.44,396290,40.44
2012-06-21,40.49,40.51,39.14,39.32,329986,39.32
2012-06-22,39.34,39.94,39.28,39.76,720449,39.76
2012-06-25,39.34,39.39,38.48,38.85,381577,38.85
2012-06-26,38.81,39.26,38.45,39.16,288386,39.16
2012-06-27,39.36,39.64,39,39.25,208815,39.25
2012-06-28,39.08,43.15,39,42.6,1004339,42.6
2012-06-29,42.6,43.8,42.57,43.16,663649,43.16
2012-07-02,43.15,43.15,42.58,42.9,264239,42.9
2012-07-03,42.84,43.17,42.67,42.82,138456,42.82
2012-07-05,42.8,42.95,42.04,42.57,315817,42.57
2012-07-06,42.1,42.91,42.1,42.29,228601,42.29
2012-07-09,42.33,42.83,41.88,42.34,253831,42.34
2012-07-10,42.77,42.77,41.93,42.09,288699,42.09
2012-07-11,42.17,42.42,41.6,41.82,230205,41.82
2012-07-12,41.63,41.65,40.89,41.45,389208,41.45
2012-07-13,41.64,41.87,41.28,41.63,279817,41.63
2012-07-16,41.6,41.6,40.57,41.31,298573,41.31
2012-07-17,41.44,41.58,40.74,41.27,293983,41.27
2012-07-18,40.59,41.16,40.28,40.38,405321,40.38
2012-07-19,40.5,40.5,39.74,40.23,294418,40.23
2012-07-20,40.04,40.37,39.82,40,400228,40
2012-07-23,39.38,39.43,38.74,38.82,321956,38.82
2012-07-24,38.69,38.87,38.16,38.25,415702,38.25
2012-07-25,38.21,38.37,37.79,38.26,280762,38.26
