DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,51.49,51.7,51.11,51.49,1521286,51.49
2012-01-04,51.25,52.25,51.25,52.24,1455588,52.24
2012-01-05,51.89,52.73,51.81,52.59,1449514,52.59
2012-01-06,52.75,53.42,52.48,52.78,1312128,52.78
2012-01-09,52.73,52.96,52.47,52.72,1144026,52.72
2012-01-10,52.99,53,52.38,52.62,1825685,52.62
2012-01-11,52.42,53.12,52.06,53.01,958441,53.01
2012-01-12,53.23,53.23,52.54,52.87,987213,52.87
2012-01-13,52.69,52.79,51.93,52.7,1276858,52.7
2012-01-17,53,53.64,52.89,53.57,1149785,53.57
2012-01-18,53.35,54.18,52.93,53.94,1287378,53.94
2012-01-19,52.63,53.02,51.42,52.32,2539494,52.32
2012-01-20,52.45,52.45,51.61,52.27,2596083,52.27
2012-01-23,52.2,53.05,51.96,52.43,1851187,52.43
2012-01-24,52.27,52.51,51.23,51.33,1967471,51.33
2012-01-25,50.51,51.65,49.82,51.57,2410689,51.57
2012-01-26,51.56,51.72,49.9,50.35,2448539,50.35
2012-01-27,50.34,51.24,50.34,51.02,1981719,51.02
2012-01-30,50.38,51.17,50.07,51.07,1203020,51.07
2012-01-31,51.49,52.88,51.45,51.79,2259818,51.79
2012-02-01,52.33,53.61,52.13,53.26,1664773,53.26
2012-02-02,53.25,53.25,52.02,52.54,1361599,52.54
2012-02-03,52.65,52.75,50.75,51.31,2500658,51.31
2012-02-06,51.01,51.39,50.7,51.29,1407584,51.29
2012-02-07,51.09,52.13,50.91,52.03,1269627,52.03
2012-02-08,51.85,52.36,51.65,52.14,1185936,52.14
2012-02-09,52.21,53.52,52.21,53.06,1527120,53.06
2012-02-10,52.5,53.5,52.34,53.32,1409505,53.32
2012-02-13,53.5,54.24,53.39,53.85,1120762,53.85
2012-02-14,53.88,54.49,53.57,54.46,1111902,54.46
2012-02-15,54.47,54.84,54.22,54.62,1440119,54.62
2012-02-16,54.62,54.89,54.28,54.79,1276419,54.79
2012-02-17,54.65,54.84,54.54,54.68,1893498,54.68
2012-02-21,54.98,55.52,54.88,55.32,1469638,55.32
2012-02-22,55.25,55.63,54.69,55.18,1082322,55.18
2012-02-23,55.15,55.35,54.67,54.94,1247777,54.94
2012-02-24,55.12,55.74,55,55.65,978977,55.65
2012-02-27,55.36,56.16,55.28,55.73,1111665,55.73
2012-02-28,55.63,55.94,55.25,55.84,1303411,55.84
2012-02-29,55.99,56.09,55.57,55.75,2057068,55.75
2012-03-01,55.75,56.1,55.6,55.99,1097949,55.99
2012-03-02,55.96,56.05,55.38,55.84,928464,55.84
2012-03-05,55.64,56.07,55.04,55.04,1009048,55.04
2012-03-06,54.68,55.41,54.12,54.46,1281032,54.46
2012-03-07,54.36,54.73,54.24,54.39,1139707,54.39
2012-03-08,54.92,56.03,54.86,55.61,1104860,55.61
2012-03-09,55.65,56.1,55.5,55.78,960852,55.78
2012-03-12,55.88,55.88,54.95,55.02,924623,55.02
2012-03-13,55.05,55.38,54.7,55.33,1540643,55.33
2012-03-14,55.16,55.87,55.04,55.78,1483402,55.78
2012-03-15,55.9,56.24,55.54,55.71,1289698,55.71
2012-03-16,55.54,55.82,55.41,55.59,4239836,55.59
2012-03-19,56.12,56.34,55.8,56.13,1431041,56.13
2012-03-20,55.93,56.03,54.73,54.78,1171991,54.78
2012-03-21,54.93,54.95,53.96,53.97,1589391,53.97
2012-03-22,53.55,54.2,53.4,53.88,1614917,53.88
2012-03-23,53.87,53.99,53.52,53.66,1747003,53.66
2012-03-26,53.86,55.1,53.86,55.1,1508755,55.1
2012-03-27,55.25,55.57,54.19,55.43,1481305,55.43
2012-03-28,55.39,55.96,54.88,55.44,1158145,55.44
2012-03-29,55,58.32,54.98,58.11,3064018,58.11
2012-03-30,58,59.43,57.76,58.94,2754602,58.94
2012-04-02,58.91,59.27,58.12,59.12,1789334,59.12
2012-04-03,59.02,59.6,58.73,59.4,1401589,59.4
2012-04-04,59.07,59.28,58.67,59.06,1363650,59.06
2012-04-05,58.82,59.18,58.61,59.01,1237375,59.01
2012-04-09,58.38,58.61,58.01,58.14,1156993,58.14
2012-04-10,57.76,58.31,57.23,57.56,1342948,57.56
2012-04-11,58.05,58.49,57.85,58.02,1782116,58.02
2012-04-12,58.03,58.62,57.72,58.46,1212203,58.46
2012-04-13,58.39,58.55,57.74,58.05,1391850,58.05
2012-04-16,58.21,58.21,57.36,57.36,1474275,57.36
2012-04-17,57.61,58.39,57.31,58.1,1317722,58.1
