DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,54.05,54.545,53.945,54,1439944,54
2012-01-04,53.665,54.59,53.665,54.39,997300,54.39
2012-01-05,53.995,54.36,53.95,53.995,1164194,53.995
2012-01-06,54.225,54.295,53.535,53.765,948600,53.765
2012-01-09,54.005,54.81,53.67,54.745,1094976,54.745
2012-01-10,55.35,56.26,55.35,55.68,1453370,55.68
2012-01-11,55.5,56.19,55.455,55.99,825690,55.99
2012-01-12,56.125,56.125,55.3,55.525,1400926,55.525
2012-01-13,54.85,55.11,54.04,54.865,1495840,54.865
2012-01-17,55.58,55.58,54.435,54.75,1341598,54.75
2012-01-18,54.83,55.65,54.645,54.91,1743186,54.91
2012-01-19,56.5,57.405,56.055,56.09,1818022,56.09
2012-01-20,56.46,56.765,55.895,56.42,2006732,56.42
2012-01-23,56.665,56.72,55.385,55.61,1186584,55.61
2012-01-24,54.5,55.92,54.45,55.605,1839102,55.605
2012-01-25,55.31,56.945,55.035,56.815,1474414,56.815
2012-01-26,57.085,57.895,56.75,56.84,1274818,56.84
2012-01-27,56.77,57.61,56.605,57.45,1701812,57.45
2012-01-30,56.685,57.495,56.68,57.32,2006556,57.32
2012-01-31,57.84,57.84,56.81,57.155,1421284,57.155
2012-02-01,57.855,58.695,57.35,57.42,1384196,57.42
2012-02-02,57.25,57.835,57.08,57.365,1023264,57.365
2012-02-03,58,58.35,57.805,58.055,1129028,58.055
2012-02-06,57.8,58.045,57.195,57.525,1182564,57.525
2012-02-07,57.255,57.53,56.14,57.34,1146270,57.34
2012-02-08,57.55,57.855,56.91,57.175,1182036,57.175
2012-02-09,57.33,57.37,56.17,56.4,1780588,56.4
2012-02-10,55.75,55.99,55.265,55.815,1530566,55.815
2012-02-13,56.22,56.66,55.77,56.59,1065684,56.59
2012-02-14,56.335,56.85,55.94,56.585,791268,56.585
2012-02-15,56.98,57,54.43,54.705,2151646,54.705
2012-02-16,54.635,55,54.16,54.44,1895866,54.44
2012-02-17,54.87,55.675,54.57,55.495,2693572,55.495
2012-02-21,55.75,56.09,55.235,55.89,1529354,55.89
2012-02-22,55.685,56.33,55.525,56.04,1385452,56.04
2012-02-23,55.99,56.005,55.065,55.975,977472,55.975
2012-02-24,55.955,56.84,55.825,56.31,698986,56.31
2012-02-27,55.685,56.975,55.63,56.37,973896,56.37
2012-02-28,56.455,56.495,55.605,56.11,688776,56.11
2012-02-29,56.125,56.34,55.07,55.125,1611488,55.125
2012-03-01,55.13,56,54.975,55.765,1493024,55.765
2012-03-02,55.675,56.06,55.22,55.445,1300648,55.445
2012-03-05,55.365,55.66,54.56,54.775,1295638,54.775
2012-03-06,53.27,53.61,52.39,53.4,2162826,53.4
2012-03-07,53.465,54.33,53.35,53.92,1267682,53.92
2012-03-08,54.34,54.795,53.63,54.635,1679760,54.635
2012-03-09,54.675,54.88,53.67,53.82,1424450,53.82
2012-03-12,53.975,54.37,53.655,54.075,1201680,54.075
2012-03-13,54.32,55.265,53.87,55.195,1413858,55.195
2012-03-14,55.055,55.195,53.655,53.855,1722712,53.855
2012-03-15,54.5,57.16,54.225,56.54,3395554,56.54
2012-03-16,56.575,57.42,56.38,56.575,3034256,56.575
2012-03-19,56.24,56.835,56.115,56.505,790040,56.505
2012-03-20,56.065,56.105,55.375,55.92,945022,55.92
2012-03-21,56.1,56.35,55.6,56.155,793122,56.155
2012-03-22,55.68,55.68,54.725,55.02,1226954,55.02
2012-03-23,55.205,55.205,54.325,54.445,1160232,54.445
2012-03-26,54.88,55.74,54.695,55.665,1146430,55.665
2012-03-27,55.815,55.845,55.12,55.255,1034516,55.255
2012-03-28,55.055,55.265,53.61,53.955,1307252,53.955
2012-03-29,53.495,53.84,52.48,53.7,1551258,53.7
2012-03-30,54,54.245,53.6,53.74,1460778,53.74
2012-04-02,53.55,55.025,53.55,54.8,1444344,54.8
2012-04-03,54.58,54.71,52.95,53.875,1903242,53.875
2012-04-04,53.505,54.57,53.495,54.19,1540316,54.19
2012-04-05,53.925,54.66,53.785,54.325,1128738,54.325
2012-04-09,53.405,53.67,53.05,53.09,1798794,53.09
2012-04-10,52.8,53.28,52.05,52.49,1826950,52.49
2012-04-11,53.2,53.58,52.81,52.9,1115904,52.9
2012-04-12,53.06,54.585,52.955,54.4,1643536,54.4
2012-04-13,54.07,54.34,53.75,54.02,1113792,54.02
2012-04-16,54.155,54.74,53.98,54.045,1206766,54.045
2012-04-17,54.365,54.835,54.125,54.6,1219942,54.6
2012-04-18,54.62,55.235,54.405,54.825,1350158,54.825
2012-04-19,53.68,55.135,52.18,52.85,3642914,52.85
2012-04-20,53.03,53.7,52.435,53.63,2824994,53.63
2012-04-23,52.965,54.53,52.905,54.5,2571184,54.5
2012-04-24,54.665,55.26,54.555,55.26,1685814,55.26
2012-04-25,55.5,56.83,55.365,56.745,2032420,56.745
2012-04-26,56.625,56.77,56.055,56.685,1198886,56.685
2012-04-27,57.03,57.24,56.665,56.945,935660,56.945
2012-04-30,56.775,56.97,56.005,56.22,991396,56.22
2012-05-01,56.365,57.845,56.365,57.405,1584600,57.405
2012-05-02,56.88,57.765,56.69,57.52,1042504,57.52
2012-05-03,57.62,58.06,56.995,57.03,1231520,57.03
2012-05-04,56.825,57.12,56.4,56.8,1089562,56.8
2012-05-07,56.535,57.085,56.375,56.815,1121902,56.815
2012-05-08,56.455,56.625,55.775,56.54,1360056,56.54
2012-05-09,55.905,56.515,55.825,55.945,1512618,55.945
2012-05-10,56.435,57.045,55.985,56.205,978252,56.205
2012-05-11,55.955,56.725,55.95,56.09,1095018,56.09
2012-05-14,55.385,55.925,55.14,55.535,1022926,55.535
