DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,28.02,28.64,27.695,27.75,811369,27.75
2012-01-04,27.73,28.66,27.58,28.41,822409,28.41
2012-01-05,27.84,28.12,27.55,27.98,831919,27.98
2012-01-06,28.03,28.09,27.6,27.67,635129,27.67
2012-01-09,27.72,28.93,27.71,28.78,1459848,28.78
2012-01-10,29.23,30.24,29.07,29.41,2441952,29.41
2012-01-11,24.45,24.66,23.42,23.93,7417056,23.93
2012-01-12,24.27,24.65,23.98,24.55,2369095,24.55
2012-01-13,24.28,25.24,24.22,25.13,1450355,25.13
2012-01-17,25.34,25.41,24.77,24.85,1027271,24.85
2012-01-18,24.93,25.18,24.69,25.1,892016,25.1
2012-01-19,25.24,26.4,25.21,25.91,1487808,25.91
2012-01-20,25.94,26.03,25.25,25.4,918334,25.4
2012-01-23,25.47,25.815,25.245,25.71,862377,25.71
2012-01-24,25.6,26.62,25.57,26.615,864895,26.615
2012-01-25,26.66,27.7,26.44,27.54,1920082,27.54
2012-01-26,27.29,27.48,26.64,26.83,1010832,26.83
2012-01-27,26.88,27.23,26.68,26.99,689785,26.99
2012-01-30,26.76,26.85,26.39,26.51,643587,26.51
2012-01-31,26.75,26.81,26.09,26.5,756205,26.5
2012-02-01,26.62,26.86,26.35,26.39,754445,26.39
2012-02-02,26.33,26.73,26.24,26.44,599927,26.44
2012-02-03,27.68,28.28,27.62,27.685,1705272,27.685
2012-02-06,27.39,27.78,27.07,27.48,477494,27.48
2012-02-07,26.57,27.2,26.57,26.9,787686,26.9
2012-02-08,27,27.35,26.8,27.14,1063132,27.14
2012-02-09,27.98,27.98,26.77,27.405,1922645,27.405
2012-02-10,27.04,27.34,26.8,27,614671,27
2012-02-13,27.21,27.28,26.8,27.02,400097,27.02
2012-02-14,26.94,27.25,26.8,27.175,395272,27.175
2012-02-15,27.16,27.56,27.05,27.28,494604,27.28
2012-02-16,27.38,27.56,27.02,27.47,427852,27.47
2012-02-17,27.59,29.15,27.54,28.48,1430503,28.48
2012-02-21,28.64,29.12,28.39,28.49,687179,28.49
2012-02-22,29.23,29.99,29.055,29.33,1321198,29.33
2012-02-23,29.21,29.46,28.915,29.14,686950,29.14
2012-02-24,29.11,29.81,29.05,29.62,666742,29.62
2012-02-27,29.54,29.8,29.29,29.66,450332,29.66
2012-02-28,29.69,29.7,28.87,29.19,987289,29.19
2012-02-29,29.21,29.21,28.37,28.39,1161380,28.39
2012-03-01,28.6,28.95,28.3,28.4,1096066,28.4
2012-03-02,28.48,28.79,28.08,28.11,773107,28.11
2012-03-05,28.21,28.79,28.11,28.52,934005,28.52
2012-03-06,28.2,28.34,27.9,27.95,953132,27.95
2012-03-07,28.15,28.29,27.88,28.24,594658,28.24
2012-03-08,28.34,28.95,28.34,28.68,800600,28.68
2012-03-09,28.82,29.67,28.5,29.5,922873,29.5
