DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,30.26,30.34,27.89,28.96,888083,28.96
2012-01-04,29.1,29.97,28.54,29.78,797132,29.78
2012-01-05,29.44,30.01,28.82,29.93,369748,29.93
2012-01-06,29.85,30.08,29.31,29.63,271504,29.63
2012-01-09,29.82,30.17,29.42,29.47,372127,29.47
2012-01-10,30.16,32.21,30.16,31.41,570043,31.41
2012-01-11,31.16,31.59,31.12,31.27,255574,31.27
2012-01-12,31.54,31.74,30.67,31.25,313891,31.25
2012-01-13,30.79,31.31,30.54,31.09,240085,31.09
2012-01-17,31.5,32.1,31.47,31.84,315491,31.84
2012-01-18,32.7,35.03,32.7,34.77,1004137,34.77
2012-01-19,34.81,35.4,34.22,34.69,474660,34.69
2012-01-20,34.61,34.8,33.55,34.48,365482,34.48
2012-01-23,34.49,35.15,33.26,33.72,480632,33.72
2012-01-24,33.56,34.43,32.88,33.97,372523,33.97
2012-01-25,33.7,34.94,33.46,34.77,514647,34.77
2012-01-26,37.9,38.61,37.25,37.87,1117372,37.87
2012-01-27,37.96,38.5,37.64,38.43,499854,38.43
2012-01-30,37.89,38.5,37.51,38.31,328719,38.31
2012-01-31,38.5,38.59,37.63,38.24,432310,38.24
2012-02-01,38.6,39.23,38.18,38.49,399876,38.49
2012-02-02,38.63,39,38.08,38.48,346057,38.48
2012-02-03,39.48,41.08,39.11,40.34,488677,40.34
2012-02-06,40.09,41.38,39.61,41.23,284512,41.23
2012-02-07,41,41.55,40.53,40.83,275044,40.83
2012-02-08,41.1,41.77,40.71,41.48,272031,41.48
2012-02-09,41.77,41.89,40.24,40.76,403143,40.76
2012-02-10,40.5,40.69,39.05,40.11,377198,40.11
2012-02-13,40.7,41.5,40.7,41.27,276906,41.27
2012-02-14,40.84,41.38,40.6,41.19,187039,41.19
2012-02-15,41.44,42.09,40.24,40.41,280855,40.41
2012-02-16,40.51,41.52,40.01,41.25,312202,41.25
2012-02-17,41.5,41.69,40.64,40.68,196744,40.68
2012-02-21,40.97,41.11,38.78,39.5,413665,39.5
2012-02-22,39.79,41.24,39.66,41.15,370912,41.15
2012-02-23,40.88,42.1,40.18,42,473796,42
2012-02-24,42.85,44.1,42.5,42.89,371690,42.89
2012-02-27,42.57,43.91,42.45,43.25,257569,43.25
2012-02-28,43.31,43.37,41.83,42.22,408380,42.22
2012-02-29,42.5,42.77,41.46,41.68,412135,41.68
2012-03-01,42.24,43.21,42.03,42.51,419333,42.51
2012-03-02,42.59,43.31,42.1,43.3,394901,43.3
2012-03-05,43,43.05,42.11,42.41,360100,42.41
2012-03-06,41.72,42.04,41.01,41.36,376484,41.36
2012-03-07,41.83,42.61,41.38,42.46,219243,42.46
2012-03-08,42.79,43.29,42.54,43.26,245623,43.26
2012-03-09,42.97,44.1,42.57,42.88,282090,42.88
2012-03-12,42.69,42.79,41.7,42.27,477804,42.27
2012-03-13,42.64,43.21,42.08,43.14,258674,43.14
2012-03-14,42.73,42.99,42.39,42.84,252193,42.84
2012-03-15,43.12,43.58,42.37,43.26,309374,43.26
2012-03-16,43.29,43.33,42.18,42.58,733658,42.58
2012-03-19,42.45,42.53,41.7,42.07,889819,42.07
2012-03-20,41.61,41.8,40.83,41.07,261028,41.07
2012-03-21,41.4,42.76,41.28,42.32,286445,42.32
2012-03-22,41.87,41.98,40.9,41.6,188040,41.6
2012-03-23,41.55,41.69,40.27,41.39,251249,41.39
2012-03-26,41.94,42.25,41.54,42.09,222292,42.09
2012-03-27,42.21,42.3,41.69,42.15,178064,42.15
2012-03-28,42.2,42.6,41.11,42.38,344761,42.38
2012-03-29,41.86,43.11,41.71,42.82,497461,42.82
2012-03-30,43.25,43.5,42.29,42.89,300475,42.89
2012-04-02,42.91,44.4,42.26,44.25,338019,44.25
2012-04-03,44.04,45.08,44,44.89,486748,44.89
2012-04-04,44.1,44.1,42.55,43.39,442272,43.39
2012-04-05,43.03,43.66,42.62,42.85,246831,42.85
2012-04-09,41.31,41.66,40.61,41.5,636770,41.5
2012-04-10,41.31,41.42,37.8,38.61,1118938,38.61
2012-04-11,39.25,39.75,38.45,39.08,364478,39.08
2012-04-12,39.04,40.92,39,40.65,842273,40.65
2012-04-13,40.53,40.68,40.09,40.3,422388,40.3
2012-04-16,40.62,41.11,39.52,40.3,323373,40.3
2012-04-17,40.76,41.17,40.38,40.91,474498,40.91
2012-04-18,44.5,46.7,43.06,45.75,1324868,45.75
2012-04-19,46,46.6,44.92,45.15,520507,45.15
2012-04-20,45.92,46.14,44.94,45.16,426905,45.16
2012-04-23,44.14,44.68,43.17,44.37,271491,44.37
2012-04-24,44.36,45.6,43.91,44.67,280882,44.67
2012-04-25,45.33,46.04,45.13,45.99,278082,45.99
2012-04-26,45.99,46.39,44.82,44.95,336308,44.95
2012-04-27,45.48,47.95,45.06,46.82,422690,46.82
2012-04-30,46.89,47.06,45.89,46.68,2132271,46.68
2012-05-01,44.83,45.61,44.55,44.8,1654188,44.8
2012-05-02,44.39,45.46,43.81,45.14,823334,45.14
2012-05-03,45.23,45.29,42.83,43.75,634893,43.75
2012-05-04,43.29,43.66,41.48,42.21,692185,42.21
2012-05-07,42.27,43.31,42,42.77,414235,42.77
2012-05-08,42.3,42.6,40.08,42.11,736767,42.11
2012-05-09,41.5,43.49,41.03,42.44,536781,42.44
2012-05-10,43.4,44.75,42.83,43.1,550330,43.1
2012-05-11,42.46,43.8,42.01,43.41,532415,43.41
2012-05-14,42.53,43,40.58,40.91,926078,40.91
2012-05-15,41.02,41.05,38.84,39.19,1452136,39.19
2012-05-16,39.34,39.89,37.5,37.98,858366,37.98
2012-05-17,38.5,38.5,33.49,33.89,2151038,33.89
2012-05-18,33.92,34.3,32.74,33.05,1010758,33.05
2012-05-21,33.22,36.23,33.22,35.92,759682,35.92
2012-05-22,35.97,36.99,35.14,35.65,700879,35.65
2012-05-23,35,36.81,34.46,36.61,435835,36.61
2012-05-24,36.8,37.08,35.31,36.36,477712,36.36
2012-05-25,36.36,36.72,35.82,36.66,299345,36.66
2012-05-29,37.43,38.53,37.19,38.41,627320,38.41
2012-05-30,37.63,37.65,36.16,36.68,465640,36.68
2012-05-31,36.64,36.64,33.27,34.55,982950,34.55
2012-06-01,32.82,32.9,30.68,31.11,1118443,31.11
2012-06-04,31.65,31.81,29.07,30.16,822720,30.16
2012-06-05,30.15,32.18,29.96,31.91,954248,31.91
2012-06-06,32.39,33.52,32.25,32.6,856430,32.6
2012-06-07,33.73,35.61,33.4,33.44,887227,33.44
2012-06-08,33.31,33.31,31.74,32.55,628518,32.55
2012-06-11,33.05,33.51,30.13,30.18,878392,30.18
2012-06-12,30.9,32.74,30.82,32.3,1036870,32.3
2012-06-13,31.98,32.68,31.36,31.67,547965,31.67
2012-06-14,31.64,33.38,31.64,33.06,664307,33.06
2012-06-15,33.55,35.08,33.31,34.81,1167970,34.81
2012-06-18,34.26,34.99,33.84,34.79,485478,34.79
2012-06-19,34.94,37.06,34.94,36.93,763378,36.93
2012-06-20,36.43,36.44,34.14,35.33,980672,35.33
2012-06-21,36.25,36.8,33.62,34.13,740596,34.13
2012-06-22,34.53,34.75,32.46,33.43,3648536,33.43
2012-06-25,32.65,32.7,30.54,31.57,745201,31.57
2012-06-26,31.96,32.13,30.7,31.74,556383,31.74
2012-06-27,31.99,32.27,30.7,31.42,567171,31.42
2012-06-28,30.99,32.49,30.92,32.14,477126,32.14
2012-06-29,34,34.71,33.52,34.04,705656,34.04
2012-07-02,34.3,34.39,33.28,33.87,378685,33.87
2012-07-03,33.92,36,33.92,35.84,425721,35.84
2012-07-05,35.52,36.19,35.16,35.73,369244,35.73
2012-07-06,34.9,35.03,33.74,34.04,356302,34.04
2012-07-09,33.89,35.54,33.36,35.26,611721,35.26
2012-07-10,35.7,36.58,32.65,33.08,681879,33.08
2012-07-11,33.2,33.33,31.77,32.23,557714,32.23
2012-07-12,31.78,33.96,31.58,33.53,540056,33.53
2012-07-13,33.63,34.98,33.63,34.89,389019,34.89
2012-07-16,34.6,34.77,33.72,34.13,484767,34.13
2012-07-17,34.49,34.8,33.26,34.43,904935,34.43
2012-07-18,32.96,34.24,28.85,29.66,2902711,29.66
2012-07-19,29.77,30.03,28.06,29.8,1650401,29.8
2012-07-20,29.33,31.33,28.94,30.39,1017689,30.39
2012-07-23,29.55,31.47,29.28,30.94,723408,30.94
2012-07-24,30.81,31.53,28.01,28.2,1227935,28.2
2012-07-25,29.01,29.08,26.9,27.23,1422539,27.23
2012-07-26,28.11,28.22,26.92,27.43,739932,27.43
2012-07-27,27.77,30,27.42,29.63,1056269,29.63
2012-07-30,29.65,30.03,28.79,29.17,401170,29.17
2012-07-31,29.18,29.92,28.77,28.91,481241,28.91
2012-08-01,28.99,29.38,27.41,27.78,583140,27.78
2012-08-02,27.75,28.54,27.02,28.07,576899,28.07
2012-08-03,28.85,30.68,28.7,30.23,1266881,30.23
2012-08-06,30.39,31.73,30.33,31.1,1130408,31.1
2012-08-07,31.25,32.69,30.91,31.95,543320,31.95
2012-08-08,31.59,32.49,31.26,32.1,320884,32.1
2012-08-09,32.17,32.76,31.41,32.67,378742,32.67
2012-08-10,32.33,32.66,32.08,32.62,158877,32.62
2012-08-13,32.39,32.89,31.52,32.29,202250,32.29
2012-08-14,32.78,32.89,32.11,32.31,179378,32.31
2012-08-15,32.61,32.76,32,32.65,212273,32.65
2012-08-16,32.68,34.63,32.57,34.02,553937,34.02
2012-08-17,34.17,35.33,33.85,35.15,538807,35.15
2012-08-20,34.59,34.97,33.49,33.58,301717,33.58
2012-08-21,33.77,34.35,33.02,33.13,468588,33.13
2012-08-22,33.1,33.65,32.77,32.9,300477,32.9
2012-08-23,32.85,33.16,31.85,31.97,392616,31.97
2012-08-24,31.94,32.52,31.04,32.25,275686,32.25
2012-08-27,32.5,32.85,31.36,31.94,287150,31.94
2012-08-28,31.8,32.37,31.12,31.37,305257,31.37
