DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,27.65,27.92,27.48,27.58,3593020,27.58
2012-01-04,27.46,27.71,27.21,27.57,2332112,27.57
2012-01-05,27.44,28.31,27.42,27.98,4141699,27.98
2012-01-06,28.01,28.08,27.41,27.75,3376347,27.75
2012-01-09,27.77,28.32,27.74,28.24,2904695,28.24
2012-01-10,28.49,28.54,28.06,28.26,4037446,28.26
2012-01-11,28.02,28.43,27.86,28.41,3478718,28.41
2012-01-12,28.5,28.77,28.15,28.74,2523684,28.74
2012-01-13,28.4,29.26,28.34,29.03,5244247,29.03
2012-01-17,28.88,29.41,28.55,28.77,4177618,28.77
2012-01-18,29.17,29.3,28.27,29.08,3559567,29.08
2012-01-19,29.05,29.08,28.28,28.56,3186421,28.56
2012-01-20,28.56,28.85,28.46,28.74,3886497,28.74
2012-01-23,28.62,28.86,28.28,28.49,2774640,28.49
2012-01-24,28.22,28.55,28.04,28.45,2367180,28.45
2012-01-25,28.31,28.7,28.29,28.6,2830178,28.6
2012-01-26,28.71,28.85,27.68,27.79,4012447,27.79
2012-01-27,27.8,28.06,27.67,27.86,2963013,27.86
2012-01-30,27.37,28.11,27.3,28.01,2907210,28.01
2012-01-31,28.22,28.39,27.98,28.22,3693415,28.22
2012-02-01,28.5,28.92,28.49,28.56,3726349,28.56
2012-02-02,28.66,28.89,28.44,28.57,1955962,28.57
2012-02-03,29,29.26,28.91,29.2,3398755,29.2
2012-02-06,29.05,29.21,28.91,29.16,1977418,29.16
2012-02-07,29,29.57,29,29.45,2017620,29.45
2012-02-08,29.43,29.73,29.37,29.63,2363165,29.63
2012-02-09,29.61,29.67,29.21,29.34,2207885,29.34
2012-02-10,29.06,29.15,28.87,29.01,2066065,29.01
2012-02-13,29.19,29.25,28.99,29.18,1322706,29.18
2012-02-14,29.2,29.24,28.62,29,2092090,29
2012-02-15,29,29.14,28.59,28.63,2277610,28.63
