DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,75.09,75.64,74.51,74.66,1406994,74.66
2012-01-04,74.16,75.24,74.13,75.05,1242270,75.05
2012-01-05,74.49,74.72,73.67,74.33,860785,74.33
2012-01-06,74.26,74.5,73.63,73.9,655527,73.9
2012-01-09,74.26,74.5,73.76,74.1,904824,74.1
2012-01-10,75.05,76.35,75.05,76.03,1053514,76.03
2012-01-11,75.5,76.94,75.5,76.7,909099,76.7
2012-01-12,77.17,77.5,76.51,77.24,834157,77.24
2012-01-13,76.55,76.58,75.81,76.08,1012189,76.08
2012-01-17,77.38,78.22,76.99,77.04,1122142,77.04
2012-01-18,76.7,77.85,76.57,77.6,760724,77.6
2012-01-19,77.45,77.85,77.07,77.19,1053052,77.19
2012-01-20,76.3,77.77,75.7,76.69,2241838,76.69
2012-01-23,76.66,77.54,76.57,76.86,1012081,76.86
2012-01-24,76.87,77.8,76.52,77.78,1145200,77.78
2012-01-25,76.8,78.66,75.85,77.65,1836249,77.65
2012-01-26,78.22,78.63,77.02,77.41,938986,77.41
2012-01-27,77.06,77.84,76.92,77.62,1172787,77.62
2012-01-30,76.79,77.63,76.43,77.61,1036661,77.61
2012-01-31,78,78.75,77.64,78.35,1688243,78.35
2012-02-01,79,80.37,78.99,80.22,1603855,80.22
2012-02-02,80.4,80.63,79.81,80.02,977808,80.02
2012-02-03,80.89,81.49,80.8,81.05,1105119,81.05
2012-02-06,80.6,80.79,80.12,80.57,805193,80.57
2012-02-07,80.24,80.46,79.67,80.28,553620,80.28
2012-02-08,80.49,81.85,79.77,81.74,1511092,81.74
2012-02-09,82.55,84.3,82.55,83.78,1709156,83.78
2012-02-10,82.84,83.5,82.65,83.5,888916,83.5
2012-02-13,84.22,85.19,84.08,84.88,1279027,84.88
2012-02-14,84.46,84.65,83.97,84.64,665263,84.64
2012-02-15,84.38,84.67,82.48,82.6,1295688,82.6
2012-02-16,82.5,83.33,82.49,83.22,689951,83.22
2012-02-17,83.92,84.19,83.48,83.78,1456220,83.78
2012-02-21,84.61,84.61,83.27,83.96,1116922,83.96
2012-02-22,83.94,84.29,83.44,83.95,939733,83.95
2012-02-23,84.2,84.63,83.01,83.49,1176664,83.49
2012-02-24,83.69,84.53,83.6,83.97,676804,83.97
2012-02-27,83.31,84.12,82.83,83.63,666838,83.63
2012-02-28,83.73,83.79,83.11,83.47,749434,83.47
2012-02-29,83.8,84.3,83.53,83.87,1239503,83.87
2012-03-01,83.98,84.44,83.67,84.16,849982,84.16
2012-03-02,83.92,84.64,83.92,84.54,752780,84.54
2012-03-05,84.14,84.15,82.86,83.29,767860,83.29
2012-03-06,82.61,82.67,81.04,81.39,1202280,81.39
2012-03-07,81.94,82.87,81.72,82.57,1064820,82.57
2012-03-08,83.64,83.99,83.01,83.53,691718,83.53
2012-03-09,83.61,83.91,83.23,83.55,609645,83.55
2012-03-12,83.81,84.23,83.7,83.99,880514,83.99
2012-03-13,84.55,86.73,84.08,86.57,2025309,86.57
2012-03-14,86.35,86.9,85.86,86.81,1144878,86.81
2012-03-15,87,87.5,85.91,86.89,1498915,86.89
2012-03-16,87.2,87.33,85.24,85.48,3826017,85.48
2012-03-19,85.4,85.52,84.56,84.62,1049573,84.62
2012-03-20,83.87,84.09,83.08,83.26,1326726,83.26
2012-03-21,83.51,83.51,82.42,82.72,978071,82.72
2012-03-22,82.05,82.41,81.54,82.07,1116682,82.07
2012-03-23,82,82.29,81.53,81.8,1006047,81.8
2012-03-26,82.68,83.51,82.61,83.5,967776,83.5
