DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,36.4,36.44,35.68,35.79,595649,35.79
2012-01-04,35.74,35.86,35.43,35.82,514886,35.82
2012-01-05,35.7,35.82,35.25,35.74,731019,35.74
2012-01-06,35.57,35.75,35.3,35.43,585785,35.43
2012-01-09,34.94,35.24,34.75,35.02,857461,35.02
2012-01-10,35.42,35.81,35.22,35.72,566556,35.72
2012-01-11,35.78,36.09,35.58,35.58,474462,35.58
2012-01-12,35.63,35.9,35.58,35.81,367266,35.81
2012-01-13,35.7,35.85,35.39,35.54,374309,35.54
2012-01-17,35.92,36.225,35.72,35.81,302064,35.81
2012-01-18,35.87,36.13,35.7,35.91,672425,35.91
2012-01-19,35.96,36.16,35.73,35.75,733684,35.75
2012-01-20,35.69,36.15,35.6,36.02,647018,36.02
2012-01-23,35.98,36.23,35.81,36.1,274162,36.1
2012-01-24,35.99,36.56,35.89,36.52,388581,36.52
2012-01-25,36.46,36.58,35.81,36.39,580339,36.39
2012-01-26,36.5,36.5,35.69,35.92,740132,35.92
2012-01-27,36.87,37.09,35.45,36.32,1314416,36.32
2012-01-30,35.94,37.17,35.67,37.11,736532,37.11
2012-01-31,37.06,37.2,36.93,37.06,679993,37.06
2012-02-01,37.08,37.57,37.04,37.45,489728,37.45
2012-02-02,37.42,37.42,36.6,36.83,562475,36.83
2012-02-03,37.12,37.34,36.895,37.04,358003,37.04
2012-02-06,36.85,36.92,36.3,36.6,407345,36.6
2012-02-07,36.49,36.66,36.19,36.53,328335,36.53
2012-02-08,36.48,36.63,36.08,36.52,403683,36.52
2012-02-09,36.75,36.96,36.42,36.87,439652,36.87
2012-02-10,36.53,36.84,36.38,36.61,406062,36.61
2012-02-13,36.85,37.07,36.78,36.96,412184,36.96
2012-02-14,36.86,37.27,36.83,37.2,390955,37.2
2012-02-15,37.23,37.33,36.72,36.87,469437,36.87
2012-02-16,36.96,37.29,36.89,37.2,360098,37.2
2012-02-17,37.26,37.3,36.89,37.18,474585,37.18
2012-02-21,37.14,37.5,37,37.32,308711,37.32
2012-02-22,37.22,37.66,37.02,37.45,334225,37.45
2012-02-23,37.29,38,37.2,37.97,374079,37.97
2012-02-24,38,38.5,37.46,37.64,476145,37.64
2012-02-27,37.39,37.8,37.29,37.58,596518,37.58
2012-02-28,37.73,37.87,37.25,37.33,602423,37.33
2012-02-29,37.39,37.39,36.85,36.95,736954,36.95
