DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,56.15,56.48,55.16,55.59,675428,55.59
2012-01-04,53.65,54,53.47,53.8,1877439,53.8
2012-01-05,53.75,54,53.24,53.94,541519,53.94
2012-01-06,53.96,54.12,53.55,53.7,699075,53.7
2012-01-09,53.82,53.92,53.45,53.68,372838,53.68
2012-01-10,54.27,54.52,53.92,54.39,678669,54.39
2012-01-11,54.34,54.75,54.08,54.66,441710,54.66
2012-01-12,54.9,54.9,53.96,54.4,564438,54.4
2012-01-13,54.15,55.1,54.04,54.95,1442198,54.95
2012-01-17,55.22,55.84,55.15,55.5,651009,55.5
2012-01-18,55.52,55.93,55.21,55.69,640580,55.69
2012-01-19,55.98,56.19,55.56,56.02,633200,56.02
2012-01-20,56.28,56.42,55.65,56.42,861449,56.42
2012-01-23,56.48,56.98,56.3,56.93,500261,56.93
2012-01-24,56.52,57.39,56.5,57.39,685630,57.39
2012-01-25,57.1,58,56.63,57.92,660756,57.92
2012-01-26,58.31,58.98,57.91,58.98,697299,58.98
2012-01-27,58.85,59.03,58.23,58.82,641077,58.82
2012-01-30,58.34,58.37,57.77,58.06,481395,58.06
2012-01-31,58.38,58.46,57.74,58.31,1326678,58.31
2012-02-01,58.67,58.96,58.29,58.54,447154,58.54
2012-02-02,58.72,58.83,58.13,58.27,326138,58.27
2012-02-03,58.93,59.05,58.22,58.55,601089,58.55
2012-02-06,58.36,58.82,58.19,58.78,362954,58.78
2012-02-07,58.42,58.98,58.29,58.87,359866,58.87
2012-02-08,58.74,58.86,58.22,58.75,329912,58.75
2012-02-09,58.8,58.84,58.03,58.42,264426,58.42
2012-02-10,58.05,58.27,57.7,58.12,303723,58.12
2012-02-13,58.53,58.76,58.31,58.73,205878,58.73
2012-02-14,58.58,58.58,57.78,58.06,545665,58.06
2012-02-15,58.28,58.42,57.37,57.57,375381,57.57
2012-02-16,57.65,58.26,57.52,57.6,553874,57.6
2012-02-17,57.58,57.89,56.67,57.17,753157,57.17
2012-02-21,57.22,57.27,55.85,56.17,668738,56.17
2012-02-22,56,56.31,55.69,56.09,533825,56.09
2012-02-23,56.16,56.91,56.05,56.77,504907,56.77
2012-02-24,56.4,56.46,55.44,56,817696,56
2012-02-27,55.02,56.21,54.97,56.12,642730,56.12
2012-02-28,56.16,56.41,55.76,55.94,553679,55.94
2012-02-29,55.99,56.3,55.66,55.92,677999,55.92
2012-03-01,55.87,56.22,55.61,55.91,524803,55.91
2012-03-02,55.97,56.74,55.91,56.52,455287,56.52
2012-03-05,56.58,56.83,56.32,56.63,378953,56.63
2012-03-06,56.14,56.74,56.09,56.23,576305,56.23
2012-03-07,55.79,55.98,55.16,55.66,451593,55.66
2012-03-08,56,56,55.51,55.68,493853,55.68
2012-03-09,55.7,55.8,55.29,55.39,516898,55.39
2012-03-12,55.4,56.08,55.3,55.78,522168,55.78
2012-03-13,56.1,57.31,56.03,57.21,543652,57.21
2012-03-14,57.13,57.44,56.79,57.27,611655,57.27
2012-03-15,57.2,57.35,56.9,57.19,423432,57.19
2012-03-16,57.13,57.41,56.92,56.97,1098625,56.97
2012-03-19,56.93,57.43,56.78,57.22,386592,57.22
2012-03-20,56.97,57.27,56.8,57.16,321961,57.16
2012-03-21,57.28,57.36,56.98,57.1,233076,57.1
2012-03-22,56.71,56.72,55.89,56,542169,56
2012-03-23,56.01,56.49,55.67,56.2,437410,56.2
2012-03-26,56.78,57.21,56.52,56.74,454552,56.74
2012-03-27,56.97,57.5,56.76,57.07,447093,57.07
2012-03-28,56.97,57.16,56.31,56.98,582657,56.98
2012-03-29,56.66,57,56.41,56.88,424086,56.88
2012-03-30,57.47,57.61,57.08,57.1,785537,57.1
2012-04-02,57.03,57.56,57.01,57.29,614935,57.29
2012-04-03,57.2,57.38,56.43,56.55,640062,56.55
2012-04-04,56.2,56.32,55.67,55.84,560014,55.84
2012-04-05,55.63,55.89,55.32,55.5,311722,55.5
2012-04-09,54.83,55.42,54.66,55.09,363154,55.09
2012-04-10,55.12,55.19,53.94,54.06,804579,54.06
2012-04-11,54.56,55.39,54.48,55.29,717761,55.29
2012-04-12,55.24,56.09,55.03,56.09,486681,56.09
2012-04-13,56.03,56.4,55.77,55.92,506070,55.92
2012-04-16,56.2,56.78,56.04,56.31,524974,56.31
2012-04-17,56.68,57.15,56.2,57.03,389710,57.03
2012-04-18,56.71,57,56.26,56.28,356697,56.28
2012-04-19,56.32,56.37,55.75,55.88,612551,55.88
2012-04-20,56.19,57.19,56.05,56.83,733969,56.83
2012-04-23,56.53,56.55,55.72,56.17,553131,56.17
2012-04-24,56.25,57.22,56.25,57.19,523232,57.19
2012-04-25,57.71,58.52,57.61,58.52,584183,58.52
2012-04-26,58.38,58.81,58.12,58.71,463511,58.71
2012-04-27,58.96,59.37,58.45,59.2,526342,59.2
2012-04-30,59.15,59.15,58.46,58.79,621059,58.79
2012-05-01,58.82,59.77,58.61,59.29,370694,59.29
2012-05-02,59.1,59.19,58.59,58.98,352623,58.98
2012-05-03,59.01,59.3,58.78,58.82,407394,58.82
2012-05-04,58.69,58.83,58.35,58.53,480793,58.53
2012-05-07,58.46,59.41,58.46,59.12,337795,59.12
2012-05-08,58.76,58.95,58.36,58.88,367058,58.88
2012-05-09,58.27,59.34,58.27,58.84,536279,58.84
2012-05-10,59.32,59.45,58.63,58.97,354529,58.97
2012-05-11,58.77,59.24,58.45,58.91,313664,58.91
2012-05-14,58.26,58.94,57.83,58.49,409761,58.49
2012-05-15,58.57,58.57,58.01,58.17,396093,58.17
2012-05-16,58.52,58.52,57.38,57.58,412505,57.58
2012-05-17,57.69,57.84,56.69,56.69,416103,56.69
2012-05-18,57.57,57.66,56.05,56.3,796981,56.3
2012-05-21,56.29,57.81,56.22,57.59,408763,57.59
2012-05-22,57.83,58.2,57.4,57.71,402150,57.71
2012-05-23,57.44,58.24,56.95,58.13,373346,58.13
2012-05-24,58.29,58.79,57.64,58.23,390197,58.23
2012-05-25,58.3,58.7,57.93,58.09,253830,58.09
2012-05-29,58.28,59.02,58.04,58.98,329408,58.98
2012-05-30,58.49,58.75,57.79,57.85,581054,57.85
2012-05-31,57.87,59.54,57.45,58.82,2066439,58.82
2012-06-01,57,57.27,56.76,56.89,1170607,56.89
2012-06-04,56.99,56.99,55.88,56.33,539015,56.33
2012-06-05,56.45,57.29,56.16,56.99,622840,56.99
2012-06-06,57,57.56,56.71,57.55,649016,57.55
2012-06-07,58.05,58.26,57.19,57.36,518135,57.36
2012-06-08,57.38,58.29,57.29,58.29,306111,58.29
2012-06-11,58.72,58.8,57.61,57.7,477697,57.7
2012-06-12,57.85,58.18,57.41,58.15,342575,58.15
2012-06-13,57.85,58.69,57.75,58.09,350718,58.09
2012-06-14,58.23,59.57,58.19,59.31,463495,59.31
2012-06-15,59.64,60.13,59.19,60.12,1111279,60.12
2012-06-18,59.92,61.23,59.73,61.04,517130,61.04
2012-06-19,61.03,61.59,60.54,61.16,586904,61.16
2012-06-20,61.25,61.62,60.94,61.26,513064,61.26
2012-06-21,61.46,61.48,60.39,60.62,563532,60.62
2012-06-22,61.05,61.06,60.24,60.38,1572905,60.38
2012-06-25,60.01,60.59,59.68,60.36,368332,60.36
2012-06-26,60.53,61.13,60.41,60.82,431768,60.82
2012-06-27,61.02,61.35,60.68,60.99,401597,60.99
2012-06-28,60.75,61.93,60.27,61.85,516587,61.85
2012-06-29,62.9,63.12,62.34,63.12,739894,63.12
2012-07-02,63.56,63.58,62.82,63.35,538437,63.35
2012-07-03,63.44,64.25,63.3,63.85,379655,63.85
2012-07-05,63.84,63.94,63.09,63.19,524106,63.19
2012-07-06,62.71,63.5,62.58,63.43,298621,63.43
2012-07-09,63.53,63.99,63.34,63.9,404753,63.9
2012-07-10,63.99,64.06,62.57,62.93,491362,62.93
2012-07-11,62.94,63.5,62.44,63.37,576169,63.37
2012-07-12,62.9,63.74,62.66,63.47,410149,63.47
2012-07-13,63.68,64.48,63.54,64.48,404178,64.48
2012-07-16,64.46,64.85,64.21,64.71,206679,64.71
2012-07-17,64.87,66.02,64.62,65.91,387595,65.91
2012-07-18,65.68,65.96,65.54,65.75,406178,65.75
2012-07-19,65.73,65.9,64.79,65.53,355364,65.53
2012-07-20,65.14,65.42,64.95,65.39,601649,65.39
2012-07-23,64.97,65.41,64.71,65.18,450552,65.18
2012-07-24,65.11,65.51,64.85,65.3,379420,65.3
2012-07-25,65.56,65.69,64.75,65.37,334568,65.37
2012-07-26,66.14,66.53,65.01,65.72,546826,65.72
2012-07-27,66.17,66.96,65.9,66.79,461174,66.79
2012-07-30,66.71,67.62,66.61,67.33,327327,67.33
2012-07-31,67.32,67.66,67.01,67.25,599736,67.25
2012-08-01,67.35,68.07,66.76,66.81,603307,66.81
2012-08-02,66.5,67.22,66.25,67.22,419991,67.22
2012-08-03,67.94,67.97,66.86,67.05,739237,67.05
2012-08-06,67.43,67.81,66.79,66.82,318235,66.82
2012-08-07,66.69,66.92,65.21,65.48,730950,65.48
2012-08-08,65.42,65.52,63.68,63.98,656809,63.98
2012-08-09,63.83,64.32,63.55,63.69,571832,63.69
2012-08-10,63.7,64.13,63.56,63.79,404366,63.79
2012-08-13,63.64,63.91,63.51,63.62,261858,63.62
2012-08-14,63.62,64.03,63.57,63.68,236555,63.68
2012-08-15,63.76,64.04,63.62,63.96,260889,63.96
2012-08-16,63.91,64.29,63.44,64.29,280312,64.29
2012-08-17,64.11,64.13,63.53,63.98,468976,63.98
2012-08-20,63.71,64.04,63.47,63.98,388613,63.98
2012-08-21,64,64.39,63.99,64.05,290180,64.05
2012-08-22,63.68,64.32,63.49,64.31,484746,64.31
2012-08-23,64.09,64.26,63.68,63.74,468795,63.74
2012-08-24,63.69,64.26,63.59,64.15,349359,64.15
2012-08-27,64.25,64.63,64.2,64.48,158807,64.48
2012-08-28,64.46,64.96,64.17,64.84,248787,64.84
2012-08-29,64.75,65.13,64.66,64.92,260472,64.92
2012-08-30,64.56,65.28,64.44,65.17,240246,65.17
2012-08-31,65.37,65.54,64.88,65.49,1050047,65.49
2012-09-04,65.53,66.41,65.13,66.33,333262,66.33
2012-09-05,66.51,66.67,65.95,66.24,351475,66.24
2012-09-06,66.59,66.8,66.32,66.54,628036,66.54
2012-09-07,66.06,66.31,64.93,65.04,418111,65.04
2012-09-10,65.04,65.14,64.22,64.23,552581,64.23
2012-09-11,64.22,64.77,64.18,64.71,299680,64.71
2012-09-12,64.9,65,64.4,64.9,329357,64.9
2012-09-13,64.9,65.47,64.75,65.36,361622,65.36
2012-09-14,65.48,65.79,64.97,65.07,644466,65.07
2012-09-17,65.03,65.57,65,65.21,396641,65.21
2012-09-18,64.5,64.55,62.81,63.05,943206,63.05
2012-09-19,63.07,63.55,63.06,63.28,438577,63.28
2012-09-20,63.11,63.43,62.85,62.9,548035,62.9
