DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,75.49,76.8,75.41,75.94,190264,75.94
2012-01-04,75.79,75.79,73.95,74.45,172441,74.45
2012-01-05,73.91,74.32,73.2,73.71,202789,73.71
2012-01-06,74.01,74.48,73.44,74.15,459121,74.15
2012-01-09,74.41,74.61,73.41,74.27,220388,74.27
2012-01-10,75.09,75.42,73.54,74.14,426590,74.14
2012-01-11,73.59,75.44,72.98,75.39,377921,75.39
2012-01-12,75.61,76.86,75.22,76.71,261358,76.71
2012-01-13,76.08,76.75,75.43,76.06,205132,76.06
2012-01-17,77.03,78.44,77,77.78,245576,77.78
2012-01-18,75.73,77.8,75.73,76.29,441274,76.29
2012-01-19,76.35,79.71,75.95,79.38,365265,79.38
2012-01-20,79.06,79.18,76.83,77.99,310788,77.99
2012-01-23,80.23,80.23,78.07,78.76,314528,78.76
2012-01-24,78.59,86.99,78.5,85.04,631358,85.04
2012-01-25,86.35,88.49,85.86,87.91,397257,87.91
2012-01-26,87.94,88,86.43,86.95,260630,86.95
2012-01-27,86.6,87.67,86.08,86.82,217593,86.82
2012-01-30,85.69,86.46,85.48,86.27,181807,86.27
2012-01-31,86.78,87.49,86.16,86.57,174668,86.57
2012-02-01,87.3,88.62,87.27,88.33,144513,88.33
2012-02-02,88.28,89.04,88.25,88.78,147599,88.78
2012-02-03,89.61,90.1,89.17,89.49,117254,89.49
2012-02-06,89,89.56,88.7,89.26,95363,89.26
2012-02-07,88.81,89.26,88.58,88.83,66267,88.83
2012-02-08,88.83,89.18,87.69,88.56,118104,88.56
2012-02-09,88.75,88.75,86.97,88.34,119124,88.34
2012-02-10,87.57,87.84,86.75,87.8,104414,87.8
2012-02-13,88.37,88.57,87.92,88.14,82308,88.14
2012-02-14,87.64,88.86,87.64,88.51,114331,88.51
2012-02-15,88.7,89.14,87.63,87.92,87132,87.92
2012-02-16,87.91,89.54,87.13,89.1,137732,89.1
2012-02-17,89.46,89.63,88.55,88.63,149958,88.63
2012-02-21,89,89.08,87.26,87.44,99959,87.44
2012-02-22,87.45,88.55,86.96,88.12,143592,88.12
2012-02-23,88.17,88.42,87.17,88.11,107603,88.11
2012-02-24,88.29,89.24,88.02,88.56,119106,88.56
2012-02-27,87.68,89.61,87.23,88.98,96877,88.98
2012-02-28,89.61,91.09,88.52,89.9,251122,89.9
2012-02-29,89.86,90.59,88.6,89.6,1257182,89.6
2012-03-01,89.58,90.57,89.3,90.3,356162,90.3
2012-03-02,90.05,90.56,89.23,89.34,151341,89.34
2012-03-05,89.21,89.44,88.34,88.92,110037,88.92
2012-03-06,88.17,88.58,87.04,87.32,196207,87.32
2012-03-07,87.28,88.13,87.28,87.88,148788,87.88
2012-03-08,88.47,89.98,87.73,89.86,223774,89.86
2012-03-09,89.76,91.71,89.6,90.98,196581,90.98
2012-03-12,90.5,91.11,90.15,90.51,167217,90.51
2012-03-13,91.15,92.47,91.15,92.27,125552,92.27
2012-03-14,92.14,92.83,91.99,92.18,169428,92.18
2012-03-15,92.08,93.15,91.92,93.13,90747,93.13
2012-03-16,93.17,93.26,92.5,92.96,301533,92.96
2012-03-19,92.96,93.01,92.27,92.58,108774,92.58
2012-03-20,92.04,93.17,91.78,92.88,116272,92.88
2012-03-21,92.81,92.88,92.29,92.38,138775,92.38
2012-03-22,91.03,91.96,90.23,91.21,163042,91.21
2012-03-23,91.25,91.45,90.19,90.89,164408,90.89
2012-03-26,91.99,94.1,91.72,94.03,197085,94.03
2012-03-27,94.23,94.34,92.98,93.11,130478,93.11
2012-03-28,93.3,93.69,92.11,92.86,129707,92.86
2012-03-29,92.42,92.52,91.36,91.81,128515,91.81
2012-03-30,92.28,92.96,91.96,92.66,211491,92.66
2012-04-02,92.69,94.45,92.55,93.99,188020,93.99
2012-04-03,94,94.34,93.33,93.89,122863,93.89
2012-04-04,92.99,93.27,91.56,91.76,152316,91.76
2012-04-05,91.32,92.03,91.32,91.93,97210,91.93
2012-04-09,90.1,90.17,89.73,90.08,181817,90.08
2012-04-10,89.77,90.35,87.03,87.44,204589,87.44
2012-04-11,88.76,89.61,87.95,88.15,126729,88.15
2012-04-12,88.15,89.72,88.1,89.28,133811,89.28
2012-04-13,89.06,89.28,87.45,87.56,127783,87.56
2012-04-16,88.04,88.28,86.62,86.95,134489,86.95
2012-04-17,87.44,88.95,87.44,88.56,174710,88.56
2012-04-18,88.18,89.17,87.87,88.19,122329,88.19
2012-04-19,88.38,89.16,87.42,88.04,161625,88.04
2012-04-20,88.38,89.45,88.17,88.75,264129,88.75
2012-04-23,87.54,88.53,86.85,88.34,310575,88.34
2012-04-24,79.12,82.73,78,81.8,910466,81.8
2012-04-25,82.31,83.46,82.23,83.27,346085,83.27
2012-04-26,83.22,84.59,82.95,84.3,351734,84.3
2012-04-27,84.68,84.91,83.4,83.82,364174,83.82
2012-04-30,83.42,84.3,83.11,84.11,298300,84.11
2012-05-01,83.84,85.24,83.16,83.92,259507,83.92
2012-05-02,83.65,83.9,83.26,83.82,265978,83.82
2012-05-03,84,84,82.98,83.52,200735,83.52
2012-05-04,83.38,83.68,81.97,83.51,402015,83.51
2012-05-07,83.14,84.41,83.04,83.78,285977,83.78
2012-05-08,83.06,84.68,82.72,84.5,347452,84.5
2012-05-09,83.37,85.03,82.94,84.35,341994,84.35
2012-05-10,84.99,85.24,83.95,84.29,187742,84.29
2012-05-11,83.86,85.12,83.61,84.82,255675,84.82
2012-05-14,83.83,84.4,82.84,83.84,210013,83.84
2012-05-15,83.85,84.24,83.02,83.12,217524,83.12
2012-05-16,83.62,84.77,83.18,83.18,257207,83.18
2012-05-17,83.85,84.49,82.45,82.52,374010,82.52
2012-05-18,83.02,83.26,80.6,80.81,268242,80.81
2012-05-21,82.32,82.79,81.38,82.55,352517,82.55
2012-05-22,82.97,84.14,82.23,82.77,302986,82.77
2012-05-23,82.12,82.5,80.56,82.09,295227,82.09
2012-05-24,82.34,83.04,81.66,82.25,175490,82.25
2012-05-25,82.21,82.97,81.72,82.1,182848,82.1
2012-05-29,82.66,83.69,82.33,82.47,307430,82.47
2012-05-30,81.5,81.5,80.43,80.8,391163,80.8
2012-05-31,80.67,80.86,79.45,79.78,328309,79.78
2012-06-01,78.49,78.61,76.72,77.07,406584,77.07
2012-06-04,77.15,77.16,75.28,76.15,341195,76.15
2012-06-05,75.87,77.42,75.58,76.97,218466,76.97
2012-06-06,77.56,78.83,77.44,78.83,287738,78.83
2012-06-07,79.57,80.16,78.25,78.35,247791,78.35
2012-06-08,77.96,78.98,77.56,78.78,195789,78.78
2012-06-11,79.4,79.67,78.14,78.26,204432,78.26
2012-06-12,78.4,79.48,78.17,79.38,176990,79.38
2012-06-13,79,80.03,79,79.5,312345,79.5
2012-06-14,79.56,80.51,79.3,80.32,224267,80.32
2012-06-15,80.72,80.84,80.26,80.56,368839,80.56
2012-06-18,80.19,81.52,80.05,81.28,121402,81.28
2012-06-19,81.75,82.79,81.6,82.38,106780,82.38
2012-06-20,82.55,82.93,81.43,82.35,121585,82.35
2012-06-21,82.54,83.11,79.98,80.04,230005,80.04
2012-06-22,80.49,81.44,80.4,81.09,418403,81.09
2012-06-25,80.09,80.6,79.3,79.52,307587,79.52
2012-06-26,79.64,79.66,77.45,77.83,252194,77.83
2012-06-27,78.13,78.63,77.35,78.14,272905,78.14
2012-06-28,77.64,78.08,75.85,76.89,240291,76.89
2012-06-29,78.43,79.5,78.29,79.47,324669,79.47
2012-07-02,79.45,79.62,78,78.5,287564,78.5
2012-07-03,78.34,79.5,78.34,79.43,63446,79.43
2012-07-05,79.13,80.33,78.98,79.82,197629,79.82
2012-07-06,78.66,78.75,76.41,77.31,258034,77.31
2012-07-09,76.99,77.38,75.69,75.96,197968,75.96
2012-07-10,76.23,76.57,74.44,74.66,269779,74.66
2012-07-11,74.69,75.79,74.62,75.3,314925,75.3
2012-07-12,74.64,75.84,74.64,75.41,233375,75.41
2012-07-13,75.47,77.16,75.35,76.63,265786,76.63
2012-07-16,76.29,76.76,75.93,76.19,88946,76.19
2012-07-17,76.36,77.14,75.56,77.12,181951,77.12
2012-07-18,76.74,79.1,76.74,78.63,119239,78.63
2012-07-19,78.62,78.74,77.58,78.51,134767,78.51
2012-07-20,78.14,78.14,75.73,76.48,307040,76.48
2012-07-23,75.29,76.16,74.12,75.59,259370,75.59
2012-07-24,74.92,78.08,74.42,75.69,443919,75.69
2012-07-25,75.48,76.86,74.9,75.11,343926,75.11
2012-07-26,78.1,78.92,76.38,77.09,219523,77.09
2012-07-27,77.31,79.41,77.26,79.06,162136,79.06
2012-07-30,78.89,79.05,78.01,78.11,116408,78.11
2012-07-31,78.12,78.83,77.33,77.48,139354,77.48
2012-08-01,77.76,78.19,77.12,77.32,204087,77.32
2012-08-02,76.74,76.89,74.72,75.4,157124,75.4
2012-08-03,77.15,78.41,76.62,77.11,271752,77.11
2012-08-06,77.54,77.62,76.37,77,202379,77
2012-08-07,77.04,78.89,76.72,78.68,305877,78.68
2012-08-08,78.6,79.79,78.3,79.27,259557,79.27
2012-08-09,79.2,79.93,78.25,78.56,103923,78.56
2012-08-10,78.5,78.65,78.02,78.65,81728,78.65
2012-08-13,78.29,78.43,77.31,78.02,85675,78.02
2012-08-14,78.24,78.25,77.05,77.33,71559,77.33
2012-08-15,77.22,78.52,77.08,78.33,80113,78.33
2012-08-16,76.92,77.55,75.9,76.17,240123,76.17
2012-08-17,76.16,76.23,74.36,75.26,270620,75.26
2012-08-20,75.11,76,75.11,75.75,144126,75.75
2012-08-21,76,76.72,75.73,76,118737,76
2012-08-22,76.02,76.89,75.73,76.65,147691,76.65
2012-08-23,76.66,77.56,76.23,77.1,144452,77.1
2012-08-24,77.02,77.99,76.86,77.72,131659,77.72
2012-08-27,77.79,78.49,77.67,78.01,103341,78.01
2012-08-28,77.95,78.28,77.22,77.54,94998,77.54
2012-08-29,77.63,79.43,77.53,79.18,244982,79.18
2012-08-30,78.57,79.35,78.2,79.09,284856,79.09
2012-08-31,79.74,80.65,79.01,80.19,307028,80.19
2012-09-04,80.06,80.18,78.8,79.87,196340,79.87
2012-09-05,79.73,79.97,79,79.61,301748,79.61
2012-09-06,80.31,81.71,80.21,81.67,119031,81.67
2012-09-07,81.99,83.29,81.91,83.18,218960,83.18
2012-09-10,83,83.7,82.52,83.22,146230,83.22
2012-09-11,83.34,83.85,83.22,83.42,155154,83.42
2012-09-12,83.66,84.14,83.08,83.64,160450,83.64
2012-09-13,83.78,85.37,83.22,85.15,158989,85.15
2012-09-14,85.11,85.92,84.68,85.04,174180,85.04
2012-09-17,84.9,85.04,84.35,84.92,131508,84.92
2012-09-18,84.92,85.51,84.48,85.24,84607,85.24
2012-09-19,85.38,85.38,84.67,85.01,70455,85.01
2012-09-20,84.75,85.14,83.81,85.09,152213,85.09
2012-09-21,85.61,85.7,84.48,84.69,241999,84.69
2012-09-24,84.31,84.83,83.85,84.62,85594,84.62
2012-09-25,84.96,85.38,84.05,84.12,90979,84.12
2012-09-26,84.21,84.22,83.14,83.36,105412,83.36
2012-09-27,83.83,84.32,83.47,84.12,128535,84.12
2012-09-28,83.69,83.69,82.87,83.33,236429,83.33
2012-10-01,83.65,85.03,83.55,84.16,123676,84.16
2012-10-02,84.6,84.8,83.72,84.01,87506,84.01
2012-10-03,84.19,85.07,83.91,84.32,73556,84.32
2012-10-04,84.66,85.15,84.3,84.45,97281,84.45
2012-10-05,84.86,85.09,84.11,84.35,77699,84.35
2012-10-08,83.98,84.49,83.94,84.37,67568,84.37
2012-10-09,84.12,84.39,81.95,81.98,157326,81.98
2012-10-10,81.8,81.93,80,80.39,163496,80.39
2012-10-11,80.89,81.93,80.81,80.89,100277,80.89
2012-10-12,81,81.31,80.3,80.38,114499,80.38
2012-10-15,80.39,80.81,80,80.6,101627,80.6
