DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-06-01,30.49,31.48,29.96,30.11,1585394,30.11
2012-06-04,30.2,30.54,29.3,29.9,1099701,29.9
2012-06-05,29.75,30.26,29.69,29.93,1091607,29.93
2012-06-06,30.24,31.05,30.22,30.94,920821,30.94
2012-06-07,31.12,31.3,30.6,30.82,1762272,30.82
2012-06-08,30.67,31.38,30.67,31.23,877350,31.23
2012-06-11,31.72,31.73,30.61,30.66,1778189,30.66
2012-06-12,30.5,30.61,29.67,30.54,1813657,30.54
2012-06-13,30.52,31.19,30.19,30.34,894782,30.34
2012-06-14,30.24,30.49,29.92,30.2,776879,30.2
2012-06-15,30.34,30.73,30.16,30.69,1169137,30.69
2012-06-18,30.52,30.85,30.15,30.55,663853,30.55
2012-06-19,30.79,31,30.16,30.86,1211316,30.86
2012-06-20,30.85,31.21,30.57,30.89,788330,30.89
2012-06-21,30.5,30.76,29.3,29.37,1517405,29.37
2012-06-22,29.38,29.91,29.36,29.7,1587139,29.7
2012-06-25,29.26,29.73,28.615,28.93,962349,28.93
2012-06-26,29.1,29.67,29.01,29.12,1198606,29.12
2012-06-27,29.26,29.86,28.98,29.8,958147,29.8
2012-06-28,28.65,29.21,28.32,28.8,2557043,28.8
2012-06-29,29.49,30.62,29.24,30.48,2387505,30.48
2012-07-02,30.59,30.59,29.58,29.84,875028,29.84
2012-07-03,29.9,31.03,29.8,30.98,798520,30.98
2012-07-05,30.9,31.06,30.51,30.68,1112124,30.68
2012-07-06,30.14,31.105,30.06,31.01,2043385,31.01
2012-07-09,30.86,31.69,30.76,31.53,1767107,31.53
2012-07-10,31.76,32.72,31.67,32.01,2087634,32.01
2012-07-11,31.96,32.28,31.3,31.5,1535894,31.5
2012-07-12,31.35,31.61,30.7,31.35,826326,31.35
2012-07-13,31.5,31.72,31.21,31.58,929950,31.58
2012-07-16,31.38,31.83,31.22,31.62,668947,31.62
2012-07-17,31.89,32.13,31.51,31.97,1363427,31.97
2012-07-18,31.94,33.85,31.94,33.4,2139535,33.4
2012-07-19,33.67,33.72,32.5,32.71,1615900,32.71
2012-07-20,32.54,32.88,32.02,32.07,1199738,32.07
2012-07-23,31.48,32.45,31.21,32.28,1207864,32.28
2012-07-24,32.24,32.26,31.41,31.77,1297760,31.77
2012-07-25,31.73,32.755,31.42,32.47,2201171,32.47
2012-07-26,38.03,40.88,38,39.27,4872839,39.27
2012-07-27,39.23,40.06,38.71,39.92,2606925,39.92
2012-07-30,40,40.74,39.51,40.17,1966613,40.17
2012-07-31,39.36,40.43,39.08,39.77,2318311,39.77
2012-08-01,40.23,40.31,39.17,39.42,1694470,39.42
2012-08-02,39.19,40.46,38.92,39.9,1176855,39.9
2012-08-03,40.69,41.18,40.27,41,1300475,41
2012-08-06,41.09,41.49,40.66,41.25,823829,41.25
2012-08-07,41.67,42,41.48,41.75,874672,41.75
2012-08-08,41.63,42.47,41.34,41.86,1140822,41.86
2012-08-09,42.18,43.11,42.14,43.03,1460647,43.03
