DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,28,28.52,27.98,28.43,6520056,28.43
2012-01-04,28.3,28.68,28.05,28.56,5268344,28.56
2012-01-05,28.52,29.58,28.25,29.02,6768134,29.02
2012-01-06,28.79,29.08,28.47,28.94,5896021,28.94
2012-01-09,29.1,29.38,29,29.31,5419680,29.31
2012-01-10,29.75,29.8,29.18,29.41,5663998,29.41
2012-01-11,29.22,29.68,29.08,29.62,5329202,29.62
2012-01-12,29.86,29.94,29.25,29.61,5680809,29.61
2012-01-13,28.95,29.64,28.85,29.61,7390151,29.61
2012-01-17,30,30.69,29.66,29.81,8135601,29.81
2012-01-18,29.57,30.29,29.51,30.24,5823047,30.24
2012-01-19,30.26,30.44,29.99,30.15,6117849,30.15
2012-01-20,30.17,30.57,29.96,30.54,9989864,30.54
2012-01-23,30.53,31.03,30.45,30.92,7840375,30.92
2012-01-24,30.43,30.65,30.16,30.54,4847796,30.54
2012-01-25,30.28,30.4,29.97,30.2,5525111,30.2
2012-01-26,30.4,30.4,28.8,29.05,8061791,29.05
2012-01-27,28.8,29.75,28.78,29.6,6221860,29.6
2012-01-30,29.19,29.33,29.03,29.25,4805186,29.25
2012-01-31,29.5,29.5,29.16,29.21,6671171,29.21
2012-02-01,29.57,30.09,29.57,29.89,5078447,29.89
2012-02-02,29.95,30.09,29.69,29.9,3936117,29.9
2012-02-03,30.5,30.71,30.36,30.63,7963278,30.63
2012-02-06,30.43,30.5,30.08,30.2,4347139,30.2
2012-02-07,30.01,30.48,30,30.26,3074982,30.26
2012-02-08,30.26,30.63,30.14,30.63,4662372,30.63
2012-02-09,30.73,30.84,30.29,30.58,4484150,30.58
2012-02-10,30.18,30.39,30.09,30.27,3407819,30.27
2012-02-13,30.63,30.74,30.45,30.62,2784003,30.62
2012-02-14,30.39,30.53,30.03,30.42,3621690,30.42
2012-02-15,30.55,30.71,30.06,30.17,4008922,30.17
2012-02-16,30.24,30.46,29.96,30.37,4369816,30.37
2012-02-17,30.55,31.13,30.4,31.09,9178036,31.09
