DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,35.235,35.535,34.67,34.82,821760,34.82
2012-01-04,34.755,35.795,34.7,35.745,1211792,35.745
2012-01-05,35.575,36.41,35.215,36.375,1258050,36.375
2012-01-06,36.32,36.67,36.04,36.44,1074296,36.44
2012-01-09,36.44,36.715,36.185,36.445,964434,36.445
2012-01-10,36.75,36.9,35.845,36.34,1163156,36.34
2012-01-11,36.23,36.435,35.965,36.135,770308,36.135
2012-01-12,36.155,36.34,35.635,35.965,994988,35.965
2012-01-13,35.89,36.875,35.765,36.845,960850,36.845
2012-01-17,37.03,38.66,37.03,38.365,2787418,38.365
2012-01-18,38.355,39.14,38.3,38.935,1568164,38.935
2012-01-19,38.815,38.84,38.415,38.665,1011398,38.665
2012-01-20,38.6,38.6,38.03,38.16,1419900,38.16
2012-01-23,38.26,38.485,37.9,38.06,866144,38.06
2012-01-24,37.94,38.68,37.91,38.655,1019850,38.655
2012-01-25,38.345,38.87,38.27,38.58,733720,38.58
2012-01-26,38.785,38.81,37.53,37.595,1347940,37.595
2012-01-27,37.375,37.915,37.135,37.445,1019714,37.445
2012-01-30,37.125,37.165,36.76,36.97,1033142,36.97
2012-01-31,37.245,37.425,36.7625,37.015,1039396,37.015
2012-02-01,37.435,37.95,37.385,37.605,1203726,37.605
2012-02-02,37.605,38,37.605,37.8,954280,37.8
2012-02-03,38.065,38.49,37.875,38.125,766122,38.125
2012-02-06,38.07,38.505,37.945,38.205,1024290,38.205
2012-02-07,38.315,38.355,37.8,37.9,742912,37.9
2012-02-08,38.175,39.155,38.175,38.965,2482516,38.965
2012-02-09,38.965,41.175,38.955,41.01,5441344,41.01
2012-02-10,40.135,41.095,39.755,40.81,2847802,40.81
2012-02-13,40.855,40.875,40.28,40.48,1191986,40.48
2012-02-14,40.5,40.5,40.035,40.495,842196,40.495
2012-02-15,40.6,40.62,39.915,39.97,929056,39.97
2012-02-16,40.02,40.4,40,40.3,790956,40.3
2012-02-17,40.37,40.775,40.355,40.6,1063820,40.6
2012-02-21,40.6,40.79,40.14,40.29,798266,40.29
2012-02-22,40.345,40.475,40.02,40.21,662232,40.21
2012-02-23,40.25,40.915,39.8,40.51,517234,40.51
2012-02-24,40.685,40.875,40.425,40.55,529870,40.55
2012-02-27,40.19,41.1,40.16,40.825,958986,40.825
2012-02-28,40.82,41.03,40.4,40.5,1075026,40.5
2012-02-29,40.41,40.54,40.225,40.37,1294036,40.37
2012-03-01,40.545,41.215,40.355,41.085,1020674,41.085
2012-03-02,41.065,41.705,41,41.405,1081600,41.405
2012-03-05,41.45,41.495,41.065,41.31,820098,41.31
2012-03-06,40.895,41.14,40.42,40.4675,740204,40.4675
2012-03-07,40.545,41.14,40.435,41,745232,41
2012-03-08,41.21,41.98,41.21,41.92,786028,41.92
2012-03-09,41.88,42.085,41.64,41.935,615838,41.935
2012-03-12,42.025,42.065,41.73,41.9,397936,41.9
2012-03-13,42.215,43,42.08,42.985,1414396,42.985
2012-03-14,42.955,43,42.425,42.565,575210,42.565
2012-03-15,42.56,42.795,42.345,42.7425,675422,42.7425
2012-03-16,42.715,43.17,42.465,42.575,2441254,42.575
2012-03-19,42.525,42.635,42.155,42.615,877578,42.615
2012-03-20,42.51,42.565,42.025,42.145,478332,42.145
2012-03-21,42.24,42.24,41.86,41.985,640828,41.985
2012-03-22,41.705,41.93,41.46,41.485,867710,41.485
2012-03-23,41.645,41.75,41.24,41.725,847178,41.725
2012-03-26,42.145,42.375,41.89,42.33,1030424,42.33
2012-03-27,42.33,42.47,41.98,42.07,699204,42.07
2012-03-28,42.195,42.795,42.155,42.795,1128632,42.795
2012-03-29,41.94,42.245,41.135,41.305,2207742,41.305
2012-03-30,41.59,41.745,41.2425,41.6,1280772,41.6
2012-04-02,41.575,41.8,41.335,41.735,691088,41.735
2012-04-03,41.67,41.95,41.2,41.48,1053904,41.48
