DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,48.32,49.65,48.31,48.51,521450,48.51
2012-01-04,48.65,49.29,47.73,48.97,425071,48.97
2012-01-05,48.47,50.39,48.16,50.32,402252,50.32
2012-01-06,50.23,50.32,49.08,49.48,467533,49.48
2012-01-09,49.84,50.93,49.81,50.49,336408,50.49
2012-01-10,51.11,52.34,51.03,51.83,460708,51.83
2012-01-11,51.51,52.45,51.31,51.83,400128,51.83
2012-01-12,51.46,52.14,49.84,52.01,815331,52.01
2012-01-13,51.63,52.05,50.55,50.9,620696,50.9
2012-01-17,51.68,52.33,49.86,49.89,603128,49.89
2012-01-18,49.95,54.12,49.8,53.86,832919,53.86
2012-01-19,53.8,56.29,53.64,55.43,643415,55.43
2012-01-20,55.13,55.15,53.42,54.19,654295,54.19
2012-01-23,54.26,55.1,53.74,53.96,440219,53.96
2012-01-24,53.46,54.71,53.36,54.36,702679,54.36
2012-01-25,54.4,55.09,53.41,54.89,354455,54.89
2012-01-26,54.89,55.23,53.78,54.42,305858,54.42
2012-01-27,54.27,54.84,53.82,54.6,286319,54.6
2012-01-30,53.79,54.6,53.37,53.75,359375,53.75
2012-01-31,54.31,54.69,52.92,54.32,648039,54.32
2012-02-01,59.16,65.22,58.5,61.64,2532250,61.64
2012-02-02,61.75,64.92,61.5,64.36,1105980,64.36
2012-02-03,65.25,69.14,65.22,68.66,696137,68.66
2012-02-06,69.2,71.56,68.18,70.74,695139,70.74
2012-02-07,70.29,70.93,69.38,70.7,543500,70.7
2012-02-08,70.7,71.31,69.3,70.2,505945,70.2
2012-02-09,70.06,70.14,68.74,69.53,474007,69.53
2012-02-10,68.71,70.24,68.3,70.04,462230,70.04
2012-02-13,70.76,72.22,70.49,71.94,526396,71.94
2012-02-14,70.98,72.26,70.77,72.07,361442,72.07
2012-02-15,72.55,73,69.18,69.35,569100,69.35
2012-02-16,69.13,70.9,68.94,70.66,368390,70.66
2012-02-17,71.23,72.5,70.96,71.03,342105,71.03
2012-02-21,71.32,72.26,70.38,70.61,397549,70.61
2012-02-22,70.37,70.99,69.2,70.08,299472,70.08
2012-02-23,69.91,71.32,69.57,70.9,177037,70.9
2012-02-24,71.65,72.35,70.7,71.3,788366,71.3
2012-02-27,70.94,76.77,70.8,76.1,1043371,76.1
2012-02-28,75.94,78.04,75.48,76.15,585110,76.15
2012-02-29,75.59,76.8,74.86,75.57,603851,75.57
2012-03-01,76.45,76.45,74.07,74.48,476849,74.48
2012-03-02,74.38,74.97,73.52,74.14,354007,74.14
2012-03-05,73.68,74.66,73.37,73.85,333801,73.85
2012-03-06,72.16,73.08,71.27,72.8,378662,72.8
2012-03-07,73.31,74.09,72.93,73.57,307432,73.57
2012-03-08,73.65,73.65,71.65,73.44,571225,73.44
2012-03-09,73.62,75.84,73.48,75.3,426345,75.3
2012-03-12,75.64,75.73,74.51,75.13,294575,75.13
2012-03-13,75.71,78.18,75.6,78.06,349079,78.06
2012-03-14,78.5,79.36,77.98,78.5,471069,78.5
2012-03-15,78.65,78.92,77.67,78.82,351609,78.82
2012-03-16,79.16,79.16,76.07,76.84,893753,76.84
2012-03-19,76.84,78.81,76.23,77.76,369083,77.76
2012-03-20,77.32,77.85,76.03,77.42,260248,77.42
2012-03-21,77.52,78.06,76.75,77.52,184342,77.52
2012-03-22,77.15,77.31,75.76,76.54,207588,76.54
2012-03-23,75.54,77.14,74.41,76.78,279918,76.78
2012-03-26,77.79,78.38,77.59,78.02,268083,78.02
2012-03-27,78.2,78.82,76.52,76.62,375219,76.62
2012-03-28,76.5,77.16,75.1,75.83,266216,75.83
2012-03-29,75.01,76.36,74.57,76.13,178518,76.13
2012-03-30,76.61,76.93,75.78,76.86,345476,76.86
2012-04-02,76.69,76.99,75.35,75.77,305231,75.77
2012-04-03,75.74,76.32,74.25,74.5,388352,74.5
2012-04-04,73.23,74.6,72.83,74.23,420764,74.23
2012-04-05,73.97,75.44,73.7,75.23,234055,75.23
2012-04-09,73.64,74.54,72.65,74.29,314101,74.29
2012-04-10,73.99,74.22,70.32,70.46,418548,70.46
2012-04-11,71.93,73.03,71.58,71.94,346318,71.94
2012-04-12,71.83,72.56,71.75,71.97,329235,71.97
2012-04-13,71.79,72.42,70.99,71.1,355663,71.1
2012-04-16,71.95,72.6,70.53,71.03,228693,71.03
2012-04-17,71.5,71.87,67.07,68,1014145,68
2012-04-18,68.02,68.03,66.13,66.21,711519,66.21
2012-04-19,66.05,66.07,64.18,64.49,670270,64.49
2012-04-20,64.87,65.15,63.91,64.17,483673,64.17
2012-04-23,63.3,66,63.02,65.73,545171,65.73
2012-04-24,65.63,67.27,65.48,66.33,483758,66.33
2012-04-25,67.61,71.32,67.61,68.89,642715,68.89
2012-04-26,68.28,69.62,64.85,65.96,752507,65.96
2012-04-27,66.87,67,64.14,64.52,565509,64.52
2012-04-30,64.4,64.94,63.31,64.02,413282,64.02
2012-05-01,64.43,66.08,63.99,64.79,289299,64.79
2012-05-02,64.44,65.24,64.15,64.88,244042,64.88
2012-05-03,64.6,64.87,62.65,62.8,323873,62.8
2012-05-04,62.59,62.69,61.25,61.77,414941,61.77
2012-05-07,61.81,62.29,61.56,61.98,345988,61.98
2012-05-08,61.23,61.74,60.02,61.62,350266,61.62
2012-05-09,60.74,61.88,60.43,61.11,371681,61.11
2012-05-10,61.73,62.15,60.75,61.13,335973,61.13
2012-05-11,60.65,62.89,60.58,62.41,367798,62.41
2012-05-14,61.91,62.5,60.93,61.02,289609,61.02
2012-05-15,60.53,62.39,60.15,60.96,278483,60.96
2012-05-16,61.03,62.69,60.99,61.58,532665,61.58
2012-05-17,61.61,61.61,58.33,58.46,563805,58.46
2012-05-18,58.62,59.19,57.21,57.71,404271,57.71
2012-05-21,57.75,58.76,57.06,58.56,420563,58.56
2012-05-22,58.59,59.32,57.77,58.58,294878,58.58
2012-05-23,57.92,59.15,57.61,58.96,302116,58.96
2012-05-24,59.28,59.4,57.61,58.53,311120,58.53
2012-05-25,58.75,60.88,58.71,60.56,318020,60.56
2012-05-29,60.84,62.89,60.84,62.83,300113,62.83
2012-05-30,62.23,65.45,59.99,63.13,912225,63.13
2012-05-31,63.15,63.16,60.45,61.88,529594,61.88
2012-06-01,60.47,60.47,57.51,57.81,422863,57.81
2012-06-04,57.77,58.22,55.64,57.27,479679,57.27
2012-06-05,56.88,59,56.78,58.86,282026,58.86
2012-06-06,59.31,60.94,58.97,60.79,351089,60.79
2012-06-07,61.61,61.91,59.73,60.01,454840,60.01
2012-06-08,59.75,61.13,59.24,60.83,267878,60.83
2012-06-11,61.39,61.4,58.73,58.83,315197,58.83
2012-06-12,59.19,59.71,58.55,59.6,285865,59.6
2012-06-13,59.5,59.5,57.81,58.24,303131,58.24
2012-06-14,58.52,59.07,57.69,58.04,285639,58.04
2012-06-15,58.66,59.24,58.21,59.11,616817,59.11
2012-06-18,59,60.67,58.47,60.23,367901,60.23
2012-06-19,60.62,62.58,60.62,62.14,274002,62.14
2012-06-20,62.14,62.77,61.44,61.8,234253,61.8
2012-06-21,61.72,61.86,57.93,58.16,399653,58.16
2012-06-22,58.49,58.76,56.42,56.73,585784,56.73
2012-06-25,55.82,56.34,54.54,54.86,447947,54.86
2012-06-26,54.87,56.01,54.08,55.44,484650,55.44
2012-06-27,55.72,57.54,55.72,56.85,274850,56.85
2012-06-28,56.26,57.6,55.57,57.44,319296,57.44
2012-06-29,59.32,61.16,58.77,61.16,606846,61.16
2012-07-02,61.43,61.6,60.43,61.53,407315,61.53
2012-07-03,61.71,62.94,61.69,62.94,140885,62.94
2012-07-05,62.9,63.88,62.11,63.26,273176,63.26
2012-07-06,62.56,62.97,61.73,62.82,235134,62.82
2012-07-09,62.81,62.81,61.47,61.9,258887,61.9
2012-07-10,62.26,62.57,60.07,60.66,312896,60.66
2012-07-11,60.78,62,60.39,61.9,333452,61.9
2012-07-12,61.1,62.15,59.86,61.7,384181,61.7
2012-07-13,61.96,63.33,61.92,62.82,217344,62.82
2012-07-16,62.85,63.13,61.46,61.98,219817,61.98
2012-07-17,62.42,63.56,61.56,63.44,276432,63.44
2012-07-18,63.83,65.48,63.76,65.04,518105,65.04
2012-07-19,67,68.96,66.89,68.46,841335,68.46
2012-07-20,67.71,68.45,67.46,67.61,304847,67.61
2012-07-23,66.4,69.09,66.4,67.31,456839,67.31
2012-07-24,63.5,65.58,61.5,62.25,729300,62.25
2012-07-25,63.47,65.48,62.96,64.61,589881,64.61
2012-07-26,66.4,67.2,65.01,66.9,374482,66.9
2012-07-27,67.14,69.24,66.85,68.61,316280,68.61
2012-07-30,68.62,69.7,67.09,68.23,332985,68.23
