DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,11.94,11.97,11.79,11.81,1448823,11.81
2012-01-04,11.76,11.79,11.635,11.66,1679276,11.66
2012-01-05,11.64,11.65,11.49,11.61,3111503,11.61
2012-01-06,11.65,11.795,11.58,11.7,1218341,11.7
2012-01-09,11.72,11.77,11.62,11.62,2270534,11.62
2012-01-10,11.68,11.8,11.64,11.76,2210985,11.76
2012-01-11,11.7,11.92,11.7,11.92,1483543,11.92
2012-01-12,11.94,11.97,11.85,11.97,932457,11.97
2012-01-13,11.91,12.1,11.9,12.08,3690444,12.08
2012-01-17,12.24,12.35,12.155,12.17,1835572,12.17
2012-01-18,12.24,12.39,12.2,12.35,1540118,12.35
2012-01-19,12.33,12.38,12.235,12.24,1479035,12.24
2012-01-20,12.24,12.35,12.23,12.33,1172612,12.33
2012-01-23,12.27,12.36,12.18,12.23,1115633,12.23
2012-01-24,12.16,12.2,12,12.12,1634297,12.12
2012-01-25,12.11,12.23,11.99,12.22,1661332,12.22
2012-01-26,12.21,12.27,12.04,12.08,1081853,12.08
2012-01-27,12.05,12.17,12,12,1130199,12
2012-01-30,11.97,12.01,11.905,12.01,1142216,12.01
2012-01-31,12.1,12.1,11.98,12.07,1673059,12.07
2012-02-01,12.09,12.29,12.06,12.23,1275004,12.23
2012-02-02,12.27,12.34,12.24,12.29,1355336,12.29
2012-02-03,12.36,12.39,12.25,12.3,1036861,12.3
2012-02-06,12.3,12.35,12.215,12.29,957628,12.29
2012-02-07,12.28,12.46,12.27,12.44,1526938,12.44
2012-02-08,12.37,12.465,12.36,12.4,906996,12.4
2012-02-09,12.42,12.48,12.33,12.47,779046,12.47
2012-02-10,12.4,12.45,12.31,12.365,910057,12.365
2012-02-13,12.43,12.45,12.35,12.41,1339505,12.41
2012-02-14,12.41,12.46,12.31,12.46,1624250,12.46
2012-02-15,12.48,12.485,12.365,12.41,1346880,12.41
2012-02-16,12.41,12.5,12.38,12.49,800058,12.49
2012-02-17,12.5,12.54,12.47,12.475,1410875,12.475
2012-02-21,12.54,12.545,12.385,12.47,1664223,12.47
2012-02-22,12.48,12.48,12.05,12.12,2666327,12.12
2012-02-23,12.13,12.15,12,12.07,2003175,12.07
2012-02-24,12.11,12.17,12.08,12.16,725632,12.16
2012-02-27,12.16,12.17,12.07,12.13,4417998,12.13
2012-02-28,12.13,12.2,12.1,12.16,950977,12.16
2012-02-29,12.16,12.2,12.04,12.08,2278124,12.08
2012-03-01,12.09,12.13,12.02,12.08,1412990,12.08
2012-03-02,12.06,12.16,12.06,12.09,945251,12.09
2012-03-05,12.09,12.15,12.01,12.09,1006545,12.09
2012-03-06,12.03,12.06,12,12.01,1180840,12.01
2012-03-07,12.04,12.09,12.005,12.07,962634,12.07
2012-03-08,12.12,12.16,11.995,12,1188227,12
2012-03-09,12,12.17,12,12.17,833523,12.17
2012-03-12,12.2,12.29,12.14,12.14,1091378,12.14
2012-03-13,12.22,12.24,12.02,12.11,1928767,12.11
2012-03-14,12.12,12.14,12,12.04,1145687,12.04
2012-03-15,12.05,12.14,12,12.14,854662,12.14
2012-03-16,12.16,12.195,12.09,12.09,2763221,12.09
2012-03-19,12.09,12.2,12.06,12.1,783425,12.1
2012-03-20,12.1,12.12,12.01,12.03,983887,12.03
2012-03-21,12.06,12.08,12.015,12.03,763118,12.03
2012-03-22,12.01,12.08,11.96,11.97,971436,11.97
2012-03-23,11.97,11.97,11.88,11.91,1274239,11.91
2012-03-26,11.99,12,11.85,11.93,1402239,11.93
2012-03-27,11.99,12.12,11.95,12.06,1799758,12.06
2012-03-28,11.79,11.84,11.53,11.57,2166166,11.57
2012-03-29,11.56,11.675,11.415,11.645,1807952,11.645
2012-03-30,11.68,11.725,11.54,11.71,2595291,11.71
