DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,27.53,27.65,26.21,26.82,3149379,26.82
2012-01-04,26.81,26.99,26.57,26.98,2764981,26.98
2012-01-05,27.38,27.7,26.96,27.55,2127223,27.55
2012-01-06,27.69,27.71,27.34,27.39,1401575,27.39
2012-01-09,27.57,27.81,27.24,27.78,1521253,27.78
2012-01-10,28.23,28.48,27.97,28.33,2083204,28.33
2012-01-11,28.1,28.24,27.78,27.84,1073471,27.84
2012-01-12,28.01,28.38,27.88,28.14,1343811,28.14
2012-01-13,28.01,28.26,27.88,28.22,1200769,28.22
2012-01-17,28.61,28.66,28.1,28.43,1844411,28.43
2012-01-18,28.71,29.14,28.54,29.05,1544897,29.05
2012-01-19,29.23,29.29,28.44,28.74,1686188,28.74
2012-01-20,28.84,28.94,28.33,28.84,1798428,28.84
2012-01-23,28.82,29.23,28.82,29.03,1455445,29.03
2012-01-24,28.82,29.1,28.82,29.06,1202082,29.06
2012-01-25,28.98,29.47,28.67,29.41,1291274,29.41
2012-01-26,29.68,29.68,28.68,28.87,1307768,28.87
2012-01-27,28.75,28.81,28.21,28.55,1113423,28.55
2012-01-30,28.41,28.71,28.16,28.71,2005360,28.71
2012-01-31,28.99,29.01,28.52,28.82,1169303,28.82
2012-02-01,29.12,29.6,29.03,29.19,1370350,29.19
2012-02-02,29.27,29.31,28.76,28.84,928693,28.84
2012-02-03,29.2,29.78,29.11,29.7,1567182,29.7
2012-02-06,29.55,29.69,29.3,29.41,1596006,29.41
2012-02-07,29.31,29.36,28.93,29.2,1626606,29.2
2012-02-08,29.2,29.41,29.06,29.21,994748,29.21
2012-02-09,29.28,29.35,28.96,29.19,805154,29.19
2012-02-10,28.87,29.13,28.67,29.06,840163,29.06
2012-02-13,29.19,29.59,29.13,29.52,879552,29.52
2012-02-14,29.47,29.59,28.97,29.18,779496,29.18
2012-02-15,29.28,29.32,28.85,28.97,1238812,28.97
2012-02-16,28.9,29.06,28.71,28.87,1142149,28.87
