DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,60,61.06,59.87,60.33,3295038,60.33
2012-01-04,60.26,60.34,59.47,59.71,2018031,59.71
2012-01-05,59.35,59.62,58.37,59.42,3263664,59.42
2012-01-06,59.31,59.44,58.88,59,1740710,59
2012-01-09,59,59.55,58.96,59.18,1684135,59.18
2012-01-10,59.48,59.7,58.98,59.04,2543949,59.04
2012-01-11,59.08,59.53,59.05,59.4,1691452,59.4
2012-01-12,59.8,60,59.41,59.5,2105857,59.5
2012-01-13,59.25,59.61,59.02,59.54,2956590,59.54
2012-01-17,59.9,60.1,59.52,59.85,1954517,59.85
2012-01-18,59.8,60.03,59.65,60.01,1319741,60.01
2012-01-19,59.91,60.73,59.75,60.61,1739985,60.61
2012-01-20,60.95,61.25,60.67,61.01,3349069,61.01
2012-01-23,60.7,60.97,60.51,60.91,1471752,60.91
2012-01-24,60.84,61.56,60.83,61.39,1879319,61.39
2012-01-25,61.22,61.6,61.05,61.47,1628478,61.47
2012-01-26,61.84,61.84,60.78,60.97,2035083,60.97
2012-01-27,60.83,61.12,60.54,60.71,2170202,60.71
2012-01-30,60.4,61.31,60.35,61.3,1500490,61.3
2012-01-31,61.52,61.57,60.58,61.36,2927918,61.36
2012-02-01,61.93,62.63,61.83,62.18,2680911,62.18
2012-02-02,62.43,62.45,61.83,61.94,1976439,61.94
2012-02-03,62.36,62.43,61.7,62.03,1834521,62.03
2012-02-06,61.85,61.98,61.71,61.88,1215718,61.88
2012-02-07,61.64,61.9,61.63,61.69,1227995,61.69
2012-02-08,61.88,62.02,61.24,61.62,1455664,61.62
2012-02-09,61.6,62.16,61.6,61.96,1452655,61.96
2012-02-10,61.65,61.9,61.39,61.9,1718318,61.9
2012-02-13,62.01,62.08,61.73,61.79,885256,61.79
2012-02-14,61.84,62.24,61.8,62.22,1313080,62.22
2012-02-15,62.32,62.44,61.6,61.76,1193310,61.76
2012-02-16,61.79,62.18,61.7,62.04,2148756,62.04
2012-02-17,62.37,62.57,61.91,62.48,2594873,62.48
2012-02-21,60.3,60.5,59.67,60.07,4069181,60.07
2012-02-22,59.55,59.9,58.37,58.6,4736009,58.6
2012-02-23,58.59,58.9,58.21,58.54,2611758,58.54
2012-02-24,58.82,58.95,58.5,58.79,1589245,58.79
2012-02-27,58.69,58.78,58.29,58.46,1841877,58.46
2012-02-28,58.42,59.06,58.35,58.93,2031088,58.93
2012-02-29,58.84,59.32,58.73,59.08,3513884,59.08
2012-03-01,59.38,59.42,58.65,58.82,3276429,58.82
2012-03-02,58.94,59.28,58.8,59.01,2007394,59.01
2012-03-05,59,59.59,58.75,59.4,1803534,59.4
2012-03-06,59,59.22,58.75,58.96,1860622,58.96
2012-03-07,59.13,59.86,59.13,59.86,3550863,59.86
2012-03-08,59.82,59.95,59.45,59.77,1733799,59.77
2012-03-09,59.88,60.2,59.85,60.08,1274795,60.08
2012-03-12,60.14,60.89,60.09,60.68,1650581,60.68
2012-03-13,61,61,60.52,61,3424045,61
2012-03-14,60.99,61.15,60.69,61.08,1168238,61.08
2012-03-15,61.01,61.26,60.79,61.23,1576015,61.23
2012-03-16,61.45,61.46,60.77,60.84,6161461,60.84
2012-03-19,60.58,60.87,60.47,60.74,1370625,60.74
2012-03-20,60.42,60.86,60.42,60.6,1867309,60.6
2012-03-21,60.44,60.72,60.37,60.56,1617836,60.56
2012-03-22,60.23,60.77,60.23,60.65,1214961,60.65
2012-03-23,60.61,60.84,60.42,60.75,2038394,60.75
2012-03-26,60.89,61.32,60.76,61.2,1362600,61.2
2012-03-27,61.29,61.49,61.02,61.09,1576647,61.09
2012-03-28,61.15,61.47,60.99,61.19,1285919,61.19
2012-03-29,60.75,60.95,60.62,60.82,1472348,60.82
2012-03-30,61.04,61.41,60.93,61.2,2044323,61.2
2012-04-02,61.02,61.49,60.98,61.36,1285892,61.36
2012-04-03,61.14,61.4,60.24,60.65,2337629,60.65
2012-04-04,60.52,60.59,60.02,60.26,2359548,60.26
2012-04-05,60.2,60.69,60.08,60.67,1518638,60.67
2012-04-09,60.11,60.34,60.11,60.13,2310136,60.13
2012-04-10,60.03,60.39,59.55,59.93,2001010,59.93
2012-04-11,60.24,60.24,59.66,59.8,1971032,59.8
2012-04-12,59.77,60.19,59.57,60.14,1439791,60.14
2012-04-13,60.04,60.2,59.75,59.77,2242771,59.77
2012-04-16,59.94,60.81,59.92,60.58,1450314,60.58
2012-04-17,61.1,61.95,61.1,61.87,2154408,61.87
2012-04-18,61.69,62.25,61.69,62.06,1525713,62.06
2012-04-19,61.97,62.05,61.48,61.75,1158565,61.75
2012-04-20,61.75,62.49,61.66,62.45,3635673,62.45
2012-04-23,59.15,60.24,59.15,59.54,6229834,59.54
2012-04-24,59.28,59.34,57.65,57.77,4920267,57.77
2012-04-25,58.06,58.42,57.18,57.36,4044104,57.36
2012-04-26,57.62,59.43,57.57,58.95,4110361,58.95
2012-04-27,59.22,59.44,58.94,59.03,1440345,59.03
2012-04-30,58.85,58.99,58.54,58.91,2024069,58.91
2012-05-01,58.87,59.27,58.48,59.07,3223984,59.07
2012-05-02,58.96,59.32,58.82,59.01,1510017,59.01
2012-05-03,59.12,59.12,58.82,58.99,1471946,58.99
2012-05-04,58.86,59.17,58.68,58.7,1160986,58.7
2012-05-07,58.6,59.36,58.56,59.19,1663253,59.19
2012-05-08,59,59.37,58.64,59.05,1564731,59.05
2012-05-09,58.3,59.24,58.3,59.03,1870639,59.03
2012-05-10,59.29,59.61,59.1,59.19,1330699,59.19
2012-05-11,59.01,59.65,58.81,59.42,1444525,59.42
2012-05-14,58.99,59.55,58.92,59.07,1508793,59.07
2012-05-15,59.01,59.65,58.99,59.35,3567237,59.35
2012-05-16,59.53,59.66,59.16,59.19,2704582,59.19
2012-05-17,61.4,62.5,61.25,61.68,5813361,61.68
2012-05-18,61.9,62.63,61.76,62.43,4756646,62.43
2012-05-21,62.39,63.1,62.19,63.04,3001295,63.04
2012-05-22,62.91,63.95,62.91,63.73,3199693,63.73
2012-05-23,63.3,64.69,63.3,64.58,3309273,64.58
2012-05-24,64.56,65.17,64.47,65.07,2394332,65.07
2012-05-25,64.8,65.5,64.8,65.31,2808204,65.31
2012-05-29,65.5,65.76,65.21,65.68,1971948,65.68
2012-05-30,65.52,65.95,65.33,65.44,2266247,65.44
2012-05-31,65.43,66.66,65.38,65.82,3822489,65.82
2012-06-01,65.5,65.88,65.13,65.55,4063873,65.55
2012-06-04,65.98,66.12,65.41,65.99,2725511,65.99
2012-06-05,65.69,65.9,65.43,65.48,1794131,65.48
2012-06-06,65.51,65.96,65.46,65.93,1826094,65.93
2012-06-07,66,66.08,65.79,65.87,2509694,65.87
2012-06-08,66.16,68.23,66.15,68.22,2913669,68.22
2012-06-11,68.37,68.47,67.47,67.53,2212771,67.53
2012-06-12,67.7,67.85,67.3,67.72,1685659,67.72
2012-06-13,67.44,67.75,66.96,67.07,1783381,67.07
2012-06-14,67.16,67.79,67.15,67.63,1939166,67.63
2012-06-15,68.01,68.05,67.59,67.75,5824437,67.75
2012-06-18,67.47,68.27,67.45,68.12,1753095,68.12
2012-06-19,68.09,68.25,67.7,67.81,2033477,67.81
2012-06-20,67.86,68.54,67.78,68.52,2411894,68.52
2012-06-21,68.5,68.66,67.68,67.7,2398627,67.7
2012-06-22,68.01,68.34,67.19,67.3,4026314,67.3
2012-06-25,67.3,68.23,67.26,68.18,2170368,68.18
2012-06-26,68.5,68.91,68.26,68.58,1683078,68.58
2012-06-27,68.64,68.75,68.26,68.59,1420386,68.59
2012-06-28,68.01,68.34,67.5,68.3,1739492,68.3
2012-06-29,68.81,69.72,68.56,69.72,2967435,69.72
2012-07-02,69.7,69.95,69.15,69.35,2107735,69.35
2012-07-03,69.65,70.77,69.3,70.75,1572028,70.75
2012-07-05,70.5,71.29,70.43,71.08,2214240,71.08
2012-07-06,70.75,71.36,70.73,71.36,1473263,71.36
2012-07-09,71.12,71.76,71.03,71.76,1928971,71.76
2012-07-10,71.93,72.57,71.65,72.11,2250786,72.11
2012-07-11,72.31,72.43,71.78,72.26,2199253,72.26
2012-07-12,72.05,72.62,71.64,72.31,1825714,72.31
2012-07-13,72.27,73.23,72.15,73.18,1672534,73.18
2012-07-16,72.97,73.17,72.58,72.98,1500773,72.98
2012-07-17,72.8,73.1,72.32,73.1,2324939,73.1
2012-07-18,72.88,73.45,72.72,72.85,1442694,72.85
2012-07-19,72.71,72.82,70.23,71.53,2911413,71.53
2012-07-20,71.42,72.49,71.33,72.25,3190402,72.25
2012-07-23,71.75,71.99,71.26,71.85,1471462,71.85
2012-07-24,71.77,72.24,71.46,72.14,1326190,72.14
2012-07-25,72.18,72.46,71.88,72.08,2331099,72.08
2012-07-26,72.85,73.95,72.77,73.67,1863423,73.67
2012-07-27,73.95,74.8,73.81,74.52,2672198,74.52
2012-07-30,74.55,75.24,74.5,74.98,1720865,74.98
2012-07-31,74.88,74.97,74.43,74.43,2193037,74.43
2012-08-01,74.73,74.79,73.44,73.62,1923177,73.62
2012-08-02,73.06,74.16,73,74.05,2008684,74.05
2012-08-03,74.68,74.96,74.25,74.55,2631370,74.55
2012-08-06,74.84,74.91,74.28,74.28,1630992,74.28
