DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,114.47,115.77,112.33,113.97,474313,113.97
2012-01-04,113.65,113.99,112,112.01,598326,112.01
2012-01-05,111.44,111.44,109.39,110.84,763142,110.84
2012-01-06,110.9,111.19,106.72,106.94,767946,106.94
2012-01-09,107.38,107.99,105.88,106.64,562348,106.64
2012-01-10,109.16,109.3,106.84,107.53,491465,107.53
2012-01-11,107,112.16,106.98,111.89,662621,111.89
2012-01-12,106.76,110.93,104.63,109.8,1537845,109.8
2012-01-13,108.32,110.3,107.34,107.85,622214,107.85
2012-01-17,110.75,113.68,110.39,111.89,742222,111.89
2012-01-18,112.27,117.2,112.02,116.81,736583,116.81
2012-01-19,118.63,119.08,116.02,117.35,550679,117.35
2012-01-20,117.27,117.72,115.21,115.47,490753,115.47
2012-01-23,115.79,119.57,115.75,117.27,580873,117.27
2012-01-24,116.78,119.28,115.78,118.49,621933,118.49
2012-01-25,118.54,121.13,117.48,120.42,685707,120.42
2012-01-26,121.49,123.26,118.35,119.15,699918,119.15
2012-01-27,119,120,118.16,119.07,501812,119.07
2012-01-30,116.35,116.57,112.19,115.41,840003,115.41
2012-01-31,117.1,117.51,114.89,115.23,524388,115.23
2012-02-01,117.34,118.84,115.83,117.75,931234,117.75
2012-02-02,118.53,120.81,117.14,120.78,1139422,120.78
2012-02-03,117.01,117.21,114.4,114.98,2100545,114.98
2012-02-06,114.44,114.87,112.06,112.83,832776,112.83
2012-02-07,112.5,114.43,112.5,112.67,494998,112.67
2012-02-08,113.26,114.65,112.73,114.64,527593,114.64
2012-02-09,115.09,115.26,113.23,113.59,557492,113.59
2012-02-10,112.5,114.21,112.04,113.16,421641,113.16
2012-02-13,113.22,113.25,110.05,110.56,1065446,110.56
2012-02-14,109.8,111.84,109.18,111.16,601975,111.16
2012-02-15,111.48,112.7,111.07,111.41,634466,111.41
2012-02-16,111.58,112.89,110.64,112.67,420319,112.67
2012-02-17,114.23,114.84,112.45,112.69,667816,112.69
2012-02-21,118.6,121.57,118,119.4,2652186,119.4
2012-02-22,118.51,120.13,117.19,117.74,760499,117.74
2012-02-23,117.68,118.08,115.8,116.34,461722,116.34
2012-02-24,116.94,119.47,116.93,118.1,630559,118.1
2012-02-27,117.41,117.6,116.34,116.52,511603,116.52
2012-02-28,116.22,117.16,115.09,115.09,1098239,115.09
2012-02-29,116.5,119.82,116.05,118.54,1082045,118.54
2012-03-01,120,123.35,119.64,122.06,940131,122.06
2012-03-02,123.93,132.59,123.21,127.27,3406817,127.27
2012-03-05,126.55,127.93,122.33,122.75,788469,122.75
2012-03-06,119.97,120.68,118.64,119.38,653557,119.38
2012-03-07,121.26,123.27,121.21,122.27,628751,122.27
2012-03-08,123.81,124.25,122.51,123.39,581707,123.39
2012-03-09,123.28,123.96,120.29,120.79,566206,120.79
2012-03-12,121.11,122.57,120.09,121.07,541200,121.07
2012-03-13,124.39,126.23,124.13,125.33,670029,125.33
2012-03-14,125.74,126.5,125.23,126.08,441685,126.08
2012-03-15,125.63,128.83,125.4,128,646520,128
2012-03-16,128.2,128.99,126.33,126.96,715350,126.96
2012-03-19,126.58,130.68,126.58,129.29,593107,129.29
2012-03-20,128,128.63,126.07,128.01,353737,128.01
2012-03-21,128.21,129.95,127.75,128.87,431958,128.87
2012-03-22,128,129.84,126,126.81,380433,126.81
2012-03-23,127.19,127.32,125.85,126.57,390855,126.57
2012-03-26,127.68,131.2,127.65,130,697194,130
2012-03-27,129.79,130.33,128.66,128.81,600831,128.81
2012-03-28,128.9,129,124.39,126.25,560016,126.25
2012-03-29,124.97,125.42,122.88,124.93,448082,124.93
2012-03-30,126.03,126.5,123.81,124.88,408454,124.88
2012-04-02,124.73,127.68,124.48,125.48,397993,125.48
2012-04-03,125.03,127.09,125.03,125.68,316073,125.68
2012-04-04,124.3,125.11,123.42,123.76,357440,123.76
2012-04-05,123.45,126.36,123.45,125.94,304493,125.94
2012-04-09,123.38,125,122.88,124.22,484011,124.22
2012-04-10,124.56,125.95,120.75,122.1,656935,122.1
2012-04-11,123.69,126.3,123.62,124.275,602883,124.275
2012-04-12,124.92,127.86,124.66,126.28,701631,126.28
2012-04-13,125.39,126.72,124.19,125.48,329636,125.48
2012-04-16,125.44,125.65,123.19,123.37,452160,123.37
2012-04-17,124.46,125.55,123.41,124.77,590445,124.77
2012-04-18,128.74,132.47,128.64,130.28,950065,130.28
2012-04-19,130.75,131.85,129.07,129.55,483693,129.55
2012-04-20,130.52,130.77,128.87,128.99,511330,128.99
2012-04-23,127.38,127.38,124.73,125.25,540726,125.25
2012-04-24,124.91,125.91,124.2,124.71,375632,124.71
2012-04-25,127.65,129.18,125.84,128.9,782282,128.9
2012-04-26,130.09,134.29,127.9,134.13,1050332,134.13
2012-04-27,134.48,136.61,133.87,135.04,650657,135.04
2012-04-30,134.56,135.33,130.58,133.4,613481,133.4
2012-05-01,132.8,135.85,132.57,134.71,552457,134.71
2012-05-02,138,138.28,133.52,133.65,937477,133.65
2012-05-03,133.79,134.26,129.92,130.55,546590,130.55
2012-05-04,128.67,129.46,126.94,127.4,685482,127.4
2012-05-07,126.18,127.54,124.76,125.19,745860,125.19
2012-05-08,123.24,123.24,116.4,119.23,1219614,119.23
2012-05-09,116.94,117.74,113.95,115.37,975149,115.37
2012-05-10,117.02,117.18,113.21,113.25,780112,113.25
2012-05-11,112.51,115.38,111.64,112.9,703375,112.9
2012-05-14,111.01,111.05,107.95,108.09,904286,108.09
2012-05-15,108.19,109.28,106.19,106.45,720140,106.45
2012-05-16,107.14,108.35,104.83,105.06,673703,105.06
2012-05-17,104.85,105.91,101.28,101.54,778242,101.54
2012-05-18,102.03,106.62,101.4,101.81,945506,101.81
2012-05-21,102.43,104.33,98.26,104.17,953949,104.17
2012-05-22,103.89,105.22,101.75,103.15,615488,103.15
2012-05-23,102.22,104.11,101.02,103.66,624656,103.66
2012-05-24,104.66,105.46,102.11,103.23,487418,103.23
2012-05-25,103.05,104.38,101.51,102.04,469726,102.04
2012-05-29,103.56,105.78,103.26,104.61,414245,104.61
2012-05-30,106,106,103.08,104.55,760294,104.55
2012-05-31,104.09,104.33,100.18,103.04,811501,103.04
2012-06-01,99.79,100.56,96.54,97.38,1134225,97.38
2012-06-04,97.15,98.7,95.82,98.17,748567,98.17
2012-06-05,97.38,101.3,97,100.99,934857,100.99
2012-06-06,102.32,104.66,102.275,103.91,637582,103.91
2012-06-07,105.75,106.98,102.32,102.64,549476,102.64
2012-06-08,101.95,104.38,101.02,104.21,366929,104.21
2012-06-11,105.16,105.65,99.4,99.53,1050939,99.53
2012-06-12,101.28,101.7,99.45,101.47,918203,101.47
2012-06-13,100.72,102.27,99.96,100.2,465547,100.2
2012-06-14,98.9,101.12,98.3,100.49,599324,100.49
2012-06-15,99.99,100.56,99.12,99.53,686359,99.53
2012-06-18,98.9,100.99,98.05,100.33,617452,100.33
2012-06-19,100.98,105.08,100.94,104.52,639832,104.52
2012-06-20,105.36,105.36,103,104.89,472342,104.89
2012-06-21,105.16,107.54,101.95,102.06,813678,102.06
2012-06-22,102.63,104.13,101.89,103.32,869284,103.32
2012-06-25,101.31,102.64,101.05,102.06,556585,102.06
2012-06-26,101.69,102.93,100.5,102.04,688042,102.04
2012-06-27,102.78,103.63,101.96,102.4,498523,102.4
2012-06-28,101.7,103.22,100.42,102.01,472004,102.01
2012-06-29,104.3,105,102.94,103.72,568993,103.72
2012-07-02,102.6,104.56,101.6,102.15,626725,102.15
2012-07-03,101.98,102.69,100.67,101.55,360687,101.55
2012-07-05,100.98,102.3,98.46,101.82,823988,101.82
2012-07-06,100.88,101,99.08,100.69,703001,100.69
2012-07-09,99.89,101.16,99.25,100.01,606302,100.01
2012-07-10,100.6,101.64,99.47,100.23,802757,100.23
2012-07-11,99.95,102.98,99.43,100.64,740666,100.64
2012-07-12,99.55,100.26,96.49,96.75,928935,96.75
2012-07-13,96.83,96.93,95.11,96.22,710623,96.22
2012-07-16,96.03,97.69,95.35,96.44,574650,96.44
2012-07-17,97.45,98.26,95.6,97.36,678066,97.36
2012-07-18,96.25,100.93,94.53,96.29,1542999,96.29
2012-07-19,96.54,100.13,95.89,99.66,673143,99.66
2012-07-20,98.58,99.94,97.26,97.31,714921,97.31
