DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,27.87,27.93,27.22,27.34,1091639,27.34
2012-01-04,27.34,27.48,27.16,27.16,696451,27.16
2012-01-05,27.13,27.35,26.97,27.28,729314,27.28
2012-01-06,27.23,27.27,27.1,27.2,627023,27.2
2012-01-09,27.17,27.26,27.04,27.22,489797,27.22
2012-01-10,27.42,27.59,27.35,27.44,861136,27.44
2012-01-11,27.37,27.48,27.08,27.09,988720,27.09
2012-01-12,27.18,27.18,26.65,26.69,1257337,26.69
2012-01-13,26.39,26.76,26.37,26.75,1167526,26.75
2012-01-17,26.9,27.08,26.58,26.7,942068,26.7
2012-01-18,26.74,26.85,26.6,26.82,800402,26.82
2012-01-19,26.8,26.8,26.55,26.59,658212,26.59
2012-01-20,26.65,26.71,26.53,26.6,1200342,26.6
2012-01-23,26.6,26.76,26.53,26.6,607811,26.6
2012-01-24,26.5,26.52,26.4,26.52,526186,26.52
2012-01-25,26.35,27.12,26.29,27.08,1217986,27.08
2012-01-26,27.27,27.59,27.23,27.41,1458835,27.41
2012-01-27,27.35,27.35,26.97,26.98,1023103,26.98
2012-01-30,26.88,26.92,26.45,26.55,1129630,26.55
2012-01-31,26.68,26.8,26.46,26.6,1320679,26.6
2012-02-01,26.74,26.81,26.56,26.6,852006,26.6
2012-02-02,26.55,26.77,26.17,26.35,1259571,26.35
2012-02-03,26.63,26.63,26.33,26.52,747482,26.52
2012-02-06,26.45,26.52,26.33,26.41,567382,26.41
2012-02-07,26.32,26.64,26.13,26.56,669491,26.56
2012-02-08,26.62,26.64,26.43,26.58,710727,26.58
2012-02-09,26.64,26.64,26.38,26.57,451606,26.57
2012-02-10,26.45,26.53,26.32,26.5,556884,26.5
2012-02-13,26.56,26.63,26.44,26.44,537931,26.44
2012-02-14,26.42,26.47,26.13,26.4,656278,26.4
2012-02-15,26.39,26.43,26.14,26.22,894633,26.22
2012-02-16,26.28,26.59,26.25,26.35,709929,26.35
2012-02-17,26.48,26.49,26.28,26.36,1096827,26.36
2012-02-21,26.45,26.52,26.33,26.43,598385,26.43
2012-02-22,26.46,26.62,26.37,26.48,630205,26.48
2012-02-23,26.48,26.61,26.31,26.48,504692,26.48
2012-02-24,26.48,26.61,26.36,26.48,546585,26.48
2012-02-27,26.38,26.6,26.38,26.53,641828,26.53
2012-02-28,26.57,26.64,26.25,26.41,661294,26.41
2012-02-29,26.48,26.57,26.28,26.49,988311,26.49
2012-03-01,26.48,26.58,26.27,26.39,682393,26.39
2012-03-02,26.35,26.43,26.18,26.32,614974,26.32
2012-03-05,26.23,26.5,26.09,26.44,663567,26.44
2012-03-06,26.34,26.36,26.1,26.25,892624,26.25
2012-03-07,26.24,26.36,26.09,26.35,611367,26.35
2012-03-08,26.47,26.56,26.37,26.51,352993,26.51
2012-03-09,26.55,26.74,26.43,26.69,614222,26.69
2012-03-12,26.75,27.17,26.68,27.04,1153172,27.04
2012-03-13,27.04,27.17,26.95,27.13,650005,27.13
