DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,20.29,20.41,20.1,20.18,912583,20.18
2012-01-04,20.04,20.1,19.71,19.72,803754,19.72
2012-01-05,19.59,19.82,19.25,19.8,822447,19.8
2012-01-06,19.84,20.13,19.66,19.93,619967,19.93
2012-01-09,19.46,19.82,19.41,19.79,883899,19.79
2012-01-10,20.09,20.34,20.03,20.29,719528,20.29
2012-01-11,20.11,20.25,20.06,20.24,497853,20.24
2012-01-12,20.31,20.58,20.18,20.57,849206,20.57
2012-01-13,20.24,20.44,20,20.26,790142,20.26
2012-01-17,20.04,20.53,20.02,20.12,830241,20.12
2012-01-18,20.03,20.1,19.9,20.06,864189,20.06
2012-01-19,20.2,20.3,19.87,19.91,960428,19.91
2012-01-20,19.88,20.53,19.87,20.39,1564471,20.39
2012-01-23,20.42,20.73,20.3,20.5,568484,20.5
2012-01-24,20.31,20.51,20.16,20.42,505113,20.42
2012-01-25,20.3,20.76,20.3,20.73,743212,20.73
2012-01-26,20.78,20.8,20.54,20.66,593484,20.66
2012-01-27,20.49,20.57,20.07,20.3,1156881,20.3
2012-01-30,20.07,20.12,19.85,20.03,605930,20.03
2012-01-31,20.18,20.36,20.01,20.27,788111,20.27
2012-02-01,20.49,21.06,20.48,20.91,884649,20.91
2012-02-02,21.02,21.2,20.89,21.1,631009,21.1
2012-02-03,21.34,21.4,20.93,21.02,1067902,21.02
2012-02-06,20.87,21.11,20.79,20.98,349180,20.98
2012-02-07,20.8,21.29,20.7,21.23,571984,21.23
2012-02-08,21.2,21.42,20.96,20.97,781570,20.97
2012-02-09,20.99,21.24,20.69,21.01,918953,21.01
2012-02-10,19.71,19.82,19.15,19.27,3358863,19.27
2012-02-13,19.47,19.47,18.87,19.06,3277823,19.06
2012-02-14,18.9,19.34,18.86,19.31,1106356,19.31
2012-02-15,19.32,19.51,19.18,19.51,1340931,19.51
2012-02-16,19.53,20.08,19.46,19.96,1124064,19.96
2012-02-17,20.07,20.1,19.78,19.94,987890,19.94
2012-02-21,20.09,20.27,20.03,20.26,861048,20.26
2012-02-22,20.3,20.3,20.02,20.05,1625815,20.05
2012-02-23,20,20.51,19.97,20.22,892074,20.22
2012-02-24,20.21,20.44,20.04,20.08,684165,20.08
2012-02-27,19.96,20.54,19.91,20.32,757926,20.32
2012-02-28,20.45,20.64,20.23,20.61,872783,20.61
2012-02-29,20.7,20.9,20.64,20.8,1973419,20.8
2012-03-01,20.85,21.09,20.81,20.97,1028832,20.97
2012-03-02,20.92,21.06,20.9,21.02,752584,21.02
2012-03-05,20.91,21.06,20.82,20.86,822426,20.86
2012-03-06,20.6,20.64,20.17,20.22,891201,20.22
2012-03-07,20.28,20.61,20.19,20.6,882327,20.6
2012-03-08,20.7,21.04,20.64,21,1362344,21
2012-03-09,21.27,21.47,21.16,21.22,984801,21.22
2012-03-12,21.21,21.4,21.16,21.25,436893,21.25
2012-03-13,21.28,21.77,21.18,21.76,1369651,21.76
2012-03-14,21.9,22.02,21.69,21.76,939307,21.76
2012-03-15,21.79,21.9,21.67,21.88,558897,21.88
2012-03-16,21.94,22.01,21.75,21.87,1706284,21.87
2012-03-19,21.91,21.92,21.53,21.57,1042851,21.57
2012-03-20,21.44,21.76,21.38,21.52,875416,21.52
2012-03-21,21.57,21.58,21.18,21.18,1124600,21.18
2012-03-22,21,21.04,20.76,20.82,1038507,20.82
2012-03-23,20.85,21.19,20.78,21.13,683274,21.13
2012-03-26,21.4,21.67,21.3,21.67,969317,21.67
2012-03-27,21.65,21.66,21.3,21.31,453536,21.31
2012-03-28,21.33,21.48,21.14,21.46,613481,21.46
2012-03-29,21.25,21.46,21.19,21.4,360960,21.4
2012-03-30,21.62,21.81,21.47,21.69,1141470,21.69
2012-04-02,21.55,21.99,21.5,21.91,723866,21.91
2012-04-03,21.83,21.84,21.36,21.54,843521,21.54
2012-04-04,21.28,21.49,21.18,21.34,964608,21.34
2012-04-05,21.24,21.67,21.24,21.66,657522,21.66
2012-04-09,21.29,21.37,21.21,21.31,373433,21.31
2012-04-10,21.25,21.27,20.86,20.99,994265,20.99
2012-04-11,21.23,21.23,21.05,21.18,711011,21.18
2012-04-12,21.23,21.48,21.16,21.47,509516,21.47
2012-04-13,21.43,21.43,20.81,20.81,737307,20.81
2012-04-16,20.99,21.25,20.83,21.22,559651,21.22
2012-04-17,21.35,21.4,21.05,21.08,648047,21.08
2012-04-18,20.99,20.99,20.78,20.89,398814,20.89
2012-04-19,20.98,21.45,20.94,21.37,702091,21.37
2012-04-20,21.45,21.59,21.28,21.38,987839,21.38
2012-04-23,21.05,21.23,20.92,21.03,690997,21.03
2012-04-24,21.05,21.29,21.05,21.26,383099,21.26
2012-04-25,21.42,21.68,21.25,21.64,619196,21.64
2012-04-26,21.57,22.06,21.46,22.06,905444,22.06
2012-04-27,22.11,22.11,21.51,21.72,564625,21.72
2012-04-30,21.64,21.82,21.48,21.51,491073,21.51
2012-05-01,21.52,22.01,21.51,21.79,416014,21.79
2012-05-02,21.64,21.69,21.42,21.6,445162,21.6
2012-05-03,21.65,21.79,21.34,21.34,596605,21.34
2012-05-04,21.21,21.29,20.99,21.14,696565,21.14
2012-05-07,21.08,21.3,20.96,21.22,478254,21.22
2012-05-08,21.03,21.49,21.02,21.33,1165868,21.33
2012-05-09,21.53,22.63,21.51,22.25,1785833,22.25
2012-05-10,22.58,22.58,22.04,22.09,951247,22.09
2012-05-11,21.87,22.53,21.76,22.12,1534602,22.12
2012-05-14,21.89,22.02,21.71,21.77,759274,21.77
2012-05-15,21.75,21.96,21.57,21.63,524754,21.63
2012-05-16,21.71,21.9,21.25,21.25,705988,21.25
2012-05-17,21.23,21.23,20.61,20.61,1033410,20.61
2012-05-18,20.7,20.71,20.3,20.35,1145037,20.35
2012-05-21,20.09,20.44,20.09,20.33,1221653,20.33
2012-05-22,20.41,20.58,20.17,20.36,970395,20.36
2012-05-23,20.22,20.5,19.92,20.44,660918,20.44
2012-05-24,20.56,20.59,20.22,20.44,506108,20.44
2012-05-25,20.44,20.51,20.15,20.25,626360,20.25
2012-05-29,20.47,20.68,20.4,20.57,894247,20.57
2012-05-30,20.34,20.44,19.99,20.04,639083,20.04
2012-05-31,20.09,20.53,19.86,20.42,1086899,20.42
2012-06-01,20.05,20.09,19.67,19.7,1002168,19.7
2012-06-04,19.8,19.92,19.56,19.6,838903,19.6
2012-06-05,19.52,19.8,19.52,19.76,537193,19.76
2012-06-06,19.96,20.43,19.9,20.43,660957,20.43
2012-06-07,20.65,20.76,20.32,20.36,670081,20.36
2012-06-08,20.26,20.41,20.11,20.39,652795,20.39
2012-06-11,20.58,20.6,20.04,20.05,593100,20.05
2012-06-12,20.06,20.39,19.99,20.29,767524,20.29
2012-06-13,20.12,20.29,20,20.12,611919,20.12
2012-06-14,20.1,20.4,20.06,20.27,728924,20.27
2012-06-15,20.38,20.45,20.12,20.35,1124242,20.35
2012-06-18,20.21,20.36,19.98,20.07,696822,20.07
2012-06-19,20.19,20.55,20.08,20.28,936121,20.28
2012-06-20,20.4,20.55,20.16,20.48,528147,20.48
2012-06-21,20.56,20.6,19.97,20.03,718624,20.03
2012-06-22,20.18,20.26,19.98,20.11,530508,20.11
2012-06-25,19.84,19.84,19.55,19.71,641621,19.71
2012-06-26,19.79,19.98,19.7,19.82,409522,19.82
2012-06-27,19.91,20.33,19.82,20.3,496709,20.3
2012-06-28,20.12,20.5,20.06,20.49,784396,20.49
2012-06-29,20.89,21.11,20.76,21.04,870202,21.04
2012-07-02,21.2,21.26,20.94,21.08,723514,21.08
2012-07-03,21.02,21.39,21.01,21.17,422331,21.17
2012-07-05,21.08,21.1,20.92,20.95,463120,20.95
2012-07-06,20.65,20.88,20.62,20.83,555803,20.83
2012-07-09,20.76,20.82,20.46,20.59,415116,20.59
2012-07-10,20.63,20.81,20.4,20.49,503416,20.49
2012-07-11,20.43,20.79,20.43,20.59,782338,20.59
2012-07-12,20.47,20.47,20.18,20.29,568356,20.29
2012-07-13,20.29,20.61,20.29,20.45,550702,20.45
2012-07-16,20.45,20.61,20.39,20.44,644771,20.44
2012-07-17,20.49,20.75,20.42,20.72,738532,20.72
2012-07-18,20.64,21.14,20.63,20.88,855296,20.88
2012-07-19,20.88,20.94,20.61,20.84,617267,20.84
2012-07-20,20.69,20.69,20.36,20.41,578879,20.41
2012-07-23,20.04,20.54,19.93,20.47,572596,20.47
2012-07-24,20.45,20.47,19.98,20.28,778643,20.28
2012-07-25,20.47,20.75,20.37,20.56,632361,20.56
2012-07-26,20.94,21.09,20.42,20.56,881240,20.56
2012-07-27,20.78,21,20.53,20.88,1073690,20.88
2012-07-30,20.82,21.07,20.74,20.98,483260,20.98
