DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,16.27,16.385,16.21,16.31,3574361,16.31
2012-01-04,16.12,16.16,15.74,15.78,8224838,15.78
2012-01-05,15.58,15.685,15.44,15.64,4398191,15.64
2012-01-06,15.64,15.66,15.465,15.52,3296846,15.52
2012-01-09,15.59,15.6,15.36,15.47,3272338,15.47
2012-01-10,15.55,15.7,15.51,15.51,3254317,15.51
2012-01-11,15.59,15.62,15.46,15.53,2163080,15.53
2012-01-12,15.58,15.73,15.46,15.66,2977912,15.66
2012-01-13,15.65,15.66,15.43,15.48,3497749,15.48
2012-01-17,15.63,15.66,15.39,15.43,4809127,15.43
2012-01-18,15.93,16,15.69,15.92,8193773,15.92
2012-01-19,15.9,16.15,15.89,16.12,5601675,16.12
2012-01-20,16.11,16.11,15.85,15.96,6737434,15.96
2012-01-23,15.85,15.93,15.64,15.68,4674632,15.68
2012-01-24,15.57,15.75,15.56,15.69,4034985,15.69
2012-01-25,15.52,15.7,15.46,15.56,5671891,15.56
2012-01-26,15.63,15.68,15.42,15.53,3573388,15.53
2012-01-27,15.5,15.795,15.46,15.74,2755533,15.74
2012-01-30,15.61,15.64,15.5,15.55,3379336,15.55
2012-01-31,15.54,15.62,15.41,15.47,2732334,15.47
2012-02-01,15.56,15.8,15.53,15.72,2910781,15.72
2012-02-02,15.76,15.815,15.7,15.72,2140134,15.72
2012-02-03,15.96,15.975,15.84,15.92,2879455,15.92
2012-02-06,15.94,15.94,15.765,15.82,3878170,15.82
2012-02-07,15.84,15.89,15.735,15.83,3337959,15.83
2012-02-08,15.95,15.97,15.72,15.78,3129481,15.78
2012-02-09,16.08,16.1,15.91,16,4045065,16
2012-02-10,16,16.3,16,16.13,5798334,16.13
2012-02-13,16.13,16.23,16.05,16.12,2689791,16.12
2012-02-14,16.07,16.095,14.92,15.365,22240382,15.365
2012-02-15,15.23,15.3,15.08,15.12,5258999,15.12
2012-02-16,15.25,15.38,15.1,15.37,3154554,15.37
2012-02-17,15.4,15.42,15,15.01,6972882,15.01
2012-02-21,15.02,15.07,14.75,14.75,7047330,14.75
2012-02-22,14.68,14.73,14.435,14.5,6704446,14.5
2012-02-23,14.55,14.81,14.37,14.78,3682915,14.78
2012-02-24,14.87,14.965,14.83,14.89,2504515,14.89
2012-02-27,14.78,14.91,14.72,14.86,3829881,14.86
2012-02-28,14.91,14.98,14.76,14.9,5989798,14.9
2012-02-29,14.89,14.93,14.775,14.83,3976181,14.83
2012-03-01,14.89,14.96,14.79,14.93,3176104,14.93
2012-03-02,14.87,14.92,14.66,14.72,2148511,14.72
2012-03-05,14.66,14.95,14.52,14.62,3230128,14.62
2012-03-06,14.62,14.69,14.35,14.42,3599619,14.42
2012-03-07,14.48,14.71,14.44,14.62,3140010,14.62
2012-03-08,14.7,14.76,14.52,14.6,3089664,14.6
2012-03-09,14.63,14.7,14.61,14.63,2577565,14.63
2012-03-12,14.66,14.75,14.48,14.49,3737463,14.49
2012-03-13,14.54,14.61,14.39,14.55,5375455,14.55
2012-03-14,14.59,14.64,14.42,14.625,4834781,14.625
2012-03-15,14.64,14.97,14.57,14.885,4613402,14.885
2012-03-16,14.95,15.18,14.92,15.18,9440183,15.18
2012-03-19,15.08,15.22,14.925,15.15,3787610,15.15
2012-03-20,15.03,15.61,14.92,15.41,6368217,15.41
2012-03-21,15.42,15.61,15.17,15.51,5160339,15.51
2012-03-22,15.48,15.56,15.38,15.49,2612762,15.49
2012-03-23,15.52,15.59,15.31,15.37,2485480,15.37
2012-03-26,15.46,15.56,15.36,15.54,2837863,15.54
2012-03-27,15.52,15.55,15.42,15.43,3873797,15.43
2012-03-28,15.45,15.48,15.14,15.32,6458064,15.32
2012-03-29,15.19,15.34,15.11,15.3,2507753,15.3
2012-03-30,15.37,15.42,15.18,15.22,6031298,15.22
2012-04-02,15.19,15.51,15.11,15.46,4281620,15.46
2012-04-03,15.37,15.42,15.06,15.18,4303766,15.18
2012-04-04,15.15,15.34,15,15.27,5717478,15.27
2012-04-05,15.14,15.25,15,15.065,3062504,15.065
2012-04-09,15,15.25,14.96,15.1,3015392,15.1
2012-04-10,15.11,15.175,14.91,14.99,4512230,14.99
2012-04-11,15.08,15.08,14.84,14.87,3565131,14.87
2012-04-12,14.9,15.1,14.85,15.05,2489340,15.05
2012-04-13,14.98,15.17,14.86,14.87,4185336,14.87
2012-04-16,15,15.03,14.73,14.78,4388109,14.78
2012-04-17,14.82,15.17,14.82,15.01,6005688,15.01
2012-04-18,15.4,15.57,15.31,15.49,9227446,15.49
2012-04-19,15.47,15.57,15.36,15.39,4922050,15.39
2012-04-20,15.43,15.7,15.4,15.6,5837347,15.6
2012-04-23,15.41,15.46,15.29,15.33,6440135,15.33
2012-04-24,15.33,15.515,15.33,15.43,3348337,15.43
2012-04-25,15.43,15.51,15.38,15.5,5285846,15.5
2012-04-26,15.44,15.55,15.38,15.53,3029553,15.53
2012-04-27,15.51,15.61,15.49,15.57,1939843,15.57
2012-04-30,15.55,15.57,15.45,15.54,3969293,15.54
2012-05-01,15.51,15.72,15.5,15.63,1946287,15.63
2012-05-02,15.58,15.76,15.54,15.67,2598195,15.67
2012-05-03,15.62,15.64,15.33,15.4,2775563,15.4
2012-05-04,15.25,15.28,15.09,15.15,3162162,15.15
2012-05-07,15.34,15.49,15.17,15.35,4811060,15.35
2012-05-08,15.31,15.44,15.1,15.36,3788766,15.36
2012-05-09,15.17,15.445,15.04,15.3,5033312,15.3
2012-05-10,15.38,15.54,15.31,15.44,2524736,15.44
2012-05-11,14.9,15.435,14.8,15.19,4587507,15.19
2012-05-14,15.47,15.765,15.4,15.5,8258357,15.5
2012-05-15,15.47,15.54,15.35,15.4,3632119,15.4
2012-05-16,15.4,15.57,15.26,15.28,5672593,15.28
2012-05-17,15.26,15.36,14.85,14.87,4406886,14.87
2012-05-18,15.78,15.87,15.365,15.42,9044003,15.42
2012-05-21,15.98,16,15.1,15.58,13563754,15.58
2012-05-22,15.58,15.61,15.19,15.29,6551885,15.29
2012-05-23,15.15,15.425,15.145,15.38,3912536,15.38
2012-05-24,15.36,15.5,15.22,15.35,3914794,15.35
2012-05-25,15.4,15.48,15.3,15.36,5277959,15.36
2012-05-29,15.4,15.55,15.28,15.47,8747074,15.47
2012-05-30,15.3,15.34,15.16,15.25,4011739,15.25
2012-05-31,15.23,15.37,15.12,15.24,7058560,15.24
2012-06-01,15.04,15.12,14.85,14.92,3692432,14.92
2012-06-04,14.9,15.02,14.81,15.01,3584951,15.01
2012-06-05,14.99,15.14,14.92,15.1,3381071,15.1
2012-06-06,15.14,15.4,15.14,15.38,5241760,15.38
2012-06-07,15.47,15.5,15.34,15.36,3456070,15.36
2012-06-08,15.53,15.68,15.41,15.65,4469111,15.65
2012-06-11,15.73,15.73,15.27,15.3,4989127,15.3
2012-06-12,15.33,15.52,15.27,15.47,4733182,15.47
2012-06-13,15.47,15.49,15.27,15.35,4294222,15.35
2012-06-14,15.3,15.46,15.25,15.36,3097602,15.36
2012-06-15,15.44,15.44,15.33,15.36,4669950,15.36
2012-06-18,15.33,15.54,15.27,15.49,2281136,15.49
2012-06-19,15.52,15.68,15.51,15.65,2561216,15.65
2012-06-20,15.69,15.745,15.58,15.74,2533256,15.74
2012-06-21,15.74,15.8,15.475,15.49,3519001,15.49
2012-06-22,15.53,15.7,15.52,15.61,2722686,15.61
2012-06-25,15.51,15.55,15.31,15.41,4454217,15.41
2012-06-26,15.4,15.42,15.19,15.34,3330858,15.34
2012-06-27,15.41,15.625,15.39,15.52,2347631,15.52
2012-06-28,15.41,15.48,15.29,15.45,3565541,15.45
2012-06-29,15.61,15.83,15.53,15.83,3720265,15.83
2012-07-02,15.8,15.94,15.76,15.83,1815804,15.83
2012-07-03,15.83,15.985,15.82,15.98,1541457,15.98
2012-07-05,15.9,15.985,15.81,15.85,3429085,15.85
2012-07-06,15.8,15.91,15.69,15.78,2894898,15.78
2012-07-09,15.78,15.84,15.705,15.75,2743858,15.75
2012-07-10,15.83,15.97,15.71,15.82,4306911,15.82
2012-07-11,15.82,15.94,15.68,15.8,3816751,15.8
2012-07-12,15.63,15.81,15.54,15.69,4546842,15.69
2012-07-13,15.7,15.81,15.69,15.74,3327508,15.74
2012-07-16,15.69,15.8,15.6,15.67,4035015,15.67
2012-07-17,15.85,15.89,15.42,15.6,7853172,15.6
2012-07-18,15.63,15.745,15.52,15.7,4639400,15.7
2012-07-19,15.7,15.85,15.64,15.75,5054022,15.75
2012-07-20,15.78,15.94,15.68,15.9,5130958,15.9
2012-07-23,15.7,15.81,15.59,15.76,4197694,15.76
2012-07-24,15.74,15.75,15.235,15.42,5332081,15.42
2012-07-25,15.52,15.63,15.4,15.5,5821561,15.5
2012-07-26,15.69,15.88,15.62,15.79,3060998,15.79
2012-07-27,15.88,16.17,15.84,16.13,3621609,16.13
2012-07-30,16.15,16.15,15.905,15.98,2752051,15.98
2012-07-31,16,16.06,15.815,15.84,4128523,15.84
2012-08-01,15.86,16.07,15.83,15.99,3236372,15.99
2012-08-02,15.86,15.99,15.64,15.745,2919195,15.745
2012-08-03,15.93,16.02,15.82,15.97,2164409,15.97
2012-08-06,16,16.07,15.95,16.04,2242921,16.04
2012-08-07,16.09,16.36,16.07,16.22,3956468,16.22
2012-08-08,16.15,16.315,16.1,16.17,1471938,16.17
2012-08-09,16.13,16.16,15.985,16.01,2189133,16.01
2012-08-10,15.25,15.34,15.01,15.15,13744300,15.15
2012-08-13,15.02,15.205,15,15.02,4656023,15.02
2012-08-14,15.04,15.05,14.69,14.73,5501040,14.73
2012-08-15,14.76,14.85,14.655,14.76,4132797,14.76
2012-08-16,14.81,15.01,14.75,14.99,3714994,14.99
2012-08-17,15.02,15.07,14.85,15.03,4592466,15.03
2012-08-20,15.05,15.05,14.88,14.96,3328878,14.96
2012-08-21,14.95,15.01,14.88,14.97,4098900,14.97
2012-08-22,14.95,14.99,14.86,14.92,2528674,14.92
2012-08-23,14.9,14.97,14.825,14.86,2800958,14.86
2012-08-24,14.82,14.94,14.765,14.92,2161229,14.92
2012-08-27,14.92,14.93,14.77,14.85,2769298,14.85
2012-08-28,14.84,14.87,14.69,14.72,2849485,14.72
2012-08-29,14.73,14.935,14.7,14.84,3388103,14.84
2012-08-30,14.81,14.83,14.64,14.67,2837446,14.67
2012-08-31,14.78,14.82,14.59,14.65,2826420,14.65
2012-09-04,14.63,14.975,14.59,14.89,3530577,14.89
2012-09-05,14.86,15.135,14.85,15.09,3881789,15.09
2012-09-06,15.13,15.14,14.965,15.13,3725986,15.13
2012-09-07,15.13,15.29,15.11,15.22,3060982,15.22
2012-09-10,15.19,15.28,15.11,15.11,2610884,15.11
2012-09-11,15.09,15.245,15.065,15.16,1736765,15.16
2012-09-12,15.28,15.545,15.28,15.4,5850054,15.4
2012-09-13,15.39,15.685,15.37,15.6,3645833,15.6
2012-09-14,15.71,15.83,15.63,15.77,3805194,15.77
2012-09-17,15.81,15.84,15.63,15.68,4254428,15.68
2012-09-18,15.65,16.16,15.61,15.9,10553587,15.9
2012-09-19,15.96,16.13,15.85,15.86,9101734,15.86
2012-09-20,15.76,15.86,15.66,15.79,3992523,15.79
2012-09-21,15.72,15.81,15.66,15.76,21301159,15.76
2012-09-24,15.69,16.04,15.61,15.99,3863524,15.99
2012-09-25,16.09,16.09,15.67,15.67,7032333,15.67
2012-09-26,15.71,15.81,15.55,15.61,3120300,15.61
2012-09-27,15.9,16.2,15.8,16.04,5714319,16.04
2012-09-28,16.01,16.08,15.93,15.975,7248250,15.975
2012-10-01,16,16.08,15.77,15.83,4426359,15.83
2012-10-02,16.02,16.04,15.88,15.94,2979204,15.94
2012-10-03,16,16.24,15.99,16.21,4327849,16.21
2012-10-04,16.22,16.345,16.15,16.26,3640011,16.26
2012-10-05,16.27,16.38,16.09,16.09,2332305,16.09
2012-10-08,16.02,16.16,16,16.03,3335764,16.03
2012-10-09,16.03,16.05,15.81,15.85,3011782,15.85
2012-10-10,15.83,15.985,15.8,15.83,4432620,15.83
2012-10-11,15.94,16.015,15.85,15.92,3363598,15.92
2012-10-12,15.9,16.015,15.86,15.88,2784064,15.88
2012-10-15,15.87,15.87,15.66,15.68,4418971,15.68
2012-10-16,15.84,15.98,15.76,15.94,3792609,15.94
2012-10-17,15.85,16.12,15.84,16.09,3702364,16.09
2012-10-18,16.23,16.23,15.83,16,6467242,16
2012-10-19,16,16.03,15.84,15.84,8836586,15.84
2012-10-22,15.83,15.945,15.75,15.77,7324733,15.77
2012-10-23,16.52,16.785,16.26,16.67,16303514,16.67
2012-10-24,16.78,16.79,16.48,16.55,6181139,16.55
2012-10-25,16.7,16.76,16.49,16.61,4741192,16.61
2012-10-26,16.54,16.815,16.53,16.79,4542240,16.79
2012-10-31,16.8,16.89,16.6,16.81,4764671,16.81
2012-11-01,16.93,16.98,16.86,16.95,3749729,16.95
2012-11-02,17,17.135,16.96,17.11,5758378,17.11
