DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE
2012-01-03,16.66,17.35,16.62,16.79,1081391,16.79
2012-01-04,16.68,17.22,16.59,17.14,1019119,17.14
2012-01-05,17.02,17.87,16.87,17.62,1479055,17.62
2012-01-06,17.68,17.78,17.23,17.65,1189084,17.65
2012-01-09,17.7,17.96,17.67,17.87,740404,17.87
2012-01-10,18.19,18.4,18.02,18.17,1100977,18.17
2012-01-11,18.13,18.5,17.92,18.5,950413,18.5
2012-01-12,18.5,18.68,18.13,18.65,954605,18.65
2012-01-13,18.36,18.56,18.05,18.5,940247,18.5
2012-01-17,18.65,18.85,18.31,18.4,1030598,18.4
2012-01-18,18.35,18.98,18.14,18.79,917786,18.79
2012-01-19,18.88,19,18.56,18.7,1042387,18.7
2012-01-20,18.64,18.9,18.49,18.85,1113030,18.85
2012-01-23,18.85,19.02,18.46,18.55,994062,18.55
2012-01-24,17.1,17.55,16.7,17.15,3017159,17.15
2012-01-25,17.07,17.66,17.01,17.53,1666377,17.53
2012-01-26,17.62,17.69,16.405,16.59,2600051,16.59
2012-01-27,16.47,16.97,16.42,16.9,1047760,16.9
2012-01-30,16.72,16.84,16.51,16.71,858461,16.71
2012-01-31,16.85,16.93,16.6,16.84,944336,16.84
2012-02-01,16.99,17.21,16.93,17.02,1186900,17.02
2012-02-02,17.08,17.375,16.81,17.31,1048285,17.31
2012-02-03,17.6,18.14,17.51,18.03,1633268,18.03
2012-02-06,17.95,18.19,17.88,18.07,825566,18.07
2012-02-07,18.06,18.46,17.93,18.35,1062766,18.35
2012-02-08,18.32,18.65,18.26,18.57,845915,18.57
2012-02-09,18.65,18.77,18.37,18.51,930780,18.51
2012-02-10,18.22,18.44,18.07,18.37,702695,18.37
2012-02-13,18.6,18.72,18.39,18.55,705323,18.55
2012-02-14,18.42,18.49,18.195,18.42,921880,18.42
2012-02-15,18.47,18.79,18.45,18.51,1146455,18.51
2012-02-16,18.52,19.32,18.46,19.16,1113427,19.16
2012-02-17,19.29,20.11,19.23,19.86,1913258,19.86
2012-02-21,19.98,19.98,19.35,19.5,1126130,19.5
2012-02-22,19.49,19.53,18.675,18.79,1225323,18.79
2012-02-23,18.83,19.045,18.68,18.91,687010,18.91
2012-02-24,18.94,19.06,18.81,19,694398,19
2012-02-27,18.77,19.12,18.72,19.07,688133,19.07
2012-02-28,19.11,19.46,18.84,19.22,784478,19.22
2012-02-29,19.25,19.52,18.87,19,814349,19
2012-03-01,19.08,19.35,18.88,18.99,830045,18.99
2012-03-02,18.95,18.99,18.745,18.85,567683,18.85
2012-03-05,18.75,18.88,18.38,18.55,705641,18.55
2012-03-06,18.35,18.35,17.75,17.93,825632,17.93
2012-03-07,18.34,18.65,18.23,18.33,1214047,18.33
2012-03-08,18.52,18.73,18.34,18.69,608101,18.69
2012-03-09,18.74,19.19,18.59,18.99,680458,18.99
2012-03-12,18.98,19.06,18.59,18.71,706326,18.71
2012-03-13,18.91,19.78,18.86,19.53,1771066,19.53
2012-03-14,21,21.815,20.5,21.58,3642587,21.58
2012-03-15,21.67,22.49,21.52,22.13,1654371,22.13
2012-03-16,22.37,22.6,22.09,22.28,1537076,22.28
2012-03-19,22.26,22.81,22.19,22.64,921834,22.64
2012-03-20,22.05,22.4,21.77,22.2,1487399,22.2
2012-03-21,22.19,22.46,21.87,22.07,844434,22.07
2012-03-22,21.88,21.93,21.4,21.47,1145712,21.47
2012-03-23,21.44,21.78,21.08,21.73,1101832,21.73
2012-03-26,22.03,22.14,21.77,21.97,1019454,21.97
2012-03-27,21.97,22.09,21.64,21.66,1004041,21.66
2012-03-28,21.68,22,21.47,21.8,1076383,21.8
2012-03-29,21.59,21.745,21.17,21.65,941639,21.65
2012-03-30,21.73,21.85,21.21,21.46,773838,21.46
2012-04-02,21.39,21.54,20.99,21.43,906363,21.43
2012-04-03,21.35,21.52,21.08,21.51,1206036,21.51
2012-04-04,21.21,21.41,20.87,21.08,1089811,21.08
2012-04-05,21.04,21.27,20.92,21.08,822227,21.08
2012-04-09,20.62,20.77,20.43,20.6,865891,20.6
2012-04-10,20.58,20.705,19.88,20.28,1419526,20.28
2012-04-11,20.55,20.985,20.39,20.83,856901,20.83
2012-04-12,20.97,21.23,20.8,21.13,647220,21.13
2012-04-13,20.96,21.07,20.42,20.53,1193421,20.53
2012-04-16,20.7,21.04,20.49,20.795,797673,20.795
2012-04-17,21,21.45,20.94,21.17,879195,21.17
2012-04-18,20.99,21.45,20.99,21.17,738707,21.17
2012-04-19,21.22,21.37,20.8,20.93,1359055,20.93
2012-04-20,21.2,21.21,20.5,20.54,889586,20.54
2012-04-23,20.27,20.91,20.16,20.805,1207596,20.805
2012-04-24,19.51,20.24,19.51,20.06,2486125,20.06
2012-04-25,20.26,20.27,19.91,20.19,1703524,20.19
2012-04-26,20.13,20.55,20,20.42,1261855,20.42
2012-04-27,20.59,20.72,20.28,20.65,647250,20.65
2012-04-30,20.66,20.72,20.27,20.39,776642,20.39
2012-05-01,20.31,21.01,20.24,20.66,885808,20.66
2012-05-02,20.49,20.63,20.25,20.4,727054,20.4
2012-05-03,20.43,20.56,19.9,20.04,836274,20.04
2012-05-04,19.97,19.97,19.51,19.77,952389,19.77
2012-05-07,19.68,20.18,19.65,20.09,613578,20.09
2012-05-08,19.97,20.14,19.79,20.09,762182,20.09
2012-05-09,19.83,19.89,19.41,19.8,741714,19.8
2012-05-10,20,20.2,19.85,19.89,613832,19.89
2012-05-11,19.78,20.17,19.45,20.12,841513,20.12
2012-05-14,19.76,20.01,19.44,19.49,1010697,19.49
2012-05-15,19.48,19.62,18.98,19.08,930441,19.08
2012-05-16,19.17,19.39,18.81,18.81,759712,18.81
2012-05-17,18.88,18.88,18.43,18.43,926981,18.43
2012-05-18,18.47,18.74,18.2,18.27,803786,18.27
2012-05-21,18.29,18.83,18.07,18.59,640548,18.59
2012-05-22,18.56,19.03,18.56,18.76,868681,18.76
2012-05-23,18.51,19.165,18.46,19.12,1100182,19.12
2012-05-24,19.13,19.16,18.57,18.8,951691,18.8
2012-05-25,18.82,19.09,18.73,18.87,579835,18.87
2012-05-29,19,19.21,18.86,19.19,698119,19.19
2012-05-30,18.89,18.94,18.54,18.74,755860,18.74
2012-05-31,18.72,19.3,18.48,19.03,1059549,19.03
2012-06-01,18.61,18.64,17.99,18.22,1259253,18.22
2012-06-04,17.91,18.26,17.5,17.61,1336183,17.61
2012-06-05,17.9,18.18,17.7,17.8,1347748,17.8
2012-06-06,18.03,18.39,17.91,18.35,1195102,18.35
2012-06-07,18.61,18.82,18.22,18.31,948717,18.31
2012-06-08,18.23,18.46,17.9,18.4,897544,18.4
2012-06-11,18.59,18.66,17.68,17.72,995936,17.72
2012-06-12,17.78,18.07,17.45,18.07,788940,18.07
2012-06-13,17.93,18.29,17.78,17.91,595243,17.91
2012-06-14,17.94,18.395,17.92,18.36,679322,18.36
2012-06-15,18.34,18.78,18.23,18.7,1093010,18.7
2012-06-18,18.57,18.89,18.44,18.84,666441,18.84
2012-06-19,19.01,19.6,19,19.47,1034831,19.47
2012-06-20,19.42,19.9,19.41,19.62,1128333,19.62
2012-06-21,19.65,19.79,18.95,18.975,636975,18.975
2012-06-22,19.1,19.24,19.02,19.13,681392,19.13
2012-06-25,18.86,18.86,18.335,18.45,824274,18.45
2012-06-26,18.45,18.94,18.35,18.8,1023368,18.8
2012-06-27,18.85,19.23,18.66,19.2,549798,19.2
2012-06-28,19.02,19.04,18.55,18.99,827682,18.99
2012-06-29,19.41,19.47,19.22,19.42,784839,19.42
2012-07-02,19.52,19.67,19.13,19.63,704112,19.63
2012-07-03,19.63,19.82,19.54,19.7,257009,19.7
2012-07-05,19.68,19.68,19.37,19.42,668828,19.42
2012-07-06,19.21,19.47,19.03,19.39,591307,19.39
2012-07-09,19.37,19.44,19.01,19.1,629025,19.1
2012-07-10,19.31,19.42,18.64,18.78,897440,18.78
2012-07-11,18.76,19,18.59,18.93,1018437,18.93
2012-07-12,18.79,18.81,18.49,18.64,575084,18.64
2012-07-13,18.67,19.09,18.66,19.02,651183,19.02
2012-07-16,18.98,19.28,18.9,19.05,570221,19.05
2012-07-17,19.23,19.48,18.89,19.43,601692,19.43
2012-07-18,19.39,19.62,19.22,19.45,837074,19.45
2012-07-19,19.52,19.66,19.19,19.24,714483,19.24
2012-07-20,19.1,19.11,18.71,18.73,905974,18.73
2012-07-23,18.47,18.63,18.22,18.57,866098,18.57
2012-07-24,18.14,18.42,17.59,17.94,1897604,17.94
2012-07-25,17.98,18.18,17.81,17.88,844512,17.88
2012-07-26,18.21,18.32,17.91,18.09,1111443,18.09
2012-07-27,18.21,18.64,18.05,18.5,1029627,18.5
2012-07-30,18.48,18.62,18.19,18.3,772158,18.3
2012-07-31,18.24,18.43,18.2,18.2,599425,18.2
2012-08-01,18.29,18.45,18.19,18.28,723358,18.28
2012-08-02,18.18,18.4,17.82,18.04,650876,18.04
2012-08-03,18.33,19.07,18.33,18.93,754735,18.93
2012-08-06,19.1,19.2,18.79,18.82,355479,18.82
2012-08-07,18.95,19.24,18.82,19.05,489894,19.05
2012-08-08,18.92,19.14,18.91,19.03,362604,19.03
2012-08-09,19,19.11,18.9,19.04,212170,19.04
2012-08-10,18.96,18.97,18.69,18.87,365761,18.87
2012-08-13,18.78,18.8,18.5,18.73,455027,18.73
2012-08-14,18.75,19.03,18.75,18.81,399369,18.81
2012-08-15,18.8,19.175,18.79,19.16,481347,19.16
2012-08-16,19.17,19.29,19.08,19.22,339678,19.22
2012-08-17,19.3,19.73,19.12,19.7,613124,19.7
2012-08-20,19.62,19.64,19.41,19.5,509715,19.5
2012-08-21,19.58,19.8,19.43,19.48,693436,19.48
2012-08-22,19.46,19.71,19.27,19.33,479139,19.33
2012-08-23,19.31,19.37,18.97,19.03,362864,19.03
2012-08-24,18.96,19.21,18.94,19.14,395837,19.14
2012-08-27,19.26,19.34,19,19.06,215112,19.06
2012-08-28,19.04,19.35,18.96,19.21,254747,19.21
2012-08-29,19.21,19.37,19.15,19.3,211062,19.3
2012-08-30,19.17,19.29,19.01,19.205,261578,19.205
2012-08-31,19.32,19.41,19.14,19.25,402937,19.25
2012-09-04,19.19,19.415,19.06,19.33,352393,19.33
2012-09-05,19.3,19.42,19.14,19.36,249114,19.36
2012-09-06,19.51,19.97,19.51,19.75,586702,19.75
2012-09-07,19.78,20.37,19.76,20.3,703218,20.3
2012-09-10,20.25,20.31,20,20.01,474140,20.01
2012-09-11,20.04,20.19,19.94,20.03,296586,20.03
2012-09-12,20.19,20.695,20.16,20.44,676717,20.44
2012-09-13,20.42,21.14,20.25,20.94,739426,20.94
2012-09-14,21.1,21.67,21.08,21.35,986506,21.35
2012-09-17,21.29,21.35,21.08,21.2,488396,21.2
2012-09-18,21.11,21.27,21.04,21.07,281427,21.07
2012-09-19,21.07,21.56,21.01,21.15,588981,21.15
2012-09-20,20.9,20.98,20.6,20.8,628844,20.8
2012-09-21,21.37,21.37,20.84,20.87,1099853,20.87
2012-09-24,20.76,21.16,20.62,21.02,377233,21.02
2012-09-25,20.98,21.1,20.3,20.32,663420,20.32
2012-09-26,20.34,20.6,20.15,20.37,849063,20.37
2012-09-27,20.54,20.88,20.42,20.63,716573,20.63
2012-09-28,20.51,20.72,20.4,20.655,588153,20.655
2012-10-01,20.79,21.18,20.715,20.77,596237,20.77
2012-10-02,20.8,20.89,20.6,20.81,553206,20.81
2012-10-03,20.89,21.18,20.68,21.17,573828,21.17
2012-10-04,21.32,22,21.26,21.76,847646,21.76
2012-10-05,21.99,22.345,21.87,21.98,982990,21.98
2012-10-08,21.84,21.89,21.7,21.82,406012,21.82
2012-10-09,21.76,22.02,21.63,21.76,717934,21.76
2012-10-10,21.7,21.88,21.57,21.86,524713,21.86
2012-10-11,22,22.65,21.98,22.52,890431,22.52
2012-10-12,22.24,22.29,21.81,21.97,811957,21.97
2012-10-15,22,22.22,21.9,22.2,584013,22.2
2012-10-16,22.29,22.56,21.745,21.9,736003,21.9
2012-10-17,21.99,22.33,21.73,22.08,643042,22.08
2012-10-18,22.04,22.18,21.43,21.48,1107574,21.48
2012-10-19,21.66,21.77,21.3,21.45,1173889,21.45
